name,position,age,nation,club,value,confederation,league
Takuma Nishimura,Second Striker,28.0,Japan,Machida Zelvia,€1.00m,UEFA,
Khurshid Giyosov,Left Winger,30.0,Uzbekistan,FC OKMK Olmaliq,€1.00m,UEFA,
Aref Aghasi,Centre-Back,28.0,Iran,Esteghlal FC,€1.00m,UEFA,
Cammy Devlin,Central Midfield,27.0,Australia,Heart of Midlothian FC,€1.00m,UEFA,
Kosei Tani,Goalkeeper,24.0,Japan,Machida Zelvia,€1.00m,UEFA,
Ayumu Seko,Centre-Back,25.0,Japan,Le Havre AC,€1.00m,UEFA,
Supachai Chaided,Centre-Forward,26.0,Thailand,Buriram United,€1.00m,UEFA,
Abdulrahman Al-Oboud,Right Winger,30.0,Saudi Arabia,Al-Ittihad Club,€1.00m,UEFA,
Daiya Maekawa,Goalkeeper,30.0,Japan,Vissel Kobe,€1.00m,UEFA,
Kota Watanabe,Central Midfield,26.0,Japan,Yokohama F. Marinos,€900k,UEFA,
Daiju Sasaki,Attacking Midfield,25.0,Japan,Vissel Kobe,€1.00m,UEFA,
Assad Al-Hamlawi,Centre-Forward,24.0,Palestine,CS Universitatea Craiova,€1.00m,UEFA,
Mehdi Hashemnejad,Right Winger,23.0,Iran,Tractor FC,€1.00m,UEFA,
Ibrahim Bayesh,Attacking Midfield,25.0,Iraq,Al-Riyadh SC,€1.00m,UEFA,
Muhsen Al-Ghassani,Centre-Forward,28.0,Oman,True Bangkok United,€1.00m,UEFA,
Mohammad Amin Hazbavi,Centre-Back,22.0,Iran,Sepahan FC,€1.00m,UEFA,
Won-sang Um,Right Winger,26.0,"Korea, South",Ulsan HD FC,€1.00m,UEFA,
Seung-wook Park,Centre-Back,28.0,"Korea, South",Pohang Steelers,€1.00m,UEFA,
Yuri César,Left Winger,25.0,United Arab Emirates,Shabab Al-Ahli Club,€1.00m,UEFA,
Omar Faraj,Centre-Forward,23.0,Palestine,Degerfors IF,€1.00m,UEFA,
Tomoki Hayakawa,Goalkeeper,26.0,Japan,Kashima Antlers,€1.00m,UEFA,
Makoto Mitsuta,Attacking Midfield,26.0,Japan,Gamba Osaka,€1.00m,UEFA,
Abdullah Iqbal,Centre-Back,22.0,Pakistan,Mjällby AIF,€1.00m,UEFA,
Shogo Taniguchi,Centre-Back,34.0,Japan,Sint-Truidense VV,€1.00m,UEFA,
Masaya Okugawa,Left Winger,29.0,Japan,Kyoto Sanga,€1.00m,UEFA,
Anthony Kalik,Attacking Midfield,27.0,Australia,HNK Hajduk Split,€1.00m,UEFA,
Ryosuke Kojima,Goalkeeper,28.0,Japan,Kashiwa Reysol,€1.00m,UEFA,
Kei Chinen,Defensive Midfield,30.0,Japan,Kashima Antlers,€900k,UEFA,
Kosuke Saito,Attacking Midfield,28.0,Japan,Tokyo Verdy,€900k,UEFA,
Rihito Yamamoto,Defensive Midfield,23.0,Japan,Sint-Truidense VV,€900k,UEFA,
Abdullah Al-Khaibari,Defensive Midfield,28.0,Saudi Arabia,Al-Nassr FC,€900k,UEFA,
Koki Morita,Defensive Midfield,24.0,Japan,Tokyo Verdy,€900k,UEFA,
Chenjie Zhu,Centre-Back,24.0,China,Shanghai Shenhua,€900k,UEFA,
Marco Tilio,Right Winger,23.0,Australia,Celtic FC,€900k,UEFA,
Ryotaro Araki,Attacking Midfield,23.0,Japan,Kashima Antlers,€900k,UEFA,
Min-kyu Song,Left Winger,25.0,"Korea, South",Jeonbuk Hyundai Motors,€900k,UEFA,
Lewis Miller,Right-Back,24.0,Australia,Hibernian FC,€900k,UEFA,
Gianni Stensness,Centre-Back,26.0,Australia,Viking FK,€900k,UEFA,
Yoshio Koizumi,Attacking Midfield,28.0,Japan,Kashiwa Reysol,€900k,UEFA,
Keisuke Kurokawa,Left-Back,28.0,Japan,Gamba Osaka,€900k,UEFA,
Ali Majrashi,Right-Back,25.0,Saudi Arabia,Al-Ahli SFC,€900k,UEFA,
Kento Tachibanada,Defensive Midfield,27.0,Japan,Kawasaki Frontale,€900k,UEFA,
Motoki Hasegawa,Attacking Midfield,26.0,Japan,Albirex Niigata,€900k,UEFA,
Mohamed Touré,Centre-Forward,21.0,Australia,Randers FC,€900k,UEFA,
Moteb Al-Harbi,Left-Back,25.0,Saudi Arabia,Al-Hilal SFC,€900k,UEFA,
Mohamed Al-Thani,Right-Back,28.0,Saudi Arabia,Al-Qadsiah FC,€900k,UEFA,
Mohammadjavad Hosseinnejad,Attacking Midfield,22.0,Iran,Dinamo Makhachkala,€900k,UEFA,
Mohammadmehdi Zare,Centre-Back,22.0,Iran,Akhmat Grozny,€900k,UEFA,
Turki Al-Ammar,Left Winger,25.0,Saudi Arabia,Al-Qadsiah FC,€1.00m,UEFA,
Jamie Maclaren,Centre-Forward,31.0,Australia,Mohun Bagan Super Giant,€1.00m,UEFA,
Thom Haye,Defensive Midfield,30.0,Indonesia,Without Club,€1.00m,UEFA,
Igor Sergeev,Centre-Forward,32.0,Uzbekistan,Pakhtakor Tashkent,€1.00m,UEFA,
Naomichi Ueda,Centre-Back,30.0,Japan,Kashima Antlers,€1.00m,UEFA,
Craig Goodwin,Left Winger,33.0,Australia,Adelaide United,€1.00m,UEFA,
Sang-ho Na,Left Winger,28.0,"Korea, South",Machida Zelvia,€800k,UEFA,
Dae-won Kim,Left Winger,28.0,"Korea, South",Gangwon FC,€800k,UEFA,
Oybek Rustamov,Defensive Midfield,28.0,Uzbekistan,FC OKMK Olmaliq,€800k,UEFA,
Yazan Al-Arab,Centre-Back,29.0,Jordan,FC Seoul,€700k,UEFA,
Taiki Hirato,Left Midfield,28.0,Japan,Kyoto Sanga,€700k,UEFA,
Abolfazl Razzaghpour,Left-Back,27.0,Iran,Foolad FC,€700k,UEFA,
Pablo Sabbag,Centre-Forward,28.0,Syria,Suwon FC,€700k,UEFA,
Supachok Sarachat,Attacking Midfield,27.0,Thailand,Hokkaido Consadole Sapporo,€700k,UEFA,
Fuki Yamada,Right Winger,24.0,Japan,Kyoto Sanga,€700k,UEFA,
Keanu Baccus,Defensive Midfield,27.0,Australia,Mansfield Town,€700k,UEFA,
Yuta Goke,Attacking Midfield,26.0,Japan,Vegalta Sendai,€700k,UEFA,
Leo Takae,Central Midfield,27.0,Japan,Yokohama FC,€700k,UEFA,
Azizbek Turgunboev,Central Midfield,30.0,Uzbekistan,Without Club,€700k,UEFA,
Abrorbek Ismoilov,Central Midfield,27.0,Uzbekistan,Neftchi Fergana,€700k,UEFA,
Shota Fujio,Centre-Forward,24.0,Japan,Machida Zelvia,€700k,UEFA,
Kazuki Tanaka,Right Midfield,25.0,Japan,JEF United Chiba,€700k,UEFA,
Ahmed Bamsaud,Left-Back,29.0,Saudi Arabia,Al-Fayha FC,€700k,UEFA,
Hyeok-kyu Kwon,Defensive Midfield,24.0,"Korea, South",Celtic FC,€700k,UEFA,
Khozhiakbar Alizhonov,Right-Back,28.0,Uzbekistan,Pakhtakor Tashkent,€800k,UEFA,
Nathaniel Atkinson,Right-Back,26.0,Australia,Melbourne City FC,€700k,UEFA,
Jin-woo Jeon,Right Winger,25.0,"Korea, South",Jeonbuk Hyundai Motors,€700k,UEFA,
Soya Fujiwara,Right-Back,29.0,Japan,Albirex Niigata,€700k,UEFA,
Abdulla Abdullaev,Defensive Midfield,27.0,Uzbekistan,Dibba SCC,€700k,UEFA,
Daniel Lajud,Second Striker,26.0,Lebanon,Panetolikos GFS,€700k,UEFA,
Abdulrahman Saleh,Left-Back,26.0,United Arab Emirates,Al-Wasl FC,€700k,UEFA,
Kaito Yasui,Defensive Midfield,25.0,Japan,Urawa Red Diamonds,€700k,UEFA,
Jun Choi,Right-Back,26.0,"Korea, South",FC Seoul,€700k,UEFA,
Itsuki Someno,Centre-Forward,23.0,Japan,Tokyo Verdy,€700k,UEFA,
Tatsuki Seko,Central Midfield,27.0,Japan,Stoke City,€700k,UEFA,
Noah Botic,Centre-Forward,23.0,Australia,Austria Vienna,€700k,UEFA,
Min-woo Seo,Defensive Midfield,27.0,"Korea, South",Gangwon FC,€700k,UEFA,
Abdulla Hamad,Defensive Midfield,23.0,United Arab Emirates,Al-Wahda FC,€700k,UEFA,
Reza Asadi,Attacking Midfield,29.0,Iran,Without Club,€700k,UEFA,
Yuya Yamagishi,Centre-Forward,31.0,Japan,Nagoya Grampus,€700k,UEFA,
Liangming Lin,Left Winger,28.0,China,Beijing Guoan,€700k,UEFA,
Rikiya Uehara,Central Midfield,28.0,Japan,Júbilo Iwata,€700k,UEFA,
Min-jae Kim,Centre-Back,28.0,"Korea, South",Bayern Munich,€40.00m,UEFA,
Saad Al-Nasser,Left-Back,24.0,Saudi Arabia,Al-Taawoun FC,€650k,UEFA,
Hasan Abdulkareem,Right Winger,26.0,Iraq,Al-Zawraa SC,€650k,UEFA,
Salem Al-Najdi,Left-Back,22.0,Saudi Arabia,Al-Nassr FC,€650k,UEFA,
Kotaro Hayashi,Left-Back,24.0,Japan,Machida Zelvia,€650k,UEFA,
Abdulaziz Noor,Right Winger,26.0,Saudi Arabia,NEOM SC,€650k,UEFA,
Soma Anzai,Right Midfield,22.0,Japan,FC Tokyo,€650k,UEFA,
Lei Wu,Right Winger,33.0,China,Shanghai Port,€700k,UEFA,
Martin Boyle,Right Winger,32.0,Australia,Hibernian FC,€700k,UEFA,
Daniel Schmidt,Goalkeeper,33.0,Japan,Nagoya Grampus,€700k,UEFA,
Gerrit Holtmann,Left Winger,30.0,Philippines,VfL Bochum,€700k,UEFA,
Yuta Toyokawa,Centre-Forward,30.0,Japan,RB Omiya Ardija,€700k,UEFA,
Ui-jo Hwang,Centre-Forward,32.0,"Korea, South",Alanyaspor,€700k,UEFA,
Yuning Zhang,Centre-Forward,28.0,China,Beijing Guoan,€700k,UEFA,
Jamshid Boltaboev,Right-Back,28.0,Uzbekistan,Without Club,€700k,UEFA,
Sho Inagaki,Defensive Midfield,33.0,Japan,Nagoya Grampus,€700k,UEFA,
Bashar Resan,Attacking Midfield,28.0,Iraq,Pakhtakor Tashkent,€700k,UEFA,
Suhail Al-Noobi,Right Winger,29.0,United Arab Emirates,FC Baniyas,€700k,UEFA,
Koya Yuruki,Left Winger,30.0,Japan,Vissel Kobe,€700k,UEFA,
Takahiro Kunimoto,Attacking Midfield,27.0,Japan,Liaoning Tieren,€700k,UEFA,
Ryota Aoki,Attacking Midfield,29.0,Japan,Hokkaido Consadole Sapporo,€700k,UEFA,
Shota Fukuoka,Centre-Back,29.0,Japan,Gamba Osaka,€700k,UEFA,
Danial Esmaeilifar,Right-Back,32.0,Iran,Tractor FC,€700k,UEFA,
Hadi Habibinejad,Attacking Midfield,29.0,Iran,Chadormalu SC,€700k,UEFA,
Shahab Zahedi,Centre-Forward,29.0,Iran,Avispa Fukuoka,€700k,UEFA,
Reza Shekari,Attacking Midfield,27.0,Iran,Persepolis FC,€700k,UEFA,
Daiki Suga,Left Midfield,26.0,Japan,Sanfrecce Hiroshima,€700k,UEFA,
Gustavo,Centre-Back,25.0,United Arab Emirates,Al-Nasr SC (UAE),€700k,UEFA,
Jassem Gaber,Centre-Back,23.0,Qatar,Al-Rayyan SC,€700k,UEFA,
Yota Komi,Left Midfield,22.0,Japan,Kashiwa Reysol,€700k,UEFA,
Asahi Sasaki,Left-Back,25.0,Japan,Kawasaki Frontale,€750k,UEFA,
Kaina Tanimura,Centre-Forward,27.0,Japan,Yokohama F. Marinos,€750k,UEFA,
Riku Yamane,Central Midfield,21.0,Japan,Yokohama F. Marinos,€750k,UEFA,
Saman Fallah,Centre-Back,24.0,Iran,Esteghlal FC,€750k,UEFA,
Mohammad Omri,Right Winger,25.0,Iran,Persepolis FC,€750k,UEFA,
Akito Suzuki,Centre-Forward,21.0,Japan,Shonan Bellmare,€750k,UEFA,
Zento Uno,Defensive Midfield,21.0,Japan,Shimizu S-Pulse,€750k,UEFA,
Yuto Tsunashima,Defensive Midfield,24.0,Japan,Tokyo Verdy,€750k,UEFA,
Richard Akonnor,Left-Back,21.0,United Arab Emirates,Al-Jazira Club,€750k,UEFA,
Kimito Nono,Right-Back,23.0,Japan,Kashima Antlers,€750k,UEFA,
Sandy Walsh,Right-Back,30.0,Indonesia,Yokohama F. Marinos,€800k,UEFA,
Takuya Kida,Defensive Midfield,30.0,Japan,Yokohama F. Marinos,€800k,UEFA,
Alireza Beiranvand,Goalkeeper,32.0,Iran,Tractor FC,€800k,UEFA,
Hyeon-woo Jo,Goalkeeper,33.0,"Korea, South",Ulsan HD FC,€800k,UEFA,
Tokuma Suzuki,Defensive Midfield,28.0,Japan,Gamba Osaka,€800k,UEFA,
Ezequiel Ham,Central Midfield,31.0,Syria,Atlético Clube Goianiense,€800k,UEFA,
Tom Glover,Goalkeeper,27.0,Australia,Middlesbrough FC,€800k,UEFA,
Asahi Masuyama,Right Midfield,28.0,Japan,Machida Zelvia,€800k,UEFA,
Shintaro Nago,Attacking Midfield,29.0,Japan,Avispa Fukuoka,€800k,UEFA,
Nick D'Agostino,Centre-Forward,27.0,Australia,Viking FK,€800k,UEFA,
Sang-heon Lee,Attacking Midfield,27.0,"Korea, South",Gangwon FC,€800k,UEFA,
Mutsuki Kato,Centre-Forward,27.0,Japan,Sanfrecce Hiroshima,€800k,UEFA,
Ryo Hatsuse,Left-Back,28.0,Japan,Without Club,€800k,UEFA,
Seung-beom Ko,Central Midfield,31.0,"Korea, South",Ulsan HD FC,€800k,UEFA,
Du-jae Won,Defensive Midfield,27.0,"Korea, South",Khor Fakkan SSC,€800k,UEFA,
Denis Genreau,Attacking Midfield,26.0,Australia,Deportivo de La Coruña,€800k,UEFA,
Rei Hirakawa,Attacking Midfield,25.0,Japan,Tokyo Verdy,€800k,UEFA,
Kota Yamada,Attacking Midfield,26.0,Japan,Yokohama FC,€800k,UEFA,
Kai Trewin,Centre-Back,24.0,Australia,Melbourne City FC,€750k,UEFA,
Yusuke Matsuo,Left Winger,28.0,Japan,Urawa Red Diamonds,€750k,UEFA,
Hiiro Komori,Centre-Forward,24.0,Japan,Urawa Red Diamonds,€700k,UEFA,
Shinichi Chan,Left-Back,22.0,Hongkong,Shanghai Shenhua,€750k,UEFA,
Ayumu Yokoyama,Left Winger,22.0,Japan,KRC Genk,€700k,UEFA,
Abdulmalik Al-Jaber,Central Midfield,21.0,Saudi Arabia,Al-Nassr FC,€700k,UEFA,
Dimitri Petratos,Attacking Midfield,32.0,Australia,Mohun Bagan Super Giant,€750k,UEFA,
Yasser Al-Shahrani,Left-Back,33.0,Saudi Arabia,Al-Hilal SFC,€750k,UEFA,
Kento Hashimoto,Defensive Midfield,31.0,Japan,FC Tokyo,€750k,UEFA,
Koji Toriumi,Centre-Back,30.0,Japan,JEF United Chiba,€750k,UEFA,
Sang-woo Kang,Left-Back,31.0,"Korea, South",Ulsan HD FC,€750k,UEFA,
Min-kyu Joo,Centre-Forward,35.0,"Korea, South",Daejeon Hana Citizen,€750k,UEFA,
Brandon Borrello,Centre-Forward,29.0,Australia,Western Sydney Wanderers,€750k,UEFA,
Kei Koizumi,Defensive Midfield,30.0,Japan,FC Tokyo,€750k,UEFA,
Yuto Iwasaki,Left Winger,27.0,Japan,Avispa Fukuoka,€750k,UEFA,
Fran Karacic,Right-Back,29.0,Australia,HNK Hajduk Split,€750k,UEFA,
Se-hun Oh,Centre-Forward,26.0,"Korea, South",Machida Zelvia,€750k,UEFA,
Keiya Shiihashi,Defensive Midfield,28.0,Japan,Nagoya Grampus,€750k,UEFA,
Nicholas Mickelson,Left-Back,25.0,Thailand,SV 07 Elversberg,€750k,UEFA,
Majid Aliyari,Centre-Forward,29.0,Iran,Sepahan FC,€750k,UEFA,
Mohammad Amin Kazemian,Right Winger,29.0,Iran,Persepolis FC,€750k,UEFA,
Taishi Matsumoto,Defensive Midfield,26.0,Japan,Urawa Red Diamonds,€750k,UEFA,
Daiya Tono,Second Striker,26.0,Japan,Yokohama F. Marinos,€750k,UEFA,
Ryo Germain,Centre-Forward,30.0,Japan,Sanfrecce Hiroshima,€750k,UEFA,
Moon-hwan Kim,Right-Back,29.0,"Korea, South",Daejeon Hana Citizen,€750k,UEFA,
Dong-hyeon Kim,Defensive Midfield,28.0,"Korea, South",Gangwon FC,€750k,UEFA,
Hiroto Taniguchi,Centre-Back,25.0,Japan,Tokyo Verdy,€750k,UEFA,
Yuto Yamada,Attacking Midfield,25.0,Japan,Kashiwa Reysol,€750k,UEFA,
Shō Fukuda,Centre-Forward,24.0,Japan,Bröndby IF,€750k,UEFA,
Tae-seok Lee,Left-Back,22.0,"Korea, South",Pohang Steelers,€750k,UEFA,
Young-jun Goh,Attacking Midfield,24.0,"Korea, South",Górnik Zabrze,€750k,UEFA,
Han-beom Lee,Centre-Back,23.0,"Korea, South",FC Midtjylland,€1.00m,UEFA,
Nawaf Al-Aqidi,Goalkeeper,25.0,Saudi Arabia,Al-Nassr FC,€650k,UEFA,
Calem Nieuwenhof,Defensive Midfield,24.0,Australia,Heart of Midlothian FC,€1.00m,UEFA,
Leo Kokubo,Goalkeeper,24.0,Japan,Sint-Truidense VV,€3.00m,UEFA,
Kouame Autonne Kouadio,Centre-Back,24.0,United Arab Emirates,Al-Ain FC,€2.50m,UEFA,
Isa Sakamoto,Centre-Forward,21.0,Japan,KVC Westerlo,€2.50m,UEFA,
Imanol Machuca,Right Winger,25.0,Malaysia,CA Vélez Sarsfield,€2.50m,UEFA,
Montader Madjed,Right Winger,20.0,Iraq,Hammarby IF,€2.50m,UEFA,
Hyun-jun Yang,Right Winger,23.0,"Korea, South",Celtic FC,€2.50m,UEFA,
Patrick Yazbek,Central Midfield,23.0,Australia,Nashville SC,€2.50m,UEFA,
Mamadou Coulibaly,Defensive Midfield,22.0,United Arab Emirates,Al-Jazira Club,€2.50m,UEFA,
Jordan Bos,Left-Back,22.0,Australia,KVC Westerlo,€2.70m,UEFA,
Yohei Takaoka,Goalkeeper,29.0,Japan,Vancouver Whitecaps FC,€3.00m,UEFA,
Aiden O'Neill,Defensive Midfield,27.0,Australia,New York City FC,€3.00m,UEFA,
Riley McGree,Central Midfield,26.0,Australia,Middlesbrough FC,€3.00m,UEFA,
Ali Saleh,Left Winger,25.0,United Arab Emirates,Al-Wasl FC,€3.00m,UEFA,
Atsuki Ito,Central Midfield,26.0,Japan,KAA Gent,€3.00m,UEFA,
Mohammad Mohebi,Left Winger,26.0,Iran,FC Rostov,€3.00m,UEFA,
João Figueiredo,Centre-Forward,29.0,Malaysia,Johor Darul Ta'zim,€2.00m,UEFA,
Saud Abdulhamid,Right-Back,26.0,Saudi Arabia,AS Roma,€3.00m,UEFA,
Ryoya Morishita,Attacking Midfield,28.0,Japan,Legia Warszawa,€3.00m,UEFA,
Joel Chima Fujita,Central Midfield,23.0,Japan,FC St. Pauli,€3.00m,UEFA,
Ousmane Camara,Centre-Forward,24.0,United Arab Emirates,Sharjah FC,€3.00m,UEFA,
Jun-ho Bae,Attacking Midfield,21.0,"Korea, South",Stoke City,€3.00m,UEFA,
Anrie Chase,Centre-Back,21.0,Japan,VfB Stuttgart,€3.00m,UEFA,
Emil Audero,Goalkeeper,28.0,Indonesia,Como 1907,€3.20m,UEFA,
Mahmoud Dahoud,Central Midfield,29.0,Syria,Eintracht Frankfurt,€3.50m,UEFA,
Hayao Kawabe,Central Midfield,29.0,Japan,Sanfrecce Hiroshima,€3.50m,UEFA,
Mehdi Taremi,Centre-Forward,33.0,Iran,Inter Milan,€3.50m,UEFA,
Almoez Ali,Centre-Forward,28.0,Qatar,Al-Duhail SC,€3.50m,UEFA,
Keigo Tsunemoto,Right-Back,26.0,Japan,FC Basel 1893,€3.50m,UEFA,
Hyun-seok Hong,Attacking Midfield,26.0,"Korea, South",1.FSV Mainz 05,€3.50m,UEFA,
Lucas Pimenta,Centre-Back,25.0,United Arab Emirates,Al-Wahda FC,€2.50m,UEFA,
Kota Takai,Centre-Back,20.0,Japan,Tottenham Hotspur,€2.50m,UEFA,
Sang-bin Jeong,Centre-Forward,23.0,"Korea, South",Minnesota United FC,€2.50m,UEFA,
Ala Zhir,Centre-Back,25.0,United Arab Emirates,Al-Wahda FC,€2.50m,UEFA,
Facundo Garcés,Centre-Back,25.0,Malaysia,Deportivo Alavés,€2.00m,UEFA,
Haruya Fujii,Centre-Back,24.0,Japan,KV Kortrijk,€2.00m,UEFA,
Yahia Nader,Defensive Midfield,26.0,United Arab Emirates,Al-Ain FC,€2.00m,UEFA,
Yahya Al-Ghassani,Left Winger,27.0,United Arab Emirates,Shabab Al-Ahli Club,€2.00m,UEFA,
Alvaro de Oliveira,Centre-Forward,24.0,United Arab Emirates,Al-Bataeh CSC,€2.00m,UEFA,
Taichi Fukui,Central Midfield,21.0,Japan,FC Arouca,€2.00m,UEFA,
Yuma Suzuki,Centre-Forward,29.0,Japan,Kashima Antlers,€2.20m,UEFA,
Rúben Amaral,Left-Back,23.0,United Arab Emirates,Al-Wahda FC,€2.20m,UEFA,
Marko Farji,Left Winger,21.0,Iraq,Strømsgodset IF,€2.20m,UEFA,
Harib Suhail,Left Winger,22.0,United Arab Emirates,Shabab Al-Ahli Club,€2.20m,UEFA,
Marcus Meloni,Right-Back,25.0,United Arab Emirates,Sharjah FC,€2.20m,UEFA,
