name,position,age,nation,club,value
Nicolás Domínguez,Central Midfield,27,Argentina,Nottingham Forest,€18.00m
Jean-Ricner Bellegarde,Central Midfield,27,France,Wolverhampton Wanderers,€18.00m
Nicolò Fagioli,Central Midfield,24,Italy,ACF Fiorentina,€18.00m
Nicolas Seiwald,Central Midfield,24,Austria,RB Leipzig,€18.00m
Marcus Tavernier,Left Midfield,26,England,AFC Bournemouth,€18.00m
Nicolás de la Cruz,Central Midfield,28,Uruguay,CR Flamengo,€18.00m
Carlos Soler,Central Midfield,28,Spain,Paris Saint-Germain,€18.00m
Gedson Fernandes,Central Midfield,26,Portugal,Besiktas JK,€18.00m
Tyler Adams,Defensive Midfield,26,United States,AFC Bournemouth,€18.00m
Orel Mangala,Defensive Midfield,27,Belgium,Olympique Lyon,€18.00m
Tomas Soucek,Defensive Midfield,30,Czech Republic,West Ham United,€18.00m
Andreas Pereira,Attacking Midfield,29,Brazil,Fulham FC,€18.00m
Malick Yalcouyé,Central Midfield,19,Cote d'Ivoire,Brighton & Hove Albion,€17.00m
Giannis Konstantelias,Attacking Midfield,22,Greece,PAOK Thessaloniki,€17.00m
Maxi Araújo,Left Midfield,25,Uruguay,Sporting CP,€17.00m
Lazar Samardžić,Attacking Midfield,23,Serbia,Atalanta BC,€17.00m
Lovro Majer,Attacking Midfield,27,Croatia,VfL Wolfsburg,€17.00m
Romano Schmid,Attacking Midfield,25,Austria,SV Werder Bremen,€17.00m
Sofyan Amrabat,Defensive Midfield,28,Morocco,Fenerbahce,€17.00m
Sergej Milinković-Savić,Central Midfield,30,Serbia,Al-Hilal SFC,€17.00m
Gustavo Sá,Attacking Midfield,20,Portugal,FC Famalicão,€16.00m
Richard Ríos,Defensive Midfield,25,Colombia,Sociedade Esportiva Palmeiras,€16.00m
Sem Steijn,Attacking Midfield,23,Netherlands,Feyenoord Rotterdam,€16.00m
Finn Azaz,Attacking Midfield,24,Ireland,Middlesbrough FC,€16.00m
Ivan Ilić,Central Midfield,24,Serbia,Torino FC,€16.00m
Amadou Haidara,Central Midfield,27,Mali,RB Leipzig,€16.00m
Maxence Caqueret,Central Midfield,25,France,Como 1907,€16.00m
Gustavo Hamer,Central Midfield,28,Netherlands,Sheffield United,€16.00m
John McGinn,Central Midfield,30,Scotland,Aston Villa,€16.00m
Christantus Uche,Attacking Midfield,22,Nigeria,Getafe CF,€15.00m
Ngal'ayel Mukau,Defensive Midfield,20,DR Congo,LOSC Lille,€15.00m
Andrija Maksimovic,Attacking Midfield,18,Serbia,RB Leipzig,€15.00m
Sverre Nypan,Central Midfield,18,Norway,Manchester City,€15.00m
Senny Mayulu,Central Midfield,19,France,Paris Saint-Germain,€15.00m
Neil El Aynaoui,Central Midfield,24,Morocco,AS Roma,€15.00m
Mateus Fernandes,Central Midfield,21,Portugal,Southampton FC,€15.00m
Yegor Yarmolyuk,Central Midfield,21,Ukraine,Brentford FC,€15.00m
Andy Diouf,Central Midfield,22,France,RC Lens,€15.00m
Rodrigo Gomes,Right Midfield,22,Portugal,Wolverhampton Wanderers,€15.00m
Vini Souza,Defensive Midfield,26,Brazil,VfL Wolfsburg,€15.00m
Samú Costa,Defensive Midfield,24,Portugal,RCD Mallorca,€15.00m
Aimar Oroz,Attacking Midfield,23,Spain,CA Osasuna,€15.00m
Cesare Casadei,Central Midfield,22,Italy,Torino FC,€15.00m
Hicham Boudaoui,Central Midfield,25,Algeria,OGC Nice,€15.00m
Luka Sucic,Central Midfield,22,Croatia,Real Sociedad,€15.00m
Pape Gueye,Defensive Midfield,26,Senegal,Villarreal CF,€15.00m
Rocco Reitz,Central Midfield,23,Germany,Borussia Mönchengladbach,€15.00m
Adrián Bernabé,Central Midfield,24,Spain,Parma Calcio 1913,€15.00m
Sergi Altimira,Central Midfield,23,Spain,Real Betis Balompié,€15.00m
Raphael Veiga,Attacking Midfield,30,Brazil,Sociedade Esportiva Palmeiras,€15.00m
Marshall Munetsi,Central Midfield,29,Zimbabwe,Wolverhampton Wanderers,€15.00m
Claudinho,Attacking Midfield,28,Brazil,Al-Sadd SC,€15.00m
Brenden Aaronson,Attacking Midfield,24,United States,Leeds United,€15.00m
Yangel Herrera,Central Midfield,27,Venezuela,Girona FC,€15.00m
Leandro Barreiro,Central Midfield,25,Luxembourg,SL Benfica,€15.00m
Ismaël Bennacer,Defensive Midfield,27,Algeria,AC Milan,€15.00m
Giovani Lo Celso,Attacking Midfield,29,Argentina,Real Betis Balompié,€15.00m
Emiliano Buendía,Attacking Midfield,28,Argentina,Aston Villa,€15.00m
Sebastian Szymański,Attacking Midfield,26,Poland,Fenerbahce,€15.00m
Wilfred Ndidi,Defensive Midfield,28,Nigeria,Leicester City,€15.00m
Lewis Cook,Central Midfield,28,England,AFC Bournemouth,€15.00m
Giorgian de Arrascaeta,Attacking Midfield,31,Uruguay,CR Flamengo,€15.00m
Otávio,Attacking Midfield,30,Portugal,Al-Nassr FC,€15.00m
Fabinho,Defensive Midfield,31,Brazil,Al-Ittihad Club,€15.00m
Diego Gómez,Central Midfield,22,Paraguay,Brighton & Hove Albion,€14.00m
Carlos Alcaraz,Central Midfield,22,Argentina,Everton FC,€14.00m
Petar Sučić,Defensive Midfield,21,Croatia,Inter Milan,€14.00m
Alvyn Sanches,Central Midfield,22,Switzerland,FC Lausanne-Sport,€14.00m
Fabio Miretti,Central Midfield,21,Italy,Juventus FC,€14.00m
Rodrigo Garro,Attacking Midfield,27,Argentina,Sport Club Corinthians Paulista,€14.00m
Fábio Carvalho,Attacking Midfield,22,Portugal,Brentford FC,€14.00m
Mohamed Camara,Defensive Midfield,25,Mali,Al-Sadd SC,€14.00m
Esequiel Barco,Attacking Midfield,26,Argentina,Spartak Moscow,€14.00m
Anton Stach,Defensive Midfield,26,Germany,TSG 1899 Hoffenheim,€14.00m
Evander,Attacking Midfield,27,Brazil,FC Cincinnati,€14.00m
Mathias Jensen,Central Midfield,29,Denmark,Brentford FC,€14.00m
Franck Kessié,Central Midfield,28,Cote d'Ivoire,Al-Ahli SFC,€14.00m
Josh Brownhill,Central Midfield,29,England,Without Club,€14.00m
Jens Stage,Central Midfield,28,Denmark,SV Werder Bremen,€14.00m
Saša Lukić,Defensive Midfield,28,Serbia,Fulham FC,€14.00m
Thomas Partey,Defensive Midfield,32,Ghana,Without Club,€14.00m
Ezechiel Banzuzi,Central Midfield,20,Netherlands,RB Leipzig,€13.00m
Niccolò Pisilli,Central Midfield,20,Italy,AS Roma,€13.00m
Tomás Händel,Defensive Midfield,24,Portugal,Vitória Guimarães SC,€13.00m
Kristjan Asllani,Defensive Midfield,23,Albania,Inter Milan,€13.00m
Hidemasa Morita,Central Midfield,30,Japan,Sporting CP,€13.00m
Flynn Downes,Defensive Midfield,26,England,Southampton FC,€13.00m
Reo Hatate,Central Midfield,27,Japan,Celtic FC,€13.00m
Cameron Puertas,Attacking Midfield,26,Spain,Al-Qadsiah FC,€13.00m
Lucas Torreira,Defensive Midfield,29,Uruguay,Galatasaray,€13.00m
Breno Bidon,Central Midfield,20,Brazil,Sport Club Corinthians Paulista,€12.00m
Christos Mouzakitis,Central Midfield,18,Greece,Olympiacos Piraeus,€12.00m
Victor Froholdt,Central Midfield,19,Denmark,FC Copenhagen,€12.00m
Ibrahim Maza,Attacking Midfield,19,Algeria,Bayer 04 Leverkusen,€12.00m
Valentín Barco,Central Midfield,20,Argentina,RC Strasbourg Alsace,€12.00m
Bence Dárdai,Attacking Midfield,19,Hungary,VfL Wolfsburg,€12.00m
Valentín Carboni,Attacking Midfield,20,Argentina,Genoa CFC,€12.00m
Soungoutou Magassa,Defensive Midfield,21,France,AS Monaco,€12.00m
Santiago Hezze,Defensive Midfield,23,Argentina,Olympiacos Piraeus,€12.00m
Noah Sadiki,Central Midfield,20,DR Congo,Sunderland AFC,€12.00m
Aleksey Batrakov,Attacking Midfield,20,Russia,Lokomotiv Moscow,€12.00m
Mandela Keita,Defensive Midfield,23,Belgium,Parma Calcio 1913,€12.00m
Bitello,Attacking Midfield,25,Brazil,Dynamo Moscow,€12.00m
Volodymyr Brazhko,Defensive Midfield,23,Ukraine,Dynamo Kyiv,€12.00m
Máximo Perrone,Defensive Midfield,22,Argentina,Como 1907,€12.00m
Ezequiel Fernández,Defensive Midfield,22,Argentina,Al-Qadsiah FC,€12.00m
Jack Rudoni,Central Midfield,24,England,Coventry City,€12.00m
Tommaso Baldanzi,Attacking Midfield,22,Italy,AS Roma,€12.00m
Giovanni Fabbian,Attacking Midfield,22,Italy,Bologna FC 1909,€12.00m
Merlin Röhl,Attacking Midfield,23,Germany,SC Freiburg,€12.00m
Hannibal,Attacking Midfield,22,Tunisia,Burnley FC,€12.00m
Mario Stroeykens,Attacking Midfield,20,Belgium,RSC Anderlecht,€12.00m
Arne Engels,Central Midfield,21,Belgium,Celtic FC,€12.00m
Nicola Zalewski,Left Midfield,23,Poland,Inter Milan,€12.00m
Hayden Hackney,Defensive Midfield,23,England,Middlesbrough FC,€12.00m
Jens Cajuste,Defensive Midfield,25,Sweden,SSC Napoli,€12.00m
Daniel Bragança,Central Midfield,26,Portugal,Sporting CP,€12.00m
Ryan Yates,Central Midfield,27,England,Nottingham Forest,€12.00m
Nicolò Zaniolo,Attacking Midfield,26,Italy,Galatasaray,€12.00m
Alexis Claude-Maurice,Attacking Midfield,27,France,FC Augsburg,€12.00m
Jakub Moder,Central Midfield,26,Poland,Feyenoord Rotterdam,€12.00m
Guus Til,Attacking Midfield,27,Netherlands,PSV Eindhoven,€12.00m
Daichi Kamada,Attacking Midfield,28,Japan,Crystal Palace,€12.00m
Kalvin Phillips,Defensive Midfield,29,England,Manchester City,€12.00m
Jens Odgaard,Attacking Midfield,26,Denmark,Bologna FC 1909,€12.00m
Boubakary Soumaré,Defensive Midfield,26,France,Leicester City,€12.00m
Mattias Svanberg,Central Midfield,26,Sweden,VfL Wolfsburg,€12.00m
Christoph Baumgartner,Attacking Midfield,25,Austria,RB Leipzig,€12.00m
Rolando Mandragora,Defensive Midfield,28,Italy,ACF Fiorentina,€12.00m
Mauro Arambarri,Central Midfield,29,Uruguay,Getafe CF,€12.00m
Atakan Karazor,Defensive Midfield,28,Türkiye,VfB Stuttgart,€12.00m
Corentin Tolisso,Central Midfield,30,France,Olympique Lyon,€12.00m
Granit Xhaka,Defensive Midfield,32,Switzerland,Bayer 04 Leverkusen,€12.00m
Neymar,Attacking Midfield,33,Brazil,Santos FC,€12.00m
Lorran,Attacking Midfield,19,Brazil,CR Flamengo,€11.00m
Aleksandar Stanković,Defensive Midfield,19,Serbia,Inter Milan,€11.00m
Juan Ignacio Nardoni,Central Midfield,23,Argentina,Racing Club,€11.00m
Mauricio,Attacking Midfield,24,Brazil,Sociedade Esportiva Palmeiras,€11.00m
Aníbal Moreno,Defensive Midfield,26,Argentina,Sociedade Esportiva Palmeiras,€11.00m
İsmail Yüksek,Defensive Midfield,26,Türkiye,Fenerbahce,€11.00m
Christos Zafeiris,Central Midfield,22,Greece,SK Slavia Prague,€11.00m
Albert Grønbæk,Attacking Midfield,24,Denmark,Genoa CFC,€11.00m
Yacine Adli,Defensive Midfield,24,France,AC Milan,€11.00m
Mykola Shaparenko,Central Midfield,26,Ukraine,Dynamo Kyiv,€11.00m
Bryan Heynen,Central Midfield,28,Belgium,KRC Genk,€11.00m
Matheus Pereira,Attacking Midfield,29,Brazil,Cruzeiro Esporte Clube,€11.00m
Christian Nørgaard,Defensive Midfield,31,Denmark,Arsenal FC,€11.00m
Kendry Páez,Attacking Midfield,18,Ecuador,Chelsea FC,€10.00m
Mathis Amougou,Central Midfield,19,France,RC Strasbourg Alsace,€10.00m
Reda Belahyane,Defensive Midfield,21,Morocco,SS Lazio,€10.00m
Valentin Atangana,Central Midfield,19,France,Stade Reims,€10.00m
Martinelli,Defensive Midfield,23,Brazil,Fluminense Football Club,€10.00m
Shea Charles,Defensive Midfield,21,Northern Ireland,Southampton FC,€10.00m
Matheus França,Attacking Midfield,21,Brazil,Crystal Palace,€10.00m
Manu Silva,Defensive Midfield,24,Portugal,SL Benfica,€10.00m
Jacopo Fazzini,Central Midfield,22,Italy,ACF Fiorentina,€10.00m
Enzo Barrenechea,Defensive Midfield,24,Argentina,SL Benfica,€10.00m
Yuito Suzuki,Attacking Midfield,23,Japan,SC Freiburg,€10.00m
Marlon Gomes,Central Midfield,21,Brazil,Shakhtar Donetsk,€10.00m
Leon Avdullahu,Defensive Midfield,21,Switzerland,TSG 1899 Hoffenheim,€10.00m
Félix Lemaréchal,Attacking Midfield,21,France,RC Strasbourg Alsace,€10.00m
Warren Bondo,Central Midfield,21,France,AC Milan,€10.00m
Aaron Ramsey,Attacking Midfield,22,England,Burnley FC,€10.00m
Beñat Turrientes,Central Midfield,23,Spain,Real Sociedad,€10.00m
Tom Fellows,Right Midfield,21,England,West Bromwich Albion,€10.00m
