name,position,age,nation,club,value
Liam Delap,Centre-Forward,22,England,Chelsea FC,€40.00m
Antoine Semenyo,Left Winger,25,Ghana,AFC Bournemouth,€40.00m
Gonçalo Ramos,Centre-Forward,24,Portugal,Paris Saint-Germain,€40.00m
Mason Greenwood,Right Winger,23,England,Olympique Marseille,€40.00m
Kaoru Mitoma,Left Winger,28,Japan,Brighton & Hove Albion,€40.00m
Noni Madueke,Right Winger,23,England,Arsenal FC,€40.00m
Brennan Johnson,Right Winger,24,Wales,Tottenham Hotspur,€40.00m
Ferran Torres,Centre-Forward,25,Spain,FC Barcelona,€40.00m
Ollie Watkins,Centre-Forward,29,England,Aston Villa,€40.00m
Jarrod Bowen,Right Winger,28,England,West Ham United,€40.00m
Brahim Díaz,Right Winger,25,Morocco,Real Madrid,€40.00m
Dominic Solanke,Centre-Forward,27,England,Tottenham Hotspur,€40.00m
Endrick,Centre-Forward,19,Brazil,Real Madrid,€35.00m
Santiago Castro,Centre-Forward,20,Argentina,Bologna FC 1909,€35.00m
Mathys Tel,Centre-Forward,20,France,Tottenham Hotspur,€35.00m
Giuliano Simeone,Right Winger,22,Argentina,Atlético de Madrid,€35.00m
Evanilson,Centre-Forward,25,Brazil,AFC Bournemouth,€35.00m
Igor Paixão,Left Winger,25,Brazil,Feyenoord Rotterdam,€35.00m
Jhon Durán,Centre-Forward,21,Colombia,Fenerbahce,€35.00m
Rasmus Højlund,Centre-Forward,22,Denmark,Manchester United,€35.00m
Antony,Right Winger,25,Brazil,Manchester United,€35.00m
Francisco Trincão,Right Winger,25,Portugal,Sporting CP,€35.00m
Harvey Barnes,Left Winger,27,England,Newcastle United,€35.00m
Dan Ndoye,Right Winger,24,Switzerland,Bologna FC 1909,€35.00m
Dušan Vlahović,Centre-Forward,25,Serbia,Juventus FC,€35.00m
Christopher Nkunku,Centre-Forward,27,France,Chelsea FC,€35.00m
Jonathan Burkardt,Centre-Forward,25,Germany,Eintracht Frankfurt,€35.00m
Vangelis Pavlidis,Centre-Forward,26,Greece,SL Benfica,€35.00m
Mohamed Amoura,Centre-Forward,25,Algeria,VfL Wolfsburg,€32.00m
Georginio Rutter,Centre-Forward,23,France,Brighton & Hove Albion,€32.00m
Yoane Wissa,Centre-Forward,28,DR Congo,Brentford FC,€32.00m
Gabriel Jesus,Centre-Forward,28,Brazil,Arsenal FC,€32.00m
Leroy Sané,Right Winger,29,Germany,Galatasaray,€32.00m
Jesús Rodríguez,Left Winger,19,Spain,Como 1907,€30.00m
Assane Diao,Left Winger,19,Senegal,Como 1907,€30.00m
Franco Mastantuono,Right Winger,17,Argentina,CA River Plate,€30.00m
Yankuba Minteh,Right Winger,21,The Gambia,Brighton & Hove Albion,€30.00m
Malick Fofana,Left Winger,20,Belgium,Olympique Lyon,€30.00m
Matías Soulé,Right Winger,22,Argentina,AS Roma,€30.00m
Yéremy Pino,Right Winger,22,Spain,Villarreal CF,€30.00m
Mika Biereth,Centre-Forward,22,Denmark,AS Monaco,€30.00m
Johan Bakayoko,Right Winger,22,Belgium,RB Leipzig,€30.00m
Santiago Gimenez,Centre-Forward,24,Mexico,AC Milan,€30.00m
Randal Kolo Muani,Centre-Forward,26,France,Paris Saint-Germain,€30.00m
Kevin Schade,Left Winger,23,Germany,Brentford FC,€30.00m
David Neres,Right Winger,28,Brazil,SSC Napoli,€30.00m
Nick Woltemade,Second Striker,23,Germany,VfB Stuttgart,€30.00m
Joshua Zirkzee,Centre-Forward,24,Netherlands,Manchester United,€30.00m
Jørgen Strand Larsen,Centre-Forward,25,Norway,Wolverhampton Wanderers,€30.00m
Pedro Gonçalves,Left Winger,27,Portugal,Sporting CP,€30.00m
Jean-Philippe Mateta,Centre-Forward,28,France,Crystal Palace,€30.00m
Amine Gouiri,Centre-Forward,25,Algeria,Olympique Marseille,€30.00m
Takefusa Kubo,Right Winger,24,Japan,Real Sociedad,€30.00m
Moussa Diaby,Right Winger,26,France,Al-Ittihad Club,€30.00m
Artem Dovbyk,Centre-Forward,28,Ukraine,AS Roma,€30.00m
Kingsley Coman,Left Winger,29,France,Bayern Munich,€30.00m
Antonio Nusa,Left Winger,20,Norway,RB Leipzig,€28.00m
Dango Ouattara,Left Winger,23,Burkina Faso,AFC Bournemouth,€28.00m
Eliesse Ben Seghir,Left Winger,20,Morocco,AS Monaco,€28.00m
Simon Adingra,Left Winger,23,Cote d'Ivoire,Sunderland AFC,€28.00m
Francisco Conceição,Right Winger,22,Portugal,FC Porto,€28.00m
Jadon Sancho,Left Winger,25,England,Manchester United,€28.00m
Leon Bailey,Right Winger,27,Jamaica,Aston Villa,€28.00m
Alex Iwobi,Left Winger,29,Nigeria,Fulham FC,€28.00m
Jack Grealish,Left Winger,29,England,Manchester City,€28.00m
Patrik Schick,Centre-Forward,29,Czech Republic,Bayer 04 Leverkusen,€27.00m
Pio Esposito,Centre-Forward,20,Italy,Inter Milan,€25.00m
Tyler Dibling,Right Winger,19,England,Southampton FC,€25.00m
Luiz Henrique,Right Winger,24,Brazil,Zenit St. Petersburg,€25.00m
Alberto Moleiro,Left Winger,21,Spain,Villarreal CF,€25.00m
Brajan Gruda,Right Winger,21,Germany,Brighton & Hove Albion,€25.00m
Oscar Bobb,Right Winger,22,Norway,Manchester City,€25.00m
Evan Ferguson,Centre-Forward,20,Ireland,Brighton & Hove Albion,€25.00m
Dwight McNeil,Left Winger,25,England,Everton FC,€25.00m
Maximilian Beier,Centre-Forward,22,Germany,Borussia Dortmund,€25.00m
Emanuel Emegha,Centre-Forward,22,Netherlands,RC Strasbourg Alsace,€25.00m
Kang-in Lee,Right Winger,24,"Korea, South",Paris Saint-Germain,€25.00m
Dilane Bakwa,Right Winger,22,France,RC Strasbourg Alsace,€25.00m
Taty Castellanos,Centre-Forward,26,Argentina,SS Lazio,€25.00m
Evann Guessand,Centre-Forward,24,Cote d'Ivoire,OGC Nice,€25.00m
Edon Zhegrova,Right Winger,26,Kosovo,LOSC Lille,€25.00m
Christos Tzolis,Left Winger,23,Greece,Club Brugge KV,€25.00m
Ismaïla Sarr,Right Winger,27,Senegal,Crystal Palace,€25.00m
Giacomo Raspadori,Second Striker,25,Italy,SSC Napoli,€25.00m
Callum Hudson-Odoi,Left Winger,24,England,Nottingham Forest,€25.00m
Riccardo Orsolini,Right Winger,28,Italy,Bologna FC 1909,€25.00m
Ritsu Doan,Right Winger,27,Japan,SC Freiburg,€25.00m
Mikel Oyarzabal,Centre-Forward,28,Spain,Real Sociedad,€25.00m
Noa Lang,Left Winger,26,Netherlands,SSC Napoli,€25.00m
Donyell Malen,Right Winger,26,Netherlands,Aston Villa,€25.00m
Ivan Toney,Centre-Forward,29,England,Al-Ahli SFC,€25.00m
Alexander Sørloth,Centre-Forward,29,Norway,Atlético de Madrid,€25.00m
Conrad Harder,Centre-Forward,20,Denmark,Sporting CP,€24.00m
Nico González,Right Winger,27,Argentina,Juventus FC,€24.00m
Galeno,Left Winger,27,Brazil,Al-Ahli SFC,€24.00m
Youssef En-Nesyri,Centre-Forward,28,Morocco,Fenerbahce,€24.00m
Kerem Aktürkoğlu,Left Winger,26,Türkiye,SL Benfica,€24.00m
Gianluca Scamacca,Centre-Forward,26,Italy,Atalanta BC,€24.00m
Stefanos Tzimas,Centre-Forward,19,Greece,Brighton & Hove Albion,€22.00m
Roger,Right Winger,19,Portugal,SC Braga,€22.00m
Georges Mikautadze,Centre-Forward,24,Georgia,Olympique Lyon,€22.00m
Samuel Lino,Left Winger,25,Brazil,Atlético de Madrid,€22.00m
Elye Wahi,Centre-Forward,22,France,Eintracht Frankfurt,€22.00m
Wilfried Gnonto,Right Winger,21,Italy,Leeds United,€22.00m
Iliman Ndiaye,Left Winger,25,Senegal,Everton FC,€22.00m
Beto,Centre-Forward,27,Guinea-Bissau,Everton FC,€22.00m
Arnaud Kalimuendo,Centre-Forward,23,France,Stade Rennais FC,€22.00m
Lorenzo Lucca,Centre-Forward,24,Italy,SSC Napoli,€22.00m
Pepê,Right Winger,28,Brazil,FC Porto,€22.00m
Yuri Alberto,Centre-Forward,24,Brazil,Sport Club Corinthians Paulista,€22.00m
Crysencio Summerville,Left Winger,23,Netherlands,West Ham United,€22.00m
Brian Brobbey,Centre-Forward,23,Netherlands,Ajax Amsterdam,€22.00m
Pedro,Centre-Forward,28,Brazil,CR Flamengo,€22.00m
Ermedin Demirovic,Centre-Forward,27,Bosnia-Herzegovina,VfB Stuttgart,€22.00m
Serge Gnabry,Left Winger,30,Germany,Bayern Munich,€22.00m
Leandro Trossard,Left Winger,30,Belgium,Arsenal FC,€22.00m
Romelu Lukaku,Centre-Forward,32,Belgium,SSC Napoli,€22.00m
Barış Alper Yılmaz,Left Winger,25,Türkiye,Galatasaray,€21.00m
Vitor Roque,Centre-Forward,20,Brazil,Sociedade Esportiva Palmeiras,€20.00m
Thierno Barry,Centre-Forward,22,France,Everton FC,€20.00m
Ange-Yoan Bonny,Centre-Forward,21,France,Inter Milan,€20.00m
Wilson Odobert,Right Winger,20,France,Tottenham Hotspur,€20.00m
Rodrigo Muniz,Centre-Forward,24,Brazil,Fulham FC,€20.00m
Jamie Leweling,Right Winger,24,Germany,VfB Stuttgart,€20.00m
Fábio Silva,Centre-Forward,23,Portugal,Wolverhampton Wanderers,€20.00m
Gustav Isaksen,Right Winger,24,Denmark,SS Lazio,€20.00m
João Félix,Second Striker,25,Portugal,Chelsea FC,€20.00m
Richarlison,Centre-Forward,28,Brazil,Tottenham Hotspur,€20.00m
Sergio Gómez,Left Winger,24,Spain,Real Sociedad,€20.00m
Deniz Undav,Centre-Forward,29,Germany,VfB Stuttgart,€20.00m
Dodi Lukébakio,Right Winger,27,Belgium,Sevilla FC,€20.00m
Mattia Zaccagni,Left Winger,30,Italy,SS Lazio,€20.00m
Heung-min Son,Left Winger,33,"Korea, South",Tottenham Hotspur,€20.00m
Mikey Moore,Left Winger,17,England,Tottenham Hotspur,€18.00m
Igor Thiago,Centre-Forward,24,Brazil,Brentford FC,€18.00m
Tolu Arokodare,Centre-Forward,24,Nigeria,KRC Genk,€18.00m
Marcos Leonardo,Centre-Forward,22,Brazil,Al-Hilal SFC,€18.00m
Matthis Abline,Centre-Forward,22,France,FC Nantes,€18.00m
Lucas Stassin,Centre-Forward,20,Belgium,AS Saint-Étienne,€18.00m
Adam Hlozek,Second Striker,22,Czech Republic,TSG 1899 Hoffenheim,€18.00m
Amine Adli,Left Winger,25,Morocco,Bayer 04 Leverkusen,€18.00m
Jesper Lindstrøm,Right Winger,25,Denmark,SSC Napoli,€18.00m
Folarin Balogun,Centre-Forward,24,United States,AS Monaco,€18.00m
Cucho Hernández,Centre-Forward,26,Colombia,Real Betis Balompié,€18.00m
Emmanuel Latte Lath,Centre-Forward,26,Cote d'Ivoire,Atlanta United FC,€18.00m
Joël Piroe,Centre-Forward,25,Netherlands,Leeds United,€18.00m
Eddie Nketiah,Centre-Forward,26,England,Crystal Palace,€18.00m
Daniel James,Right Winger,27,Wales,Leeds United,€18.00m
Albert Gudmundsson,Second Striker,28,Iceland,ACF Fiorentina,€18.00m
Ludovic Blas,Right Winger,27,France,Stade Rennais FC,€18.00m
Viktor Tsygankov,Right Winger,27,Ukraine,Girona FC,€18.00m
Antoine Griezmann,Centre-Forward,34,France,Atlético de Madrid,€18.00m
Aleksandar Mitrović,Centre-Forward,30,Serbia,Al-Hilal SFC,€18.00m
Lionel Messi,Right Winger,38,Argentina,Inter Miami CF,€18.00m
Jean-Mattéo Bahoya,Left Winger,20,France,Eintracht Frankfurt,€17.00m
Jhon Arias,Right Winger,27,Colombia,Wolverhampton Wanderers,€17.00m
Martin Terrier,Left Winger,28,France,Bayer 04 Leverkusen,€17.00m
Alexis Saelemaekers,Right Winger,26,Belgium,AC Milan,€17.00m
Timothy Weah,Right Winger,25,United States,Juventus FC,€17.00m
Tim Kleindienst,Centre-Forward,29,Germany,Borussia Mönchengladbach,€17.00m
Jaden Philogene,Left Winger,23,England,Ipswich Town,€16.00m
Ricardo Pepi,Centre-Forward,22,United States,PSV Eindhoven,€16.00m
Konstantin Tyukavin,Centre-Forward,23,Russia,Dynamo Moscow,€16.00m
Paulinho,Left Winger,25,Brazil,Sociedade Esportiva Palmeiras,€16.00m
Josh Sargent,Centre-Forward,25,United States,Norwich City,€16.00m
Reiss Nelson,Right Winger,25,England,Arsenal FC,€16.00m
Dominic Calvert-Lewin,Centre-Forward,28,England,Without Club,€16.00m
Taiwo Awoniyi,Centre-Forward,27,Nigeria,Nottingham Forest,€16.00m
Jacob Murphy,Right Winger,30,England,Newcastle United,€16.00m
George Ilenikhena,Centre-Forward,18,Nigeria,AS Monaco,€15.00m
Luis Guilherme,Right Winger,19,Brazil,West Ham United,€15.00m
Benja Domínguez,Left Winger,21,Argentina,Bologna FC 1909,€15.00m
Eli Junior Kroupi,Centre-Forward,19,France,AFC Bournemouth,€15.00m
Ernest Nuamah,Right Winger,21,Ghana,Olympique Lyon,€15.00m
Sindre Walle Egeli,Right Winger,19,Norway,FC Nordsjaelland,€15.00m
Yáser Asprilla,Right Winger,21,Colombia,Girona FC,€15.00m
Karim Konaté,Centre-Forward,21,Cote d'Ivoire,Red Bull Salzburg,€15.00m
Matías Fernández-Pardo,Centre-Forward,20,Spain,LOSC Lille,€15.00m
Ilias Akhomach,Right Winger,21,Morocco,Villarreal CF,€15.00m
Geny Catamo,Right Winger,24,Mozambique,Sporting CP,€15.00m
Mohamed-Ali Cho,Right Winger,21,France,OGC Nice,€15.00m
Andreas Schjelderup,Left Winger,21,Norway,SL Benfica,€15.00m
Jota Silva,Right Winger,25,Portugal,Nottingham Forest,€15.00m
Orri Óskarsson,Centre-Forward,20,Iceland,Real Sociedad,€15.00m
El Bilal Touré,Centre-Forward,23,Mali,Atalanta BC,€15.00m
Manfred Ugalde,Centre-Forward,23,Costa Rica,Spartak Moscow,€15.00m
Yeremay Hernández,Left Winger,22,Spain,Deportivo de La Coruña,€15.00m
Vladyslav Vanat,Centre-Forward,23,Ukraine,Dynamo Kyiv,€15.00m
Boulaye Dia,Centre-Forward,28,Senegal,SS Lazio,€15.00m
Diego López,Right Winger,23,Spain,Valencia CF,€15.00m
Ander Barrenetxea,Left Winger,23,Spain,Real Sociedad,€15.00m
Armand Laurienté,Left Winger,26,France,US Sassuolo,€15.00m
Mathias Kvistgaarden,Centre-Forward,23,Denmark,Norwich City,€15.00m
Jack Clarke,Left Winger,24,England,Ipswich Town,€15.00m
Terem Moffi,Centre-Forward,26,Nigeria,OGC Nice,€15.00m
Bryan Gil,Left Winger,24,Spain,Tottenham Hotspur,€15.00m
Patrick Wimmer,Right Winger,24,Austria,VfL Wolfsburg,€15.00m
Fotis Ioannidis,Centre-Forward,25,Greece,Panathinaikos FC,€15.00m
Luis Sinisterra,Left Winger,26,Colombia,AFC Bournemouth,€15.00m
Nikola Krstović,Centre-Forward,25,Montenegro,US Lecce,€15.00m
Igor Jesus,Centre-Forward,24,Brazil,Nottingham Forest,€15.00m
Ansgar Knauff,Right Winger,23,Germany,Eintracht Frankfurt,€15.00m
Daizen Maeda,Left Winger,27,Japan,Celtic FC,€15.00m
Ché Adams,Centre-Forward,29,Scotland,Torino FC,€15.00m
Nathan Tella,Right Winger,26,Nigeria,Bayer 04 Leverkusen,€15.00m
Tammy Abraham,Centre-Forward,27,England,Besiktas JK,€15.00m
Andrea Pinamonti,Centre-Forward,26,Italy,US Sassuolo,€15.00m
Harry Wilson,Right Winger,28,Wales,Fulham FC,€15.00m
Chris Führich,Left Winger,27,Germany,VfB Stuttgart,€15.00m
Iñaki Williams,Right Winger,31,Ghana,Athletic Bilbao,€15.00m
Takumi Minamino,Left Winger,30,Japan,AS Monaco,€15.00m
Rayan,Right Winger,18,Brazil,Clube de Regatas Vasco da Gama,€14.00m
Anis Hadj Moussa,Right Winger,23,Algeria,Feyenoord Rotterdam,€14.00m
Ben Doak,Right Winger,19,Scotland,Liverpool FC,€14.00m
Samuel Mbangula,Left Winger,21,Belgium,Juventus FC,€14.00m
Borja Sainz,Left Winger,24,Spain,FC Porto,€14.00m
Hugo Duro,Centre-Forward,25,Spain,Valencia CF,€14.00m
Troy Parrott,Centre-Forward,23,Ireland,AZ Alkmaar,€14.00m
Kévin Denkey,Centre-Forward,24,Togo,FC Cincinnati,€14.00m
Facundo Torres,Left Winger,25,Uruguay,Sociedade Esportiva Palmeiras,€14.00m
Maksim Glushenkov,Second Striker,25,Russia,Zenit St. Petersburg,€14.00m
Andreas Skov Olsen,Right Winger,25,Denmark,VfL Wolfsburg,€14.00m
Jack Harrison,Right Winger,28,England,Leeds United,€14.00m
Eljif Elmas,Left Winger,25,North Macedonia,RB Leipzig,€14.00m
Yunus Akgün,Right Winger,25,Türkiye,Galatasaray,€14.00m
Manor Solomon,Left Winger,25,Israel,Tottenham Hotspur,€14.00m
Simon Banza,Centre-Forward,28,DR Congo,SC Braga,€14.00m
Federico Chiesa,Right Winger,27,Italy,Liverpool FC,€14.00m
Steven Bergwijn,Left Winger,27,Netherlands,Al-Ittihad Club,€14.00m
Franculino,Centre-Forward,21,Guinea-Bissau,FC Midtjylland,€13.00m
Kamaldeen Sulemana,Left Winger,23,Ghana,Atalanta BC,€13.00m
Franjo Ivanovic,Centre-Forward,21,Croatia,Union Saint-Gilloise,€13.00m
Noah Okafor,Left Winger,25,Switzerland,AC Milan,€13.00m
Kasper Dolberg,Centre-Forward,27,Denmark,RSC Anderlecht,€13.00m
Allan Saint-Maximin,Left Winger,28,France,Al-Ahli SFC,€13.00m
Gabriel Carvalho,Right Winger,17,Brazil,Sport Club Internacional,€12.00m
Charalampos Kostoulas,Centre-Forward,18,Greece,Brighton & Hove Albion,€12.00m
Eliezer Mayenda,Centre-Forward,20,Spain,Sunderland AFC,€12.00m
Romain Esse,Right Winger,20,England,Crystal Palace,€12.00m
Kevin,Left Winger,22,Brazil,Shakhtar Donetsk,€12.00m
Semih Kılıçsoy,Centre-Forward,19,Türkiye,Besiktas JK,€12.00m
Luciano Gondou,Centre-Forward,24,Argentina,Zenit St. Petersburg,€12.00m
Luca Koleosho,Right Winger,20,Italy,Burnley FC,€12.00m
Ramón Sosa,Left Winger,25,Paraguay,Sociedade Esportiva Palmeiras,€12.00m
Abde Ezzalzouli,Left Winger,23,Morocco,Real Betis Balompié,€12.00m
Bryan Zaragoza,Left Winger,23,Spain,Bayern Munich,€12.00m
Jonathan Rowe,Left Winger,22,England,Olympique Marseille,€12.00m
Dorgeles Nene,Left Winger,22,Mali,Red Bull Salzburg,€12.00m
Tiago Tomás,Centre-Forward,23,Portugal,VfL Wolfsburg,€12.00m
Osame Sahraoui,Left Winger,24,Morocco,LOSC Lille,€12.00m
Armando Broja,Centre-Forward,23,Albania,Chelsea FC,€12.00m
Zeki Amdouni,Centre-Forward,24,Switzerland,Burnley FC,€12.00m
Thijs Dallinga,Centre-Forward,24,Netherlands,Bologna FC 1909,€12.00m
Cameron Archer,Centre-Forward,23,England,Southampton FC,€12.00m
Wilson Isidor,Centre-Forward,24,France,Sunderland AFC,€12.00m
Rodrigo Riquelme,Left Winger,25,Spain,Real Betis Balompié,€12.00m
Benedict Hollerbach,Centre-Forward,24,Germany,1.FSV Mainz 05,€12.00m
Roberto Piccoli,Centre-Forward,24,Italy,Cagliari Calcio,€12.00m
Julián Quiñones,Centre-Forward,28,Mexico,Al-Qadsiah FC,€12.00m
Zakaria Aboukhlal,Right Winger,25,Morocco,FC Toulouse,€12.00m
Jonas Wind,Centre-Forward,26,Denmark,VfL Wolfsburg,€12.00m
Levi García,Centre-Forward,27,Trinidad and Tobago,Spartak Moscow,€12.00m
Nicolas Kühn,Right Winger,25,Germany,Como 1907,€12.00m
Marcus Edwards,Right Winger,26,England,Burnley FC,€12.00m
Hee-chan Hwang,Centre-Forward,29,"Korea, South",Wolverhampton Wanderers,€12.00m
Robin Hack,Left Winger,26,Germany,Borussia Mönchengladbach,€12.00m
Moses Simon,Left Winger,30,Nigeria,Paris FC,€12.00m
Ricardo Horta,Right Winger,30,Portugal,SC Braga,€12.00m
Adam Armstrong,Centre-Forward,28,England,Southampton FC,€12.00m
Breel Embolo,Centre-Forward,28,Switzerland,AS Monaco,€12.00m
Franck Honorat,Right Winger,28,France,Borussia Mönchengladbach,€12.00m
Jhon Córdoba,Centre-Forward,32,Colombia,FC Krasnodar,€12.00m
Robert Lewandowski,Centre-Forward,36,Poland,FC Barcelona,€12.00m
Cristiano Ronaldo,Centre-Forward,40,Portugal,Al-Nassr FC,€12.00m
Kauã Elias,Centre-Forward,19,Brazil,Shakhtar Donetsk,€11.00m
Rômulo,Centre-Forward,23,Brazil,Göztepe,€11.00m
Promise David,Centre-Forward,24,Canada,Union Saint-Gilloise,€11.00m
Issahaku Fatawu,Right Winger,21,Ghana,Leicester City,€11.00m
Jarne Steuckers,Right Winger,23,Belgium,KRC Genk,€11.00m
Jay Stansfield,Centre-Forward,22,England,Birmingham City,€11.00m
Oğuz Aydın,Left Winger,24,Türkiye,Fenerbahce,€11.00m
Tetê,Right Winger,25,Brazil,Panathinaikos FC,€11.00m
Gonçalo Guedes,Left Winger,28,Portugal,Wolverhampton Wanderers,€11.00m
Álvaro Morata,Centre-Forward,32,Spain,Galatasaray,€11.00m
Ibrahim Osman,Left Winger,20,Ghana,AJ Auxerre,€10.00m
Gustavo Nunes,Left Winger,19,Brazil,Brentford FC,€10.00m
Francesco Camarda,Centre-Forward,17,Italy,US Lecce,€10.00m
Maroan Sannadi,Centre-Forward,24,Morocco,Athletic Bilbao,€10.00m
Gift Orban,Centre-Forward,23,Nigeria,TSG 1899 Hoffenheim,€10.00m
Pedro,Left Winger,19,Brazil,Zenit St. Petersburg,€10.00m
Tyrique George,Left Winger,19,England,Chelsea FC,€10.00m
Bénie Traoré,Left Winger,22,Cote d'Ivoire,FC Basel 1893,€10.00m
José Manuel López,Centre-Forward,24,Argentina,Sociedade Esportiva Palmeiras,€10.00m
Nelson Weiper,Centre-Forward,20,Germany,1.FSV Mainz 05,€10.00m
Mika Godts,Left Winger,20,Belgium,Ajax Amsterdam,€10.00m
Gabriel Pec,Right Winger,24,Brazil,Los Angeles Galaxy,€10.00m
Tom Cannon,Centre-Forward,22,Ireland,Sheffield United,€10.00m
Loum Tchaouna,Right Winger,21,France,Burnley FC,€10.00m
Ernest Muci,Left Winger,24,Albania,Besiktas JK,€10.00m
Samuel Iling-Junior,Left Winger,21,England,Aston Villa,€10.00m
Sofiane Diop,Left Winger,25,Morocco,OGC Nice,€10.00m
Carlos Vicente,Right Winger,26,Spain,Deportivo Alavés,€10.00m
Anastasios Douvikas,Centre-Forward,25,Greece,Como 1907,€10.00m
Morgan Whittaker,Right Winger,24,England,Middlesbrough FC,€10.00m
Youssoufa Moukoko,Centre-Forward,20,Germany,FC Copenhagen,€10.00m
Willem Geubbels,Centre-Forward,23,France,FC St. Gallen 1879,€10.00m
Josh Maja,Centre-Forward,26,Nigeria,West Bromwich Albion,€10.00m
Zuriko Davitashvili,Left Winger,24,Georgia,AS Saint-Étienne,€10.00m
Alexis Vega,Left Winger,27,Mexico,Deportivo Toluca,€10.00m
Javi Puado,Left Winger,27,Spain,RCD Espanyol Barcelona,€10.00m
Samuel Chukwueze,Right Winger,26,Nigeria,AC Milan,€10.00m
Dennis Man,Right Winger,26,Romania,Parma Calcio 1913,€10.00m
