Name,Age,Nation,Position,Club,League,Confederation,Billion_KRW,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Name_ID
Aimen Moueffek,24,Morocco,Central_Midfielder,AS Saint-Étienne,Ligue2,CAF,40.6,MF,68,65,56,64,72,65,66,aimenmoueffek_MOR
Ainsley Maitland-Niles,27,England,Right_Back,Olympique Lyon,Ligue1,UEFA,195.0,DF,75,76,61,71,73,71,72,ainsleymaitland-niles_ENG
Aitor Paredes,25,Spain,Centre_Back,Athletic Bilbao,LaLiga,UEFA,357.5,DF,77,72,36,49,56,78,75,aitorparedes_SPA
Ajani Fortune,22,Trinidad and Tobago,Central_Midfielder,Atlanta United FC,MLS,CONCACAF,24.4,MF,57,62,42,55,54,43,55,ajanifortune_TRI
Alan,25,Brazil,Attacking_Midfielder,Moreirense FC,Liga_Portugal,CONMEBOL,65.0,MF,72,75,65,69,75,50,45,alan_BRA
Alan Lescano,23,Argentina,Attacking_Midfielder,AA Argentinos Juniors,Liga_Profesional,CONMEBOL,97.5,MF,72,65,70,72,73,62,69,alanlescano_ARG
Alan Matturro,20,Uruguay,Centre_Back,Levante UD,LaLiga,CONMEBOL,113.8,DF,66,64,30,52,54,67,64,alanmatturro_URU
Alan Pulido,34,Mexico,Striker,Deportivo Guadalajara,Liga_MX,CONCACAF,16.2,FW,72,73,72,66,72,37,71,alanpulido_MEX
Alan Varela,24,Argentina,Defensive_Midfielder,FC Porto,Liga_Portugal,CONMEBOL,520.0,MF,78,67,62,74,73,74,78,alanvarela_ARG
Alassane Plea,32,France,Striker,PSV Eindhoven,Eredivisie,UEFA,81.2,FW,77,66,77,79,79,39,71,alassaneplea_FRA
Alban Lafont,26,France,Goalkeeper,Panathinaikos FC,SuperLeague1,UEFA,48.8,GK,76,75,71,69,81,47,76,albanlafont_FRA
Albert Gronbaek,24,Denmark,Attacking_Midfielder,Genoa CFC,Serie_A,UEFA,178.8,MF,75,77,68,72,77,62,72,albertgronbaek_DEN
Albert Gudmundsson,28,Iceland,Striker,ACF Fiorentina,Serie_A,UEFA,292.5,FW,80,87,79,70,83,37,72,albertgudmundsson_ICE
Alberto Costa,21,Portugal,Right_Back,FC Porto,Liga_Portugal,UEFA,162.5,DF,62,67,32,51,57,59,56,albertocosta_POR
Alberto Dossena,26,Italy,Centre_Back,Como 1907,Serie_A,UEFA,130.0,DF,74,43,43,52,59,76,75,albertodossena_ITA
Albert Posiadala,22,Poland,Goalkeeper,Molde FK,Eliteserien,UEFA,16.2,GK,66,67,66,64,66,32,67,albertposiadala_POL
Albert Rusnak,31,Slovakia,Attacking_Midfielder,Seattle Sounders FC,MLS,UEFA,56.9,MF,73,73,72,72,75,51,64,albertrusnak_SLO
Albert Sambi Lokonga,25,Belgium,Central_Midfielder,Arsenal FC,PremierLeague,UEFA,130.0,MF,75,64,58,74,76,68,71,albertsambilokonga_BEL
Albian Hajdari,22,Switzerland,Centre_Back,FC Lugano,Swiss_SuperLeague,UEFA,195.0,DF,67,58,32,47,49,65,74,albianhajdari_SWI
Alby Kelly-Heald,20,New Zealand,Goalkeeper,Wellington Phoenix,A_League,OFC,3.2,GK,53,56,52,53,52,24,49,albykelly-heald_NEW
Aleix Garcia,28,Spain,Central_Midfielder,Bayer 04 Leverkusen,Bundesliga,UEFA,325.0,MF,84,67,77,85,84,76,68,aleixgarcia_SPA
Aleksandar Dragovic,34,Austria,Centre_Back,Austria Vienna,Austria_Bundesliga,UEFA,16.2,DF,75,54,51,63,64,77,75,aleksandardragovic_AUS
Aleksandar Mitrovic,30,Serbia,Striker,Al-Hilal SFC,Saudi_ProLeague,UEFA,292.5,FW,82,64,82,62,73,28,88,aleksandarmitrovic_SER
Aleksandar Pavlovic,21,Germany,Defensive_Midfielder,Bayern Munich,Bundesliga,UEFA,893.8,MF,73,69,60,75,72,68,65,aleksandarpavlovic_GER
Aleksandar Stankovic,19,Serbia,Defensive_Midfielder,Club Brugge KV,Jupiler_ProLeague,UEFA,178.8,MF,60,65,33,52,50,57,58,aleksandarstankovic_SER
Aleksa Terzic,25,Serbia,Left_Back,Red Bull Salzburg,Austria_Bundesliga,UEFA,56.9,DF,71,82,45,59,70,66,62,aleksaterzic_SER
Alemao,27,Brazil,Striker,CF Pachuca,Liga_MX,CONMEBOL,56.9,FW,70,74,71,63,68,25,76,alemao_BRA
Alen Sherri,27,Albania,Goalkeeper,Frosinone Calcio,Serie_B,UEFA,16.2,GK,65,66,61,61,68,34,63,alensherri_ALB
Alessandro Bastoni,26,Italy,Centre_Back,Inter Milan,Serie_A,UEFA,1300.0,DF,87,75,43,75,76,87,83,alessandrobastoni_ITA
Alessandro Buongiorno,26,Italy,Centre_Back,SSC Napoli,Serie_A,UEFA,812.5,DF,80,65,45,69,65,82,76,alessandrobuongiorno_ITA
Alessandro Circati,21,Australia,Centre_Back,Parma Calcio 1913,Serie_A,AFC,130.0,DF,73,61,35,53,49,74,74,alessandrocircati_AUS
Alessandro Florenzi,34,Italy,Right_Back,AC Milan,Serie_A,UEFA,16.2,DF,76,70,76,80,79,75,56,alessandroflorenzi_ITA
Alessandro Lopane,21,Australia,Attacking_Midfielder,Melbourne City FC,A_League,AFC,5.7,MF,60,69,52,57,65,49,56,alessandrolopane_AUS
Alessio Castro-Montes,28,Belgium,Side_Midfielder,Union Saint-Gilloise,Jupiler_ProLeague,UEFA,81.2,MF,75,75,69,73,73,72,71,alessiocastro-montes_BEL
Alexandar Popovic,22,Australia,Centre_Back,Sydney FC,A_League,AFC,5.7,DF,63,67,32,48,53,60,75,alexandarpopovic_AUS
Alexander Bah,27,Denmark,Right_Back,SL Benfica,Liga_Portugal,UEFA,162.5,DF,79,91,65,72,75,74,81,alexanderbah_DEN
Alexander Briedl,23,Austria,Defensive_Midfielder,FC Blau-Weiss Linz,Austria_Bundesliga,UEFA,16.2,MF,59,57,32,54,51,57,57,alexanderbriedl_AUS
Alexander Busch,22,Denmark,Centre_Back,Silkeborg IF,Danish_Superligaen,UEFA,19.5,DF,68,54,29,45,53,69,67,alexanderbusch_DEN
Alexander Djiku,30,Ghana,Centre_Back,Fenerbahce,SuperLig,CAF,105.6,DF,79,75,43,67,69,79,81,alexanderdjiku_GHA
Alexander Isak,25,Sweden,Striker,Newcastle United,PremierLeague,UEFA,1950.0,FW,85,85,84,73,86,39,74,alexanderisak_SWE
Alexander Jensen,23,Denmark,Right_Back,Aberdeen FC,Scottish_Premiership,UEFA,24.4,DF,65,76,58,61,63,60,66,alexanderjensen_DEN
Alexander Meyer,34,Germany,Goalkeeper,Borussia Dortmund,Bundesliga,UEFA,13.0,GK,75,72,71,77,76,41,74,alexandermeyer_GER
Alexander Nubel,28,Germany,Goalkeeper,VfB Stuttgart,Bundesliga,UEFA,195.0,GK,80,81,76,81,82,48,78,alexandernubel_GER
Alexander Ring,34,Finland,Central_Midfielder,HJK Helsinki,Other_leagues,UEFA,6.5,MF,71,67,66,67,69,68,74,alexanderring_FIN
Alexander Schlager,29,Austria,Goalkeeper,Red Bull Salzburg,Austria_Bundesliga,UEFA,40.6,GK,74,73,72,66,76,46,73,alexanderschlager_AUS
Alexander Sorloth,29,Norway,Striker,Atlético de Madrid,LaLiga,UEFA,406.2,FW,82,79,82,70,76,36,85,alexandersorloth_NOR
Alexandre Lacazette,34,France,Striker,NEOM SC,Saudi_ProLeague,UEFA,97.5,FW,82,70,84,76,83,44,75,alexandrelacazette_FRA
Alexandre Penetra,23,Portugal,Centre_Back,AZ Alkmaar,Eredivisie,UEFA,146.2,DF,72,67,36,53,51,74,72,alexandrepenetra_POR
Alexandros Paschalakis,35,Greece,Goalkeeper,Olympiacos Piraeus,SuperLeague1,UEFA,8.1,GK,75,76,72,58,77,51,75,alexandrospaschalakis_GRE
Alexandru Maxim,35,Romania,Attacking_Midfielder,Gaziantep FK,SuperLig,UEFA,8.1,MF,75,69,74,77,78,34,60,alexandrumaxim_ROM
Alexandru Tudorie,29,Romania,Striker,Wuhan Three Towns,Chinese_SuperLeague,UEFA,19.5,FW,62,59,61,44,52,32,69,alexandrutudorie_ROM
Alex Arce,30,Paraguay,Striker,CS Independiente Rivadavia,Liga_Profesional,CONMEBOL,73.1,FW,73,59,77,48,69,22,64,alexarce_PAR
Alex Bonetig,22,Australia,Centre_Back,Western Sydney Wanderers,A_League,AFC,7.3,DF,59,59,29,47,51,58,67,alexbonetig_AUS
Alex Gersbach,28,Australia,Left_Back,Western Sydney Wanderers,A_League,AFC,5.7,DF,64,82,35,55,61,57,73,alexgersbach_AUS
Alex Greive,26,New Zealand,Striker,San Antonio FC,Other_leagues,OFC,4.9,FW,61,78,60,49,60,18,58,alexgreive_NEW
Alexis Antunes,24,Switzerland,Attacking_Midfielder,Servette FC,Swiss_SuperLeague,UEFA,48.8,MF,69,70,63,66,74,51,65,alexisantunes_SWI
Alexis Mac Allister,26,Argentina,Central_Midfielder,Liverpool FC,PremierLeague,CONMEBOL,1625.0,MF,86,69,82,85,84,76,76,alexismacallister_ARG
Alex Meret,28,Italy,Goalkeeper,SSC Napoli,Serie_A,UEFA,292.5,GK,81,80,78,72,84,44,83,alexmeret_ITA
Alex Padilla,21,Mexico,Goalkeeper,Athletic Bilbao,LaLiga,CONCACAF,48.8,GK,63,64,64,60,62,31,67,alexpadilla_MEX
Alex Palmer,28,England,Goalkeeper,Ipswich Town,Championship,UEFA,16.2,GK,72,73,72,71,72,30,71,alexpalmer_ENG
Alex Paulsen,23,New Zealand,Goalkeeper,AFC Bournemouth,PremierLeague,OFC,12.2,GK,70,68,65,70,73,49,64,alexpaulsen_NEW
Alex Remiro,30,Spain,Goalkeeper,Real Sociedad,LaLiga,UEFA,292.5,GK,84,84,79,80,86,42,86,alexremiro_SPA
Alex Robertson,22,Australia,Central_Midfielder,Cardiff City,League_One,AFC,24.4,MF,67,71,56,66,71,55,62,alexrobertson_AUS
Alex Roldan,28,El Salvador,Right_Back,Seattle Sounders FC,MLS,CONCACAF,65.0,DF,69,75,57,65,70,62,71,alexroldan_EL 
Alex Rufer,29,New Zealand,Defensive_Midfielder,Wellington Phoenix,A_League,OFC,9.8,MF,68,64,58,66,66,63,78,alexrufer_NEW
Alexsandro,25,Brazil,Centre_Back,LOSC Lille,Ligue1,CONMEBOL,325.0,DF,76,62,31,51,53,77,78,alexsandro_BRA
Alex Scott,21,England,Central_Midfielder,AFC Bournemouth,PremierLeague,UEFA,325.0,MF,74,73,62,73,79,65,68,alexscott_ENG
Alex Valle,21,Spain,Left_Back,Como 1907,Serie_A,UEFA,97.5,DF,68,72,46,64,68,62,67,alexvalle_SPA
Alfie Devine,20,England,Attacking_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,56.9,MF,65,66,59,63,65,52,57,alfiedevine_ENG
Alfie Gilchrist,21,England,Right_Back,Chelsea FC,PremierLeague,UEFA,130.0,DF,65,60,37,53,53,65,65,alfiegilchrist_ENG
Alhassan Yusuf,25,Nigeria,Central_Midfielder,New England Revolution,MLS,CAF,48.8,MF,72,76,59,67,73,67,76,alhassanyusuf_NIG
Ali Abdi,31,Tunisia,Left_Back,OGC Nice,Ligue1,CAF,48.8,DF,71,89,60,66,71,62,76,aliabdi_TUN
Ali Ahmed,24,Canada,Side_Midfielder,Vancouver Whitecaps FC,MLS,CONCACAF,48.8,MF,64,75,55,60,66,61,63,aliahmed_CAN
Alidu Seidu,25,Ghana,Centre_Back,Stade Rennais FC,Ligue1,CAF,146.2,DF,74,58,43,61,70,75,67,aliduseidu_GHA
Ali Lajami,29,Saudi Arabia,Centre_Back,Al-Hilal SFC,Saudi_ProLeague,AFC,14.6,DF,69,76,48,58,60,67,76,alilajami_SAU
Ali Majrashi,25,Saudi Arabia,Right_Back,Al-Ahli SFC,Saudi_ProLeague,AFC,14.6,DF,65,81,44,52,62,58,73,alimajrashi_SAU
Alistair Johnston,26,Canada,Right_Back,Celtic FC,Scottish_Premiership,CONCACAF,162.5,DF,75,79,57,71,70,71,80,alistairjohnston_CAN
Aljoscha Kemlein,20,Germany,Defensive_Midfielder,1.FC Union Berlin,Bundesliga,UEFA,113.8,MF,68,60,59,65,67,64,66,aljoschakemlein_GER
Alou Kuol,24,Australia,Striker,Western Sydney Wanderers,A_League,AFC,5.7,FW,61,77,58,45,56,31,71,aloukuol_AUS
Alphonse Areola,32,France,Goalkeeper,West Ham United,PremierLeague,UEFA,146.2,GK,81,82,77,74,83,55,80,alphonseareola_FRA
Alphonso Davies,24,Canada,Left_Back,Bayern Munich,Bundesliga,CONCACAF,812.5,DF,82,95,66,77,84,72,76,alphonsodavies_CAN
Altay Bayindir,27,Turkey,Goalkeeper,Manchester United,PremierLeague,UEFA,130.0,GK,76,78,73,72,79,30,76,altaybayindir_TUR
Alvaro Carreras,22,Spain,Left_Back,Real Madrid,LaLiga,UEFA,568.8,DF,72,80,56,73,75,64,70,alvarocarreras_SPA
Alvaro Montero,30,Colombia,Goalkeeper,CA Vélez Sarsfield,Liga_Profesional,CONMEBOL,24.4,GK,76,75,74,69,76,43,79,alvaromontero_COL
Alvaro Tejero,29,Spain,Right_Back,Aris Thessaloniki,SuperLeague1,UEFA,29.2,DF,73,82,64,69,71,65,69,alvarotejero_SPA
Alvaro Valles,28,Spain,Goalkeeper,Real Betis Balompié,LaLiga,UEFA,40.6,GK,81,80,79,79,83,41,81,alvarovalles_SPA
Alvyn Sanches,22,Switzerland,Central_Midfielder,FC Lausanne-Sport,Swiss_SuperLeague,UEFA,227.5,MF,67,70,56,62,71,60,64,alvynsanches_SWI
Amadou Haidara,27,Mali,Central_Midfielder,RB Leipzig,Bundesliga,CAF,260.0,MF,80,66,72,79,81,72,69,amadouhaidara_MAL
Amadou Kone,20,Cote d'Ivoire,Defensive_Midfielder,NEOM SC,Saudi_ProLeague,CAF,65.0,MF,65,61,53,60,61,61,66,amadoukone_COT
Amadou Onana,23,Belgium,Defensive_Midfielder,Aston Villa,PremierLeague,UEFA,812.5,MF,78,72,59,71,72,76,79,amadouonana_BEL
Amady Camara,20,Mali,Striker,SK Sturm Graz,Austria_Bundesliga,CAF,24.4,FW,62,74,62,55,62,22,60,amadycamara_MAL
Amankwah Forson,22,Ghana,Central_Midfielder,Norwich City,Championship,CAF,73.1,MF,69,86,55,65,73,54,50,amankwahforson_GHA
Amar Dedic,22,Bosnia-Herzegovina,Right_Back,SL Benfica,Liga_Portugal,UEFA,195.0,DF,73,83,58,68,71,66,74,amardedic_BOS
Amari'i Bell,31,Jamaica,Left_Back,Charlton Athletic,Championship,CONCACAF,19.5,DF,71,75,50,60,67,71,73,amari'ibell_JAM
Amine Adli,25,Morocco,Left_Winger,Bayer 04 Leverkusen,Bundesliga,CAF,292.5,FW,78,83,76,69,82,42,74,amineadli_MOR
Amine Bassi,27,Morocco,Attacking_Midfielder,Houston Dynamo FC,MLS,CAF,73.1,MF,69,69,69,69,69,48,63,aminebassi_MOR
Amine El Ouazzani,24,Morocco,Striker,SC Braga,Liga_Portugal,CAF,56.9,FW,67,64,67,60,65,20,64,amineelouazzani_MOR
Amine Harit,28,Morocco,Attacking_Midfielder,Olympique Marseille,Ligue1,CAF,130.0,MF,76,77,65,74,81,60,57,amineharit_MOR
Amir Hadziahmetovic,28,Bosnia-Herzegovina,Defensive_Midfielder,Besiktas JK,SuperLig,UEFA,73.1,MF,74,71,60,73,72,71,76,amirhadziahmetovic_BOS
Amir Murillo,29,Panama,Right_Back,Olympique Marseille,Ligue1,CONCACAF,162.5,DF,74,82,57,68,71,69,73,amirmurillo_PAN
Amir Richardson,23,Morocco,Central_Midfielder,ACF Fiorentina,Serie_A,CAF,138.1,MF,73,73,64,69,72,67,74,amirrichardson_MOR
Amir Rrahmani,31,Kosovo,Centre_Back,SSC Napoli,Serie_A,UEFA,195.0,DF,80,69,51,58,61,82,78,amirrrahmani_KOS
Amir Sayoud,34,Algeria,Attacking_Midfielder,Al-Raed,Saudi_ProLeague2,CAF,8.9,MF,74,74,71,73,77,32,65,amirsayoud_ALG
Anan Khalaili,20,Israel,Right_Winger,Union Saint-Gilloise,Jupiler_ProLeague,UEFA,130.0,FW,64,76,62,56,67,25,59,anankhalaili_ISR
Anass Salah-Eddine,23,Netherlands,Left_Back,AS Roma,Serie_A,UEFA,130.0,DF,67,74,35,65,69,62,66,anasssalah-eddine_NET
Anass Zaroury,24,Morocco,Attacking_Midfielder,RC Lens,Ligue1,CAF,130.0,MF,73,84,66,68,76,27,61,anasszaroury_MOR
Anastasios Bakasetas,32,Greece,Attacking_Midfielder,Panathinaikos FC,SuperLeague1,UEFA,65.0,MF,77,68,80,76,77,59,76,anastasiosbakasetas_GRE
Anatoliy Trubin,23,Ukraine,Goalkeeper,SL Benfica,Liga_Portugal,UEFA,455.0,GK,78,72,76,77,82,45,84,anatoliytrubin_UKR
Ander Herrera,35,Spain,Central_Midfielder,CA Boca Juniors,Liga_Profesional,UEFA,13.0,MF,78,59,71,78,78,79,74,anderherrera_SPA
Anders Dreyer,27,Denmark,Right_Winger,San Diego FC,MLS,UEFA,146.2,FW,77,78,78,74,77,42,65,andersdreyer_DEN
Andi Zeqiri,26,Switzerland,Striker,KRC Genk,Jupiler_ProLeague,UEFA,65.0,FW,70,68,69,60,72,23,67,andizeqiri_SWI
Andrea Cambiaso,25,Italy,Left_Back,Juventus FC,Serie_A,UEFA,568.8,DF,77,78,61,76,77,72,66,andreacambiaso_ITA
Andrea Colpani,26,Italy,Attacking_Midfielder,AC Monza,Serie_B,UEFA,154.4,MF,78,76,76,78,78,65,70,andreacolpani_ITA
Andrea Compagno,29,Italy,Striker,Jeonbuk Hyundai Motors,K_League1,UEFA,45.5,FW,70,61,70,50,61,33,79,andreacompagno_ITA
Andrea Fulignati,30,Italy,Goalkeeper,US Cremonese,Serie_A,UEFA,19.5,GK,69,69,67,71,70,48,69,andreafulignati_ITA
Andre Almeida,25,Portugal,Attacking_Midfielder,Valencia CF,LaLiga,UEFA,162.5,MF,77,72,66,78,79,67,63,andrealmeida_POR
Andrea Pinamonti,26,Italy,Striker,US Sassuolo,Serie_A,UEFA,243.8,FW,73,70,75,53,71,27,71,andreapinamonti_ITA
Andreas Christensen,29,Denmark,Centre_Back,FC Barcelona,LaLiga,UEFA,195.0,DF,83,67,32,68,71,85,76,andreaschristensen_DEN
Andreas Hansen,29,Denmark,Goalkeeper,FC Nordsjaelland,Danish_Superligaen,UEFA,21.1,GK,72,72,71,74,73,47,72,andreashansen_DEN
