name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Adalberto Carrasquilla,MF,Central_Midfielder,26,Panama,CONCACAF,UNAM Pumas,Liga_MX,61.8,adalbertocarrasquilla_PAN
Adam Armstrong,FW,Striker,28,England,UEFA,Southampton FC,Championship,195.0,adamarmstrong_ENG
Adama Traore,FW,Right_Winger,30,Mali,CAF,Ferencvárosi TC,Other_leagues,56.9,adamatraore_MAL
Adam Buksa,FW,Striker,29,Poland,UEFA,FC Midtjylland,Danish_Superligaen,97.5,adambuksa_POL
Adam Daghim,FW,Striker,19,Denmark,UEFA,Red Bull Salzburg,Austria_Bundesliga,81.2,adamdaghim_DEN
Adam Gnezda Cerin,MF,Central_Midfielder,26,Slovenia,UEFA,Panathinaikos FC,SuperLeague1,81.2,adamgnezdacerin_SLO
Adam Hlozek,FW,Striker,23,Czech Republic,UEFA,TSG 1899 Hoffenheim,Bundesliga,292.5,adamhlozek_CZE
Adam Idah,FW,Striker,24,Ireland,UEFA,Celtic FC,Scottish_Premiership,105.6,adamidah_IRE
Adamo Nagalo,DF,Centre_Back,22,Burkina Faso,CAF,PSV Eindhoven,Eredivisie,97.5,adamonagalo_BUR
Adam Smith,DF,Right_Back,34,England,UEFA,AFC Bournemouth,PremierLeague,12.2,adamsmith_ENG
Adam Taggart,FW,Striker,32,Australia,AFC,Perth Glory,A_League,9.8,adamtaggart_AUS
Adam Webster,DF,Centre_Back,30,England,UEFA,Brighton & Hove Albion,PremierLeague,178.8,adamwebster_ENG
Adam Wharton,MF,Defensive_Midfielder,21,England,UEFA,Crystal Palace,PremierLeague,731.2,adamwharton_ENG
Ademola Lookman,FW,Striker,27,Nigeria,CAF,Atalanta BC,Serie_A,975.0,ademolalookman_NIG
Adem Zorgane,MF,Central_Midfielder,25,Algeria,CAF,Union Saint-Gilloise,Jupiler_ProLeague,97.5,ademzorgane_ALG
Adil Aouchiche,MF,Attacking_Midfielder,23,France,UEFA,Aberdeen FC,Scottish_Premiership,24.4,adilaouchiche_FRA
Adilson Malanda,DF,Centre_Back,23,France,UEFA,Charlotte FC,MLS,65.0,adilsonmalanda_FRA
Ado Onaiwu,FW,Striker,29,Japan,AFC,AJ Auxerre,Ligue1,24.4,adoonaiwu_JAP
Adrian,GK,Goalkeeper,38,Spain,UEFA,Real Betis Balompié,LaLiga,8.1,adrian_SPA
Adrian Bernabe,MF,Central_Midfielder,24,Spain,UEFA,Parma Calcio 1913,Serie_A,243.8,adrianbernabe_SPA
Adrian Martinez,FW,Striker,33,Argentina,CONMEBOL,Racing Club,Liga_Profesional,56.9,adrianmartinez_ARG
Adriano Bertaccini,FW,Striker,24,Belgium,UEFA,Sint-Truidense VV,Jupiler_ProLeague,73.1,adrianobertaccini_BEL
Adrian Przyborek,MF,Attacking_Midfielder,18,Poland,UEFA,Pogon Szczecin,Ekstraklasa,65.0,adrianprzyborek_POL
Adrian Semper,GK,Goalkeeper,27,Croatia,UEFA,Pisa Sporting Club,Serie_A,56.9,adriansemper_CRO
Adria Pedrosa,DF,Left_Back,27,Spain,UEFA,Sevilla FC,LaLiga,113.8,adriapedrosa_SPA
Adrien Truffert,DF,Left_Back,23,France,UEFA,AFC Bournemouth,PremierLeague,243.8,adrientruffert_FRA
Agustin Alvarez,FW,Striker,24,Uruguay,CONMEBOL,US Sassuolo,Serie_A,65.0,agustinalvarez_URU
Agustin Ojeda,FW,Left_Winger,21,Argentina,CONMEBOL,New York City FC,MLS,65.0,agustinojeda_ARG
Ahmed Kutucu,FW,Left_Winger,25,Turkey,UEFA,Galatasaray,SuperLig,81.2,ahmedkutucu_TUR
Ahmed Touba,DF,Centre_Back,27,Algeria,CAF,Panathinaikos FC,SuperLeague1,40.6,ahmedtouba_ALG
Ahmetcan Kaplan,DF,Centre_Back,22,Turkey,UEFA,Ajax Amsterdam,Eredivisie,81.2,ahmetcankaplan_TUR
Ahn Hyun Beom,DF,Right_Back,30,"Korea, South",AFC,Suwon FC,K_League1,8.1,ahnhyunbeom_KOR
Aidan Morris,MF,Central_Midfielder,23,United States,CONCACAF,Middlesbrough FC,Championship,65.0,aidanmorris_UNI
Aiden O'Neill,MF,Defensive_Midfielder,27,Australia,AFC,New York City FC,MLS,48.8,aideno'neill_AUS
Aiham Ousou,DF,Centre_Back,25,Syria,AFC,Royal Charleroi SC,Jupiler_ProLeague,40.6,aihamousou_SYR
Aimar Oroz,MF,Attacking_Midfielder,23,Spain,UEFA,CA Osasuna,LaLiga,243.8,aimaroroz_SPA
Aimen Moueffek,MF,Central_Midfielder,24,Morocco,CAF,AS Saint-Étienne,Ligue2,40.6,aimenmoueffek_MOR
Ainsley Maitland-Niles,DF,Right_Back,27,England,UEFA,Olympique Lyon,Ligue1,195.0,ainsleymaitland-niles_ENG
Aitor Paredes,DF,Centre_Back,25,Spain,UEFA,Athletic Bilbao,LaLiga,357.5,aitorparedes_SPA
Ajani Fortune,MF,Central_Midfielder,22,Trinidad and Tobago,CONCACAF,Atlanta United FC,MLS,24.4,ajanifortune_TRI
Alan,MF,Attacking_Midfielder,25,Brazil,CONMEBOL,Moreirense FC,Liga_Portugal,65.0,alan_BRA
Alan Lescano,MF,Attacking_Midfielder,23,Argentina,CONMEBOL,AA Argentinos Juniors,Liga_Profesional,97.5,alanlescano_ARG
Alan Matturro,DF,Centre_Back,20,Uruguay,CONMEBOL,Levante UD,LaLiga,113.8,alanmatturro_URU
Alan Pulido,FW,Striker,34,Mexico,CONCACAF,Deportivo Guadalajara,Liga_MX,16.2,alanpulido_MEX
Alan Varela,MF,Defensive_Midfielder,24,Argentina,CONMEBOL,FC Porto,Liga_Portugal,520.0,alanvarela_ARG
Alassane Plea,FW,Striker,32,France,UEFA,PSV Eindhoven,Eredivisie,81.2,alassaneplea_FRA
Alban Lafont,GK,Goalkeeper,26,France,UEFA,Panathinaikos FC,SuperLeague1,48.8,albanlafont_FRA
Albert Gronbaek,MF,Attacking_Midfielder,24,Denmark,UEFA,Genoa CFC,Serie_A,178.8,albertgronbaek_DEN
Albert Gudmundsson,FW,Striker,28,Iceland,UEFA,ACF Fiorentina,Serie_A,292.5,albertgudmundsson_ICE
Alberto Costa,DF,Right_Back,21,Portugal,UEFA,FC Porto,Liga_Portugal,162.5,albertocosta_POR
Alberto Dossena,DF,Centre_Back,26,Italy,UEFA,Como 1907,Serie_A,130.0,albertodossena_ITA
Albert Posiadala,GK,Goalkeeper,22,Poland,UEFA,Molde FK,Eliteserien,16.2,albertposiadala_POL
Albert Rusnak,MF,Attacking_Midfielder,31,Slovakia,UEFA,Seattle Sounders FC,MLS,56.9,albertrusnak_SLO
Albert Sambi Lokonga,MF,Central_Midfielder,25,Belgium,UEFA,Arsenal FC,PremierLeague,130.0,albertsambilokonga_BEL
Albian Hajdari,DF,Centre_Back,22,Switzerland,UEFA,FC Lugano,Swiss_SuperLeague,195.0,albianhajdari_SWI
Alby Kelly-Heald,GK,Goalkeeper,20,New Zealand,OFC,Wellington Phoenix,A_League,3.2,albykelly-heald_NEW
Aleix Garcia,MF,Central_Midfielder,28,Spain,UEFA,Bayer 04 Leverkusen,Bundesliga,325.0,aleixgarcia_SPA
Aleksandar Dragovic,DF,Centre_Back,34,Austria,UEFA,Austria Vienna,Austria_Bundesliga,16.2,aleksandardragovic_AUS
Aleksandar Mitrovic,FW,Striker,30,Serbia,UEFA,Al-Hilal SFC,Saudi_ProLeague,292.5,aleksandarmitrovic_SER
Aleksandar Pavlovic,MF,Defensive_Midfielder,21,Germany,UEFA,Bayern Munich,Bundesliga,893.8,aleksandarpavlovic_GER
Aleksandar Stankovic,MF,Defensive_Midfielder,19,Serbia,UEFA,Club Brugge KV,Jupiler_ProLeague,178.8,aleksandarstankovic_SER
Aleksa Terzic,DF,Left_Back,25,Serbia,UEFA,Red Bull Salzburg,Austria_Bundesliga,56.9,aleksaterzic_SER
Alemao,FW,Striker,27,Brazil,CONMEBOL,CF Pachuca,Liga_MX,56.9,alemao_BRA
Alen Sherri,GK,Goalkeeper,27,Albania,UEFA,Frosinone Calcio,Serie_B,16.2,alensherri_ALB
Alessandro Bastoni,DF,Centre_Back,26,Italy,UEFA,Inter Milan,Serie_A,1300.0,alessandrobastoni_ITA
Alessandro Buongiorno,DF,Centre_Back,26,Italy,UEFA,SSC Napoli,Serie_A,812.5,alessandrobuongiorno_ITA
Alessandro Circati,DF,Centre_Back,21,Australia,AFC,Parma Calcio 1913,Serie_A,130.0,alessandrocircati_AUS
Alessandro Florenzi,DF,Right_Back,34,Italy,UEFA,Without Club,Without_Club,16.2,alessandroflorenzi_ITA
Alessandro Lopane,MF,Attacking_Midfielder,21,Australia,AFC,Melbourne City FC,A_League,5.7,alessandrolopane_AUS
Alessio Castro-Montes,MF,Side_Midfielder,28,Belgium,UEFA,Union Saint-Gilloise,Jupiler_ProLeague,81.2,alessiocastro-montes_BEL
Alexandar Popovic,DF,Centre_Back,22,Australia,AFC,Sydney FC,A_League,5.7,alexandarpopovic_AUS
Alexander Bah,DF,Right_Back,27,Denmark,UEFA,SL Benfica,Liga_Portugal,162.5,alexanderbah_DEN
Alexander Briedl,MF,Defensive_Midfielder,23,Austria,UEFA,FC Blau-Weiss Linz,Austria_Bundesliga,16.2,alexanderbriedl_AUS
Alexander Busch,DF,Centre_Back,22,Denmark,UEFA,Silkeborg IF,Danish_Superligaen,19.5,alexanderbusch_DEN
Alexander Djiku,DF,Centre_Back,30,Ghana,CAF,Fenerbahce,SuperLig,105.6,alexanderdjiku_GHA
Alexander Isak,FW,Striker,25,Sweden,UEFA,Newcastle United,PremierLeague,1950.0,alexanderisak_SWE
Alexander Jensen,DF,Right_Back,23,Denmark,UEFA,Aberdeen FC,Scottish_Premiership,24.4,alexanderjensen_DEN
Alexander Meyer,GK,Goalkeeper,34,Germany,UEFA,Borussia Dortmund,Bundesliga,13.0,alexandermeyer_GER
Alexander Nubel,GK,Goalkeeper,28,Germany,UEFA,VfB Stuttgart,Bundesliga,195.0,alexandernubel_GER
Alexander Ring,MF,Central_Midfielder,34,Finland,UEFA,HJK Helsinki,Other_leagues,6.5,alexanderring_FIN
Alexander Schlager,GK,Goalkeeper,29,Austria,UEFA,Red Bull Salzburg,Austria_Bundesliga,40.6,alexanderschlager_AUS
Alexander Sorloth,FW,Striker,29,Norway,UEFA,Atlético de Madrid,LaLiga,406.2,alexandersorloth_NOR
Alexandre Lacazette,FW,Striker,34,France,UEFA,NEOM SC,Saudi_ProLeague,97.5,alexandrelacazette_FRA
Alexandre Penetra,DF,Centre_Back,23,Portugal,UEFA,AZ Alkmaar,Eredivisie,146.2,alexandrepenetra_POR
Alexandros Paschalakis,GK,Goalkeeper,35,Greece,UEFA,Olympiacos Piraeus,SuperLeague1,8.1,alexandrospaschalakis_GRE
Alexandru Maxim,MF,Attacking_Midfielder,35,Romania,UEFA,Gaziantep FK,SuperLig,8.1,alexandrumaxim_ROM
Alexandru Tudorie,FW,Striker,29,Romania,UEFA,Wuhan Three Towns,Chinese_SuperLeague,19.5,alexandrutudorie_ROM
Alex Arce,FW,Striker,30,Paraguay,CONMEBOL,CS Independiente Rivadavia,Liga_Profesional,73.1,alexarce_PAR
Alex Bonetig,DF,Centre_Back,22,Australia,AFC,Western Sydney Wanderers,A_League,7.3,alexbonetig_AUS
Alex Gersbach,DF,Left_Back,28,Australia,AFC,Western Sydney Wanderers,A_League,5.7,alexgersbach_AUS
Alex Greive,FW,Striker,26,New Zealand,OFC,San Antonio FC,Other_leagues,4.9,alexgreive_NEW
Alexis Antunes,MF,Attacking_Midfielder,24,Switzerland,UEFA,Servette FC,Swiss_SuperLeague,48.8,alexisantunes_SWI
Alexis Mac Allister,MF,Central_Midfielder,26,Argentina,CONMEBOL,Liverpool FC,PremierLeague,1625.0,alexismacallister_ARG
Alex Meret,GK,Goalkeeper,28,Italy,UEFA,SSC Napoli,Serie_A,292.5,alexmeret_ITA
Alex Padilla,GK,Goalkeeper,21,Mexico,CONCACAF,Athletic Bilbao,LaLiga,48.8,alexpadilla_MEX
Alex Palmer,GK,Goalkeeper,28,England,UEFA,Ipswich Town,Championship,16.2,alexpalmer_ENG
Alex Paulsen,GK,Goalkeeper,23,New Zealand,OFC,AFC Bournemouth,PremierLeague,12.2,alexpaulsen_NEW
Alex Remiro,GK,Goalkeeper,30,Spain,UEFA,Real Sociedad,LaLiga,292.5,alexremiro_SPA
Alex Robertson,MF,Central_Midfielder,22,Australia,AFC,Cardiff City,League_One,24.4,alexrobertson_AUS
Alex Roldan,DF,Right_Back,28,El Salvador,CONCACAF,Seattle Sounders FC,MLS,65.0,alexroldan_EL 
Alex Rufer,MF,Defensive_Midfielder,29,New Zealand,OFC,Wellington Phoenix,A_League,9.8,alexrufer_NEW
Alexsandro,DF,Centre_Back,25,Brazil,CONMEBOL,LOSC Lille,Ligue1,325.0,alexsandro_BRA
Alex Scott,MF,Central_Midfielder,21,England,UEFA,AFC Bournemouth,PremierLeague,325.0,alexscott_ENG
Alex Valle,DF,Left_Back,21,Spain,UEFA,Como 1907,Serie_A,97.5,alexvalle_SPA
Alfie Devine,MF,Attacking_Midfielder,20,England,UEFA,Tottenham Hotspur,PremierLeague,56.9,alfiedevine_ENG
Alfie Gilchrist,DF,Right_Back,21,England,UEFA,Chelsea FC,PremierLeague,130.0,alfiegilchrist_ENG
Alhassan Yusuf,MF,Central_Midfielder,25,Nigeria,CAF,New England Revolution,MLS,48.8,alhassanyusuf_NIG
Ali Abdi,DF,Left_Back,31,Tunisia,CAF,OGC Nice,Ligue1,48.8,aliabdi_TUN
Ali Ahmed,MF,Side_Midfielder,24,Canada,CONCACAF,Vancouver Whitecaps FC,MLS,48.8,aliahmed_CAN
Alidu Seidu,DF,Centre_Back,25,Ghana,CAF,Stade Rennais FC,Ligue1,146.2,aliduseidu_GHA
Ali Lajami,DF,Centre_Back,29,Saudi Arabia,AFC,Al-Hilal SFC,Saudi_ProLeague,14.6,alilajami_SAU
Ali Majrashi,DF,Right_Back,25,Saudi Arabia,AFC,Al-Ahli SFC,Saudi_ProLeague,14.6,alimajrashi_SAU
Alistair Johnston,DF,Right_Back,26,Canada,CONCACAF,Celtic FC,Scottish_Premiership,162.5,alistairjohnston_CAN
Aljoscha Kemlein,MF,Defensive_Midfielder,20,Germany,UEFA,1.FC Union Berlin,Bundesliga,113.8,aljoschakemlein_GER
Alou Kuol,FW,Striker,24,Australia,AFC,Western Sydney Wanderers,A_League,5.7,aloukuol_AUS
Alphonse Areola,GK,Goalkeeper,32,France,UEFA,West Ham United,PremierLeague,146.2,alphonseareola_FRA
Alphonso Davies,DF,Left_Back,24,Canada,CONCACAF,Bayern Munich,Bundesliga,812.5,alphonsodavies_CAN
Altay Bayindir,GK,Goalkeeper,27,Turkey,UEFA,Manchester United,PremierLeague,130.0,altaybayindir_TUR
Alvaro Carreras,DF,Left_Back,22,Spain,UEFA,Real Madrid,LaLiga,568.8,alvarocarreras_SPA
Alvaro Montero,GK,Goalkeeper,30,Colombia,CONMEBOL,CA Vélez Sarsfield,Liga_Profesional,24.4,alvaromontero_COL
Alvaro Tejero,DF,Right_Back,29,Spain,UEFA,Aris Thessaloniki,SuperLeague1,29.2,alvarotejero_SPA
Alvaro Valles,GK,Goalkeeper,28,Spain,UEFA,Real Betis Balompié,LaLiga,40.6,alvarovalles_SPA
Alvyn Sanches,MF,Central_Midfielder,22,Switzerland,UEFA,FC Lausanne-Sport,Swiss_SuperLeague,227.5,alvynsanches_SWI
Amadou Haidara,MF,Central_Midfielder,27,Mali,CAF,RB Leipzig,Bundesliga,260.0,amadouhaidara_MAL
Amadou Kone,MF,Defensive_Midfielder,20,Cote d'Ivoire,CAF,NEOM SC,Saudi_ProLeague,65.0,amadoukone_COT
Amadou Onana,MF,Defensive_Midfielder,23,Belgium,UEFA,Aston Villa,PremierLeague,812.5,amadouonana_BEL
Amady Camara,FW,Striker,20,Mali,CAF,SK Sturm Graz,Austria_Bundesliga,24.4,amadycamara_MAL
Amankwah Forson,MF,Central_Midfielder,22,Ghana,CAF,Norwich City,Championship,73.1,amankwahforson_GHA
Amar Dedic,DF,Right_Back,22,Bosnia-Herzegovina,UEFA,SL Benfica,Liga_Portugal,195.0,amardedic_BOS
Amari'i Bell,DF,Left_Back,31,Jamaica,CONCACAF,Charlton Athletic,Championship,19.5,amari'ibell_JAM
Amine Adli,FW,Left_Winger,25,Morocco,CAF,Bayer 04 Leverkusen,Bundesliga,292.5,amineadli_MOR
Amine Bassi,MF,Attacking_Midfielder,27,Morocco,CAF,Houston Dynamo FC,MLS,73.1,aminebassi_MOR
Amine El Ouazzani,FW,Striker,24,Morocco,CAF,SC Braga,Liga_Portugal,56.9,amineelouazzani_MOR
Amine Harit,MF,Attacking_Midfielder,28,Morocco,CAF,Olympique Marseille,Ligue1,130.0,amineharit_MOR
Amir Hadziahmetovic,MF,Defensive_Midfielder,28,Bosnia-Herzegovina,UEFA,Besiktas JK,SuperLig,73.1,amirhadziahmetovic_BOS
Amir Murillo,DF,Right_Back,29,Panama,CONCACAF,Olympique Marseille,Ligue1,162.5,amirmurillo_PAN
Amir Richardson,MF,Central_Midfielder,23,Morocco,CAF,ACF Fiorentina,Serie_A,138.1,amirrichardson_MOR
Amir Rrahmani,DF,Centre_Back,31,Kosovo,UEFA,SSC Napoli,Serie_A,195.0,amirrrahmani_KOS
Amir Sayoud,MF,Attacking_Midfielder,34,Algeria,CAF,Without Club,Without_Club,8.9,amirsayoud_ALG
Anan Khalaili,FW,Right_Winger,20,Israel,UEFA,Union Saint-Gilloise,Jupiler_ProLeague,130.0,anankhalaili_ISR
Anass Salah-Eddine,DF,Left_Back,23,Netherlands,UEFA,AS Roma,Serie_A,130.0,anasssalah-eddine_NET
Anass Zaroury,MF,Attacking_Midfielder,24,Morocco,CAF,RC Lens,Ligue1,130.0,anasszaroury_MOR
Anastasios Bakasetas,MF,Attacking_Midfielder,32,Greece,UEFA,Panathinaikos FC,SuperLeague1,65.0,anastasiosbakasetas_GRE
Anatoliy Trubin,GK,Goalkeeper,23,Ukraine,UEFA,SL Benfica,Liga_Portugal,455.0,anatoliytrubin_UKR
Ander Herrera,MF,Central_Midfielder,35,Spain,UEFA,CA Boca Juniors,Liga_Profesional,13.0,anderherrera_SPA
Anders Dreyer,FW,Right_Winger,27,Denmark,UEFA,San Diego FC,MLS,146.2,andersdreyer_DEN
Andi Zeqiri,FW,Striker,26,Switzerland,UEFA,KRC Genk,Jupiler_ProLeague,65.0,andizeqiri_SWI
Andrea Cambiaso,DF,Left_Back,25,Italy,UEFA,Juventus FC,Serie_A,568.8,andreacambiaso_ITA
Andrea Colpani,MF,Attacking_Midfielder,26,Italy,UEFA,AC Monza,Serie_B,154.4,andreacolpani_ITA
Andrea Compagno,FW,Striker,29,Italy,UEFA,Jeonbuk Hyundai Motors,K_League1,45.5,andreacompagno_ITA
Andrea Fulignati,GK,Goalkeeper,30,Italy,UEFA,US Cremonese,Serie_A,19.5,andreafulignati_ITA
Andre Almeida,MF,Attacking_Midfielder,25,Portugal,UEFA,Valencia CF,LaLiga,162.5,andrealmeida_POR
Andrea Pinamonti,FW,Striker,26,Italy,UEFA,US Sassuolo,Serie_A,243.8,andreapinamonti_ITA
Andreas Christensen,DF,Centre_Back,29,Denmark,UEFA,FC Barcelona,LaLiga,195.0,andreaschristensen_DEN
Andreas Hansen,GK,Goalkeeper,29,Denmark,UEFA,FC Nordsjaelland,Danish_Superligaen,21.1,andreashansen_DEN
Andreas Hountondji,FW,Striker,23,Benin,CAF,FC St. Pauli,Bundesliga,40.6,andreashountondji_BEN
Andreas Jungdal,GK,Goalkeeper,23,Denmark,UEFA,KVC Westerlo,Jupiler_ProLeague,24.4,andreasjungdal_DEN
Andreas Pereira,MF,Attacking_Midfielder,29,Brazil,CONMEBOL,Fulham FC,PremierLeague,292.5,andreaspereira_BRA
Andreas Schjelderup,FW,Left_Winger,21,Norway,UEFA,SL Benfica,Liga_Portugal,243.8,andreasschjelderup_NOR
Andre Blake,GK,Goalkeeper,34,Jamaica,CONCACAF,Philadelphia Union,MLS,9.8,andreblake_JAM
Andre Gomes,GK,Goalkeeper,20,Portugal,UEFA,FC Alverca,Liga_Portugal,40.6,andregomes_POR
Andrei Girotto,DF,Centre_Back,33,Brazil,CONMEBOL,Al-Taawoun FC,Saudi_ProLeague,48.8,andreigirotto_BRA
Andrei Ivan,FW,Left_Winger,28,Romania,UEFA,Panserraikos,SuperLeague1,16.2,andreiivan_ROM
Andrei Ratiu,DF,Right_Back,27,Romania,UEFA,Rayo Vallecano,LaLiga,195.0,andreiratiu_ROM
Andre Luis,FW,Striker,31,Brazil,CONMEBOL,Shanghai Shenhua,Chinese_SuperLeague,19.5,andreluis_BRA
Andre Onana,GK,Goalkeeper,29,Cameroon,CAF,Manchester United,PremierLeague,406.2,andreonana_CAM
Andres Andrade,DF,Centre_Back,26,Panama,CONCACAF,LASK,Austria_Bundesliga,32.5,andresandrade_PAN
Andres Cubas,MF,Defensive_Midfielder,29,Paraguay,CONMEBOL,Vancouver Whitecaps FC,MLS,65.0,andrescubas_PAR
Andres Perea,MF,Defensive_Midfielder,24,United States,CONCACAF,New York City FC,MLS,32.5,andresperea_UNI
Andres Vombergar,FW,Striker,30,Slovenia,UEFA,CA San Lorenzo de Almagro,Liga_Profesional,48.8,andresvombergar_SLO
Andrew,GK,Goalkeeper,24,Brazil,CONMEBOL,Gil Vicente FC,Liga_Portugal,65.0,andrew_BRA
Andrew Brody,DF,Left_Back,30,United States,CONCACAF,Sporting Kansas City,MLS,19.5,andrewbrody_UNI
Andrew Gutman,DF,Left_Back,28,United States,CONCACAF,Chicago Fire FC,MLS,13.8,andrewgutman_UNI
Andrew Moran,MF,Attacking_Midfielder,21,Ireland,UEFA,Brighton & Hove Albion,PremierLeague,56.9,andrewmoran_IRE
Andrew Omobamidele,DF,Centre_Back,23,Ireland,UEFA,RC Strasbourg Alsace,Ligue1,130.0,andrewomobamidele_IRE
Andrew Privett,DF,Centre_Back,24,United States,CONCACAF,Charlotte FC,MLS,19.5,andrewprivett_UNI
Andrew Robertson,DF,Left_Back,31,Scotland,UEFA,Liverpool FC,PremierLeague,292.5,andrewrobertson_SCO
Andrey Santos,MF,Central_Midfielder,21,Brazil,CONMEBOL,Chelsea FC,PremierLeague,568.8,andreysantos_BRA
Andries Noppert,GK,Goalkeeper,31,Netherlands,UEFA,SC Heerenveen,Eredivisie,16.2,andriesnoppert_NET
Andrija Zivkovic,FW,Right_Winger,29,Serbia,UEFA,PAOK Thessaloniki,SuperLeague1,130.0,andrijazivkovic_SER
Andriy Lunin,GK,Goalkeeper,26,Ukraine,UEFA,Real Madrid,LaLiga,292.5,andriylunin_UKR
Andy Diouf,MF,Central_Midfielder,22,France,UEFA,RC Lens,Ligue1,243.8,andydiouf_FRA
Anel Ahmedhodzic,DF,Centre_Back,26,Bosnia-Herzegovina,UEFA,Sheffield United,Championship,292.5,anelahmedhodzic_BOS
Anfernee Dijksteel,DF,Right_Back,28,Suriname,CONCACAF,Kocaelispor,SuperLig,19.5,anferneedijksteel_SUR
Ange Ahoussou,DF,Centre_Back,21,Cote d'Ivoire,CAF,Rapid Vienna,Austria_Bundesliga,24.4,angeahoussou_COT
Angel Correa,FW,Right_Winger,30,Argentina,CONMEBOL,Tigres UANL,Liga_MX,162.5,angelcorrea_ARG
Angel Gomes,MF,Attacking_Midfielder,24,England,UEFA,Olympique Marseille,Ligue1,325.0,angelgomes_ENG
Angelino,DF,Left_Back,28,Spain,UEFA,AS Roma,Serie_A,325.0,angelino_SPA
Angelo Stiller,MF,Defensive_Midfielder,24,Germany,UEFA,VfB Stuttgart,Bundesliga,731.2,angelostiller_GER
Angus Gunn,GK,Goalkeeper,29,Scotland,UEFA,Without Club,Without_Club,35.8,angusgunn_SCO
Angus Thurgate,MF,Central_Midfielder,25,Australia,AFC,Western United FC,A_League,10.6,angusthurgate_AUS
Anis Slimane,MF,Central_Midfielder,24,Tunisia,CAF,Norwich City,Championship,48.8,anisslimane_TUN
Anosike Ementa,FW,Striker,23,Denmark,UEFA,Viborg FF,Danish_Superligaen,16.2,anosikeementa_DEN
Anouar Ait El Hadj,MF,Attacking_Midfielder,23,Belgium,UEFA,Union Saint-Gilloise,Jupiler_ProLeague,48.8,anouaraitelhadj_BEL
Ante Budimir,FW,Striker,34,Croatia,UEFA,CA Osasuna,LaLiga,81.2,antebudimir_CRO
Ante Crnac,FW,Striker,21,Croatia,UEFA,Norwich City,Championship,130.0,antecrnac_CRO
