Name,Age,Nation,Position,Club,League,Confederation,Billion_KRW,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Name_ID
Bruno Guimaraes,27,Brazil,Defensive_Midfielder,Newcastle United,PremierLeague,CONMEBOL,1300.0,MF,85,68,75,83,84,79,83,brunoguimaraes
Josko Gvardiol,23,Croatia,Left_Back,Manchester City,PremierLeague,UEFA,1218.8,DF,83,79,69,74,78,83,83,gvardioljosko
Hugo Ekitike,23,France,Striker,Liverpool FC,PremierLeague,UEFA,1218.8,FW,76,84,75,61,77,25,67,ekitikehugo
Ryan Gravenberch,23,Netherlands,Defensive_Midfielder,Liverpool FC,PremierLeague,UEFA,1218.8,MF,78,71,76,77,81,68,73,gravenberchryan
Marcus Thuram,27,France,Striker,Inter Milan,Serie_A,UEFA,1218.8,FW,83,87,81,77,82,50,84,marcusthuram
Trent Alexander-Arnold,26,England,Right_Back,Real Madrid,LaLiga,UEFA,1218.8,DF,86,75,72,90,80,80,74,alexanderarnoldtrent
Enzo Fernandez,24,Argentina,Central_Midfielder,Chelsea FC,PremierLeague,CONMEBOL,1218.8,MF,82,69,73,82,80,73,77,enzofernandez
Harry Kane,31,England,Striker,Bayern Munich,Bundesliga,UEFA,1218.8,FW,90,65,93,84,83,49,82,harrykane
Nicolo Barella,28,Italy,Central_Midfielder,Inter Milan,Serie_A,UEFA,1218.8,MF,87,81,78,83,86,80,82,barellanicolo
Aurelien Tchouameni,25,France,Defensive_Midfielder,Real Madrid,LaLiga,UEFA,1218.8,MF,85,73,69,79,78,82,82,aurelientchouameni
Omar Marmoush,26,Egypt,Striker,Manchester City,PremierLeague,CAF,1218.8,FW,79,89,78,66,83,32,71,marmoushomar
Viktor Gyokeres,27,Sweden,Striker,Arsenal FC,PremierLeague,UEFA,1218.8,FW,84,90,83,67,80,36,91,gyokeresviktor
Xavi Simons,22,Netherlands,Attacking_Midfielder,RB Leipzig,Bundesliga,UEFA,1137.5,MF,83,81,77,80,86,61,71,simonsxavi
Nico Williams,23,Spain,Left_Winger,Athletic Bilbao,LaLiga,UEFA,1137.5,FW,85,93,75,78,86,36,65,nicowilliams
Bradley Barcola,22,France,Left_Winger,Paris Saint-Germain,Ligue1,UEFA,1137.5,FW,80,88,74,75,81,34,64,barcolabradley
Victor Osimhen,26,Nigeria,Striker,SSC Napoli,Serie_A,CAF,1137.5,FW,87,89,84,65,81,42,82,osimhenvictor
Nuno Mendes,23,Portugal,Left_Back,Paris Saint-Germain,Ligue1,UEFA,1137.5,DF,83,89,58,76,82,78,76,mendesnuno
Cody Gakpo,26,Netherlands,Left_Winger,Liverpool FC,PremierLeague,UEFA,1137.5,FW,83,82,83,78,83,48,75,codygakpo
Luis Diaz,28,Colombia,Left_Winger,Liverpool FC,PremierLeague,CONMEBOL,1137.5,FW,84,90,80,75,87,39,75,diazluis
Rafael Leao,26,Portugal,Left_Winger,AC Milan,Serie_A,UEFA,1137.5,FW,86,94,79,80,87,28,77,leaorafael
Benjamin Sesko,22,Slovenia,Striker,RB Leipzig,Bundesliga,UEFA,1137.5,FW,79,85,78,63,77,46,78,benjaminsesko
Willian Pacho,23,Ecuador,Centre_Back,Paris Saint-Germain,Ligue1,CONMEBOL,1056.2,DF,78,79,32,58,61,79,79,pachowillian
Anthony Gordon,24,England,Left_Winger,Newcastle United,PremierLeague,UEFA,1056.2,FW,82,91,78,76,81,49,71,anthonygordon
Ruben Dias,28,Portugal,Centre_Back,Manchester City,PremierLeague,UEFA,1056.2,DF,88,67,39,70,69,89,87,diasruben
Jules Kounde,26,France,Right_Back,FC Barcelona,LaLiga,UEFA,1056.2,DF,85,84,45,70,75,86,80,juleskounde
Kai Havertz,26,Germany,Striker,Arsenal FC,PremierLeague,UEFA,1056.2,FW,83,77,81,80,82,49,72,havertzkai
Eduardo Camavinga,22,France,Central_Midfielder,Real Madrid,LaLiga,UEFA,975.0,MF,83,80,67,81,84,78,80,camavingaeduardo
Dean Huijsen,20,Spain,Centre_Back,Real Madrid,LaLiga,UEFA,975.0,DF,68,64,46,60,63,69,65,deanhuijsen
Ademola Lookman,27,Nigeria,Striker,Atalanta BC,Serie_A,CAF,975.0,FW,82,84,81,71,86,31,66,ademolalookman
Tijjani Reijnders,26,Netherlands,Central_Midfielder,Manchester City,PremierLeague,UEFA,975.0,MF,82,80,76,80,84,73,74,reijnderstijjani
Gavi,20,Spain,Central_Midfielder,FC Barcelona,LaLiga,UEFA,975.0,MF,83,76,66,78,85,68,70,gavi
Matheus Cunha,26,Brazil,Striker,Manchester United,PremierLeague,CONMEBOL,975.0,FW,79,84,78,76,83,44,75,cunhamatheus
Ibrahima Konate,26,France,Centre_Back,Liverpool FC,PremierLeague,UEFA,975.0,DF,83,75,34,59,68,83,84,ibrahimakonate
Dani Olmo,27,Spain,Attacking_Midfielder,FC Barcelona,LaLiga,UEFA,975.0,MF,84,73,77,82,87,50,57,daniolmo
Sandro Tonali,25,Italy,Central_Midfielder,Newcastle United,PremierLeague,UEFA,975.0,MF,85,84,74,81,81,82,82,sandrotonali
Leny Yoro,19,France,Centre_Back,Manchester United,PremierLeague,UEFA,893.8,DF,78,73,41,59,61,79,73,lenyyoro
Morgan Rogers,23,England,Attacking_Midfielder,Aston Villa,PremierLeague,UEFA,893.8,MF,75,77,71,71,77,56,71,morganrogers
Murillo,23,Brazil,Centre_Back,Nottingham Forest,PremierLeague,CONMEBOL,893.8,DF,78,72,43,61,67,78,82,murillo
Gabriel Martinelli,24,Brazil,Left_Winger,Arsenal FC,PremierLeague,CONMEBOL,893.8,FW,83,89,78,75,85,46,72,gabrielmartinelli
Aleksandar Pavlovic,21,Germany,Defensive_Midfielder,Bayern Munich,Bundesliga,UEFA,893.8,MF,73,69,60,75,72,68,65,aleksandarpavlovic
Pablo Barrios,22,Spain,Central_Midfielder,Atlético de Madrid,LaLiga,UEFA,893.8,MF,76,76,68,72,75,69,63,barriospablo
Ethan Nwaneri,18,England,Right_Winger,Arsenal FC,PremierLeague,UEFA,893.8,FW,64,68,62,62,67,39,50,ethannwaneri
Alex Baena,24,Spain,Left_Winger,Atlético de Madrid,LaLiga,UEFA,893.8,FW,79,74,75,80,78,65,67,alexbaena
Eberechi Eze,27,England,Attacking_Midfielder,Crystal Palace,PremierLeague,UEFA,893.8,MF,81,78,81,78,84,49,69,eberechieze
Bryan Mbeumo,25,Cameroon,Right_Winger,Manchester United,PremierLeague,CAF,893.8,FW,80,84,80,74,80,49,76,bryanmbeumo
Levi Colwill,22,England,Centre_Back,Chelsea FC,PremierLeague,UEFA,893.8,DF,77,69,40,68,68,77,77,colwilllevi
Warren Zaire-Emery,19,France,Central_Midfielder,Paris Saint-Germain,Ligue1,UEFA,893.8,MF,80,79,68,77,80,75,78,emerywarrenzaire
Jurrien Timber,24,Netherlands,Right_Back,Arsenal FC,PremierLeague,UEFA,893.8,DF,79,78,47,67,76,80,78,jurrientimber
Dayot Upamecano,26,France,Centre_Back,Bayern Munich,Bundesliga,UEFA,812.5,DF,82,81,45,63,73,81,85,dayotupamecano
Morgan Gibbs-White,25,England,Attacking_Midfielder,Nottingham Forest,PremierLeague,UEFA,812.5,MF,79,75,74,79,80,57,69,gibbsmorganwhite
Moise Kean,25,Italy,Striker,ACF Fiorentina,Serie_A,UEFA,812.5,FW,78,84,76,58,76,40,75,keanmoise
Lois Openda,25,Belgium,Striker,RB Leipzig,Bundesliga,UEFA,812.5,FW,85,93,84,69,81,31,79,loisopenda
Kobbie Mainoo,20,England,Central_Midfielder,Manchester United,PremierLeague,UEFA,812.5,MF,77,74,66,74,81,73,72,kobbiemainoo
Alessandro Buongiorno,26,Italy,Centre_Back,SSC Napoli,Serie_A,UEFA,812.5,DF,80,65,45,69,65,82,76,alessandrobuongiorno
Pedro Neto,25,Portugal,Right_Winger,Chelsea FC,PremierLeague,UEFA,812.5,FW,79,88,74,72,83,31,59,netopedro
Piero Hincapie,23,Ecuador,Centre_Back,Bayer 04 Leverkusen,Bundesliga,CONMEBOL,812.5,DF,81,78,40,64,72,81,80,hincapiepiero
Amadou Onana,23,Belgium,Defensive_Midfielder,Aston Villa,PremierLeague,UEFA,812.5,MF,78,72,59,71,72,76,79,amadouonana
Jeremy Doku,23,Belgium,Left_Winger,Manchester City,PremierLeague,UEFA,812.5,FW,80,92,72,73,86,30,68,dokujeremy
Jarrad Branthwaite,23,England,Centre_Back,Everton FC,PremierLeague,UEFA,812.5,DF,79,71,37,53,59,79,77,branthwaitejarrad
Micky van de Ven,24,Netherlands,Centre_Back,Tottenham Hotspur,PremierLeague,UEFA,812.5,DF,82,88,47,64,71,83,81,demickyvanven
Kenan Yildiz,20,Turkey,Left_Winger,Juventus FC,Serie_A,UEFA,812.5,FW,70,75,61,66,73,28,61,kenanyildiz
Christian Pulisic,26,United States,Right_Winger,AC Milan,Serie_A,CONCACAF,812.5,FW,83,88,82,78,86,37,63,christianpulisic
Savinho,21,Brazil,Right_Winger,Manchester City,PremierLeague,CONMEBOL,812.5,FW,82,88,72,77,84,30,53,savinho
Alphonso Davies,24,Canada,Left_Back,Bayern Munich,Bundesliga,CONCACAF,812.5,DF,82,95,66,77,84,72,76,alphonsodavies
Ederson,26,Brazil,Central_Midfielder,Atalanta BC,Serie_A,CONMEBOL,812.5,MF,88,87,82,91,87,64,86,ederson
Ederson,26,Brazil,Central_Midfielder,Atalanta BC,Serie_A,CONMEBOL,812.5,MF,80,72,68,75,79,77,80,ederson
Bremer,28,Brazil,Centre_Back,Juventus FC,Serie_A,CONMEBOL,812.5,DF,86,82,50,58,66,86,85,bremer
Mohamed Salah,33,Egypt,Right_Winger,Liverpool FC,PremierLeague,CAF,812.5,FW,89,89,87,82,88,45,75,mohamedsalah
Cristian Romero,27,Argentina,Centre_Back,Tottenham Hotspur,PremierLeague,CONMEBOL,812.5,DF,84,68,46,59,66,85,81,cristianromero
Scott McTominay,28,Scotland,Central_Midfielder,SSC Napoli,Serie_A,UEFA,812.5,MF,78,55,78,71,73,75,84,mctominayscott
Dejan Kulusevski,25,Sweden,Attacking_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,812.5,MF,82,75,77,80,83,57,80,dejankulusevski
Federico Dimarco,27,Italy,Left_Back,Inter Milan,Serie_A,UEFA,812.5,DF,84,80,77,84,83,78,81,dimarcofederico
Morten Hjulmand,26,Denmark,Defensive_Midfielder,Sporting CP,Liga_Portugal,UEFA,812.5,MF,80,65,66,76,74,75,83,hjulmandmorten
Marcus Rashford,27,England,Left_Winger,FC Barcelona,LaLiga,UEFA,812.5,FW,81,89,83,76,82,33,64,marcusrashford
Jeremie Frimpong,24,Netherlands,Right_Back,Liverpool FC,PremierLeague,UEFA,812.5,DF,84,93,62,75,86,75,69,frimpongjeremie
Bruno Fernandes,30,Portugal,Attacking_Midfielder,Manchester United,PremierLeague,UEFA,812.5,MF,87,70,85,88,83,65,75,brunofernandes
Nicolas Jackson,24,Senegal,Striker,Chelsea FC,PremierLeague,CAF,812.5,FW,79,83,78,65,80,40,73,jacksonnicolas
Arda Guler,20,Turkey,Right_Winger,Real Madrid,LaLiga,UEFA,731.2,FW,78,72,73,80,82,52,50,ardaguler
Adam Wharton,21,England,Defensive_Midfielder,Crystal Palace,PremierLeague,UEFA,731.2,MF,78,68,61,78,78,75,71,adamwharton
Serhou Guirassy,29,Guinea,Striker,Borussia Dortmund,Bundesliga,CAF,731.2,FW,84,69,86,71,80,39,79,guirassyserhou
Darwin Nunez,26,Uruguay,Striker,Liverpool FC,PremierLeague,CONMEBOL,731.2,FW,82,90,80,72,78,46,86,darwinnunez
Maghnes Akliouche,23,France,Right_Winger,AS Monaco,Ligue1,UEFA,731.2,FW,76,74,68,75,80,48,59,akliouchemaghnes
Curtis Jones,24,England,Central_Midfielder,Liverpool FC,PremierLeague,UEFA,731.2,MF,79,68,71,75,81,70,75,curtisjones
Rayan Cherki,21,France,Right_Winger,Manchester City,PremierLeague,UEFA,731.2,FW,75,68,67,74,84,21,61,cherkirayan
Mateo Retegui,26,Italy,Striker,Al-Qadsiah FC,Saudi_ProLeague,UEFA,731.2,FW,76,72,76,64,70,35,77,mateoretegui
Angelo Stiller,24,Germany,Defensive_Midfielder,VfB Stuttgart,Bundesliga,UEFA,731.2,MF,78,58,57,78,78,73,69,angelostiller
Karim Adeyemi,23,Germany,Right_Winger,Borussia Dortmund,Bundesliga,UEFA,731.2,FW,79,96,73,71,81,34,70,adeyemikarim
Joshua Kimmich,30,Germany,Defensive_Midfielder,Bayern Munich,Bundesliga,UEFA,731.2,MF,86,69,74,88,84,81,77,joshuakimmich
Marc Guehi,25,England,Centre_Back,Crystal Palace,PremierLeague,UEFA,731.2,DF,81,72,39,65,72,82,77,guehimarc
Goncalo Inacio,23,Portugal,Centre_Back,Sporting CP,Liga_Portugal,UEFA,731.2,DF,80,80,37,64,71,81,79,goncaloinacio
Frenkie de Jong,28,Netherlands,Central_Midfielder,FC Barcelona,LaLiga,UEFA,731.2,MF,87,82,69,86,87,77,78,defrenkiejong
Amad Diallo,23,Cote d'Ivoire,Right_Winger,Manchester United,PremierLeague,CAF,731.2,FW,75,85,71,68,80,25,50,amaddiallo
Ousmane Diomande,21,Cote d'Ivoire,Centre_Back,Sporting CP,Liga_Portugal,CAF,731.2,DF,78,80,26,53,73,77,83,diomandeousmane
Mohammed Kudus,24,Ghana,Right_Winger,Tottenham Hotspur,PremierLeague,CAF,731.2,FW,82,90,77,73,86,60,75,kudusmohammed
Myles Lewis-Skelly,18,England,Left_Back,Arsenal FC,PremierLeague,UEFA,731.2,DF,58,63,48,58,61,52,59,lewismylesskelly
Alejandro Garnacho,21,Argentina,Left_Winger,Manchester United,PremierLeague,CONMEBOL,731.2,FW,79,86,75,72,81,37,59,alejandrogarnacho
Geovany Quenda,18,Portugal,Right_Winger,Sporting CP,Liga_Portugal,UEFA,731.2,FW,67,77,62,61,72,21,52,geovanyquenda
Jonathan David,25,Canada,Striker,Juventus FC,Serie_A,CONCACAF,731.2,FW,81,82,81,71,78,34,75,davidjonathan
Milos Kerkez,21,Hungary,Left_Back,Liverpool FC,PremierLeague,UEFA,731.2,DF,77,83,55,70,75,70,75,kerkezmilos
Manuel Ugarte,24,Uruguay,Defensive_Midfielder,Manchester United,PremierLeague,CONMEBOL,731.2,MF,81,69,65,73,77,78,80,manuelugarte
James Maddison,28,England,Attacking_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,682.5,MF,85,71,81,86,86,54,63,jamesmaddison
Anthony Elanga,23,Sweden,Right_Winger,Newcastle United,PremierLeague,UEFA,682.5,FW,76,87,69,68,78,39,69,anthonyelanga
Sven Botman,25,Netherlands,Centre_Back,Newcastle United,PremierLeague,UEFA,682.5,DF,82,60,37,63,65,83,83,botmansven
Rodrigo Mora,18,Portugal,Attacking_Midfielder,FC Porto,Liga_Portugal,UEFA,650.0,MF,66,72,45,65,71,41,36,morarodrigo
Kaoru Mitoma,28,Japan,Left_Winger,Brighton & Hove Albion,PremierLeague,AFC,650.0,FW,81,84,73,75,85,57,65,kaorumitoma
Lisandro Martinez,27,Argentina,Centre_Back,Manchester United,PremierLeague,CONMEBOL,650.0,DF,84,71,59,78,79,85,81,lisandromartinez
Exequiel Palacios,26,Argentina,Central_Midfielder,Bayer 04 Leverkusen,Bundesliga,CONMEBOL,650.0,MF,84,69,76,79,82,82,73,exequielpalacios
Brennan Johnson,24,Wales,Right_Winger,Tottenham Hotspur,PremierLeague,UEFA,650.0,FW,78,89,74,72,78,43,59,brennanjohnson
Joao Gomes,24,Brazil,Central_Midfielder,Wolverhampton Wanderers,PremierLeague,CONMEBOL,650.0,MF,78,70,65,72,74,76,75,gomesjoao
Boubacar Kamara,25,France,Defensive_Midfielder,Aston Villa,PremierLeague,UEFA,650.0,MF,82,66,54,74,75,83,80,boubacarkamara
Gianluigi Donnarumma,26,Italy,Goalkeeper,Paris Saint-Germain,Ligue1,UEFA,650.0,GK,89,90,84,73,90,52,87,donnarummagianluigi
Nico Schlotterbeck,25,Germany,Centre_Back,Borussia Dortmund,Bundesliga,UEFA,650.0,DF,85,77,59,70,73,85,82,nicoschlotterbeck
Fabian Ruiz,29,Spain,Central_Midfielder,Paris Saint-Germain,Ligue1,UEFA,650.0,MF,82,54,76,80,80,75,72,fabianruiz
Hugo Larsson,21,Sweden,Central_Midfielder,Eintracht Frankfurt,Bundesliga,UEFA,650.0,MF,74,73,63,67,75,65,73,hugolarsson
Destiny Udogie,22,Italy,Left_Back,Tottenham Hotspur,PremierLeague,UEFA,650.0,DF,82,88,65,74,80,78,80,destinyudogie
Liam Delap,22,England,Striker,Chelsea FC,PremierLeague,UEFA,650.0,FW,71,76,70,58,70,29,74,delapliam
Goncalo Ramos,24,Portugal,Striker,Paris Saint-Germain,Ligue1,UEFA,650.0,FW,79,76,77,64,77,47,81,goncaloramos
Min-jae Kim,28,"Korea, South",Centre_Back,Bayern Munich,Bundesliga,AFC,650.0,DF,83,76,33,57,63,85,83,jaekimmin
Min-jae Kim,28,"Korea, South",Centre_Back,Bayern Munich,Bundesliga,AFC,650.0,DF,49,54,39,48,48,41,53,jaekimmin
Castello Lukeba,22,France,Centre_Back,RB Leipzig,Bundesliga,UEFA,650.0,DF,79,70,43,68,73,80,73,castellolukeba
Rico Lewis,20,England,Right_Back,Manchester City,PremierLeague,UEFA,650.0,DF,76,78,54,73,81,71,57,lewisrico
Romeo Lavia,21,Belgium,Defensive_Midfielder,Chelsea FC,PremierLeague,UEFA,650.0,MF,75,67,50,70,75,73,73,laviaromeo
Noni Madueke,23,England,Right_Winger,Arsenal FC,PremierLeague,UEFA,650.0,FW,78,90,72,72,82,38,67,maduekenoni
Tino Livramento,22,England,Right_Back,Newcastle United,PremierLeague,UEFA,650.0,DF,78,83,50,70,79,74,73,livramentotino
Conor Gallagher,25,England,Central_Midfielder,Atlético de Madrid,LaLiga,UEFA,650.0,MF,81,73,75,78,78,77,81,conorgallagher
Khephren Thuram,24,France,Central_Midfielder,Juventus FC,Serie_A,UEFA,650.0,MF,78,71,71,77,78,76,78,khephrenthuram
Gregor Kobel,27,Switzerland,Goalkeeper,Borussia Dortmund,Bundesliga,UEFA,650.0,GK,88,87,86,73,89,44,87,gregorkobel
Mason Greenwood,23,England,Right_Winger,Olympique Marseille,Ligue1,UEFA,650.0,FW,79,83,80,75,81,36,60,greenwoodmason
Victor Boniface,24,Nigeria,Striker,Bayer 04 Leverkusen,Bundesliga,CAF,650.0,FW,82,73,83,66,80,38,82,bonifacevictor
Ollie Watkins,29,England,Striker,Aston Villa,PremierLeague,UEFA,650.0,FW,85,85,83,73,80,50,83,olliewatkins
Antoine Semenyo,25,Ghana,Left_Winger,AFC Bournemouth,PremierLeague,CAF,650.0,FW,76,85,72,67,77,27,75,antoinesemenyo
Robin Le Normand,28,Spain,Centre_Back,Atlético de Madrid,LaLiga,UEFA,650.0,DF,83,62,26,54,60,84,79,lenormandrobin
Jarrod Bowen,28,England,Right_Winger,West Ham United,PremierLeague,UEFA,650.0,FW,82,77,81,76,81,46,70,bowenjarrod
Dominic Solanke,27,England,Striker,Tottenham Hotspur,PremierLeague,UEFA,650.0,FW,81,75,81,66,78,29,83,dominicsolanke
Diogo Costa,25,Portugal,Goalkeeper,FC Porto,Liga_Portugal,UEFA,650.0,GK,84,83,78,82,86,35,83,costadiogo
Ferran Torres,25,Spain,Striker,FC Barcelona,LaLiga,UEFA,650.0,FW,80,84,78,76,81,35,68,ferrantorres
David Raya,29,Spain,Goalkeeper,Arsenal FC,PremierLeague,UEFA,650.0,GK,83,82,81,86,82,57,81,davidraya
Carlos Baleba,21,Cameroon,Defensive_Midfielder,Brighton & Hove Albion,PremierLeague,CAF,650.0,MF,73,77,50,65,74,68,77,balebacarlos
Matthijs de Ligt,25,Netherlands,Centre_Back,Manchester United,PremierLeague,UEFA,617.5,DF,84,62,61,63,67,85,83,deligtmatthijs
Lucas Bergvall,19,Sweden,Central_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,617.5,MF,68,72,52,67,73,53,65,bergvalllucas
Archie Gray,19,England,Defensive_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,617.5,MF,73,75,60,70,74,70,72,archiegray
Pedro Porro,25,Spain,Right_Back,Tottenham Hotspur,PremierLeague,UEFA,617.5,DF,83,82,73,80,81,78,77,pedroporro
Bernardo Silva,30,Portugal,Attacking_Midfielder,Manchester City,PremierLeague,UEFA,617.5,MF,88,75,78,86,92,71,69,bernardosilva
Youri Tielemans,28,Belgium,Central_Midfielder,Aston Villa,PremierLeague,UEFA,617.5,MF,81,44,79,83,79,69,70,tielemansyouri
Evanilson,25,Brazil,Striker,AFC Bournemouth,PremierLeague,CONMEBOL,568.8,FW,80,76,78,65,78,37,80,evanilson
Santiago Castro,20,Argentina,Striker,Bologna FC 1909,Serie_A,CONMEBOL,568.8,FW,73,79,73,59,73,40,65,castrosantiago
Marc Cucurella,27,Spain,Left_Back,Chelsea FC,PremierLeague,UEFA,568.8,DF,82,75,60,80,80,78,76,cucurellamarc
Davide Frattesi,25,Italy,Central_Midfielder,Inter Milan,Serie_A,UEFA,568.8,MF,81,80,74,78,81,71,71,davidefrattesi
Christopher Nkunku,27,France,Striker,Chelsea FC,PremierLeague,UEFA,568.8,FW,84,81,81,81,86,60,67,christophernkunku
Justin Kluivert,26,Netherlands,Attacking_Midfielder,AFC Bournemouth,PremierLeague,UEFA,568.8,MF,77,88,75,73,81,38,65,justinkluivert
Theo Hernandez,27,France,Left_Back,Al-Hilal SFC,Saudi_ProLeague,UEFA,568.8,DF,87,95,76,78,84,81,89,hernandeztheo
Dusan Vlahovic,25,Serbia,Striker,Juventus FC,Serie_A,UEFA,568.8,FW,84,78,84,69,79,29,83,dusanvlahovic
Teun Koopmeiners,27,Netherlands,Attacking_Midfielder,Juventus FC,Serie_A,UEFA,568.8,MF,83,66,78,83,78,75,78,koopmeinersteun
Dan Ndoye,24,Switzerland,Right_Winger,Bologna FC 1909,Serie_A,UEFA,568.8,FW,75,81,67,67,78,64,68,danndoye
Mikel Merino,29,Spain,Central_Midfielder,Arsenal FC,PremierLeague,UEFA,568.8,MF,85,72,79,82,82,83,82,merinomikel
Joelinton,28,Brazil,Central_Midfielder,Newcastle United,PremierLeague,CONMEBOL,568.8,MF,82,76,72,76,82,81,89,joelinton
Jonathan Burkardt,25,Germany,Striker,Eintracht Frankfurt,Bundesliga,UEFA,568.8,FW,76,75,75,67,78,43,76,burkardtjonathan
Endrick,19,Brazil,Striker,Real Madrid,LaLiga,CONMEBOL,568.8,FW,77,89,76,61,78,30,64,endrick
Nico Paz,20,Argentina,Attacking_Midfielder,Como 1907,Serie_A,CONMEBOL,568.8,MF,69,66,63,66,70,49,60,nicopaz
