Name,Age,Nation,Position,Club,League,Confederation,MarketValue,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Adam Webster,30,England,Centre_Back,Brighton & Hove Albion,PremierLeague,UEFA,179,DF,76,54,31,61,68,77,76
Adam Wharton,21,England,Defensive_Midfielder,Crystal Palace,PremierLeague,UEFA,731,MF,78,68,61,78,78,75,71
Ademola Lookman,27,Nigeria,Striker,Atalanta BC,Serie_A,CAF,975,FW,82,84,81,71,86,31,66
Adem Zorgane,25,Algeria,Central_Midfielder,Union Saint-Gilloise,Jupiler_ProLeague,CAF,98,MF,76,55,71,77,74,69,83
Adil Aouchiche,23,France,Attacking_Midfielder,Aberdeen FC,Scottish_Premiership,UEFA,24,MF,69,65,63,70,71,56,57
Adilson Malanda,23,France,Centre_Back,Charlotte FC,MLS,UEFA,65,DF,68,61,32,49,55,67,71
Ado Onaiwu,29,Japan,Striker,AJ Auxerre,Ligue1,AFC,24,FW,70,79,69,61,66,38,69
Adrian,38,Spain,Goalkeeper,Real Betis Balompié,LaLiga,UEFA,8,GK,70,70,70,67,69,43,69
Adrian Bernabe,24,Spain,Central_Midfielder,Parma Calcio 1913,Serie_A,UEFA,244,MF,75,79,70,74,78,67,65
Adrian Martinez,33,Argentina,Striker,Racing Club,Liga_Profesional,CONMEBOL,57,FW,76,68,76,58,70,41,82
Adriano Bertaccini,24,Belgium,Striker,Sint-Truidense VV,Jupiler_ProLeague,UEFA,73,FW,67,75,67,59,68,28,60
Adrian Przyborek,18,Poland,Attacking_Midfielder,Pogon Szczecin,Ekstraklasa,UEFA,65,MF,61,72,54,54,63,29,53
Adrian Semper,27,Croatia,Goalkeeper,Pisa Sporting Club,Serie_A,UEFA,57,GK,71,72,68,66,72,31,70
Adria Pedrosa,27,Spain,Left_Back,Sevilla FC,LaLiga,UEFA,114,DF,76,90,60,69,78,69,73
Adrien Truffert,23,France,Left_Back,AFC Bournemouth,PremierLeague,UEFA,244,DF,77,76,57,71,75,73,69
Agustin Alvarez,24,Uruguay,Striker,US Sassuolo,Serie_A,CONMEBOL,65,FW,70,70,71,61,69,36,69
Agustin Ojeda,21,Argentina,Left_Winger,New York City FC,MLS,CONMEBOL,65,FW,69,88,56,63,74,41,48
Ahmed Kutucu,25,Turkey,Left_Winger,Galatasaray,SuperLig,UEFA,81,FW,67,73,68,58,67,41,69
Ahmed Touba,27,Algeria,Centre_Back,Panathinaikos FC,SuperLeague1,CAF,41,DF,70,72,53,61,62,68,80
Ahmetcan Kaplan,22,Turkey,Centre_Back,Ajax Amsterdam,Eredivisie,UEFA,81,DF,71,64,30,57,57,71,70
Ahn Hyun Beom,30,"Korea, South",Right_Back,Suwon FC,K_League1,AFC,8,DF,70,90,61,63,69,60,74
Aidan Morris,23,United States,Central_Midfielder,Middlesbrough FC,Championship,CONCACAF,65,MF,73,73,53,61,69,69,81
Aiden O'Neill,27,Australia,Defensive_Midfielder,New York City FC,MLS,AFC,49,MF,70,76,61,65,69,66,78
Aiham Ousou,25,Syria,Centre_Back,Royal Charleroi SC,Jupiler_ProLeague,AFC,41,DF,71,76,31,59,67,70,74
Aimar Oroz,23,Spain,Attacking_Midfielder,CA Osasuna,LaLiga,UEFA,244,MF,75,68,74,71,76,58,65
Aimen Moueffek,24,Morocco,Central_Midfielder,AS Saint-Étienne,Ligue2,CAF,41,MF,68,65,56,64,72,65,66
Ainsley Maitland-Niles,27,England,Right_Back,Olympique Lyon,Ligue1,UEFA,195,DF,75,76,61,71,73,71,72
Aitor Paredes,25,Spain,Centre_Back,Athletic Bilbao,LaLiga,UEFA,358,DF,77,72,36,49,56,78,75
Ajani Fortune,22,Trinidad and Tobago,Central_Midfielder,Atlanta United FC,MLS,CONCACAF,24,MF,57,62,42,55,54,43,55
Alan,25,Brazil,Attacking_Midfielder,Moreirense FC,Liga_Portugal,CONMEBOL,65,MF,72,75,65,69,75,50,45
Alan Lescano,23,Argentina,Attacking_Midfielder,AA Argentinos Juniors,Liga_Profesional,CONMEBOL,98,MF,72,65,70,72,73,62,69
Alan Matturro,20,Uruguay,Centre_Back,Levante UD,LaLiga,CONMEBOL,114,DF,66,64,30,52,54,67,64
Alan Pulido,34,Mexico,Striker,Deportivo Guadalajara,Liga_MX,CONCACAF,16,FW,72,73,72,66,72,37,71
Alan Varela,24,Argentina,Defensive_Midfielder,FC Porto,Liga_Portugal,CONMEBOL,520,MF,78,67,62,74,73,74,78
Alassane Plea,32,France,Striker,PSV Eindhoven,Eredivisie,UEFA,81,FW,77,66,77,79,79,39,71
Alban Lafont,26,France,Goalkeeper,Panathinaikos FC,SuperLeague1,UEFA,49,GK,76,75,71,69,81,47,76
Albert Gronbaek,24,Denmark,Attacking_Midfielder,Genoa CFC,Serie_A,UEFA,179,MF,75,77,68,72,77,62,72
Albert Gudmundsson,28,Iceland,Striker,ACF Fiorentina,Serie_A,UEFA,292,FW,80,87,79,70,83,37,72
Alberto Costa,21,Portugal,Right_Back,FC Porto,Liga_Portugal,UEFA,162,DF,62,67,32,51,57,59,56
Alberto Dossena,26,Italy,Centre_Back,Como 1907,Serie_A,UEFA,130,DF,74,43,43,52,59,76,75
Albert Posiadala,22,Poland,Goalkeeper,Molde FK,Eliteserien,UEFA,16,GK,66,67,66,64,66,32,67
Albert Rusnak,31,Slovakia,Attacking_Midfielder,Seattle Sounders FC,MLS,UEFA,57,MF,73,73,72,72,75,51,64
Albert Sambi Lokonga,25,Belgium,Central_Midfielder,Arsenal FC,PremierLeague,UEFA,130,MF,75,64,58,74,76,68,71
Albian Hajdari,22,Switzerland,Centre_Back,FC Lugano,Swiss_SuperLeague,UEFA,195,DF,67,58,32,47,49,65,74
Alby Kelly-Heald,20,New Zealand,Goalkeeper,Wellington Phoenix,A_League,OFC,3,GK,53,56,52,53,52,24,49
Aleix Garcia,28,Spain,Central_Midfielder,Bayer 04 Leverkusen,Bundesliga,UEFA,325,MF,84,67,77,85,84,76,68
Aleksandar Dragovic,34,Austria,Centre_Back,Austria Vienna,Austria_Bundesliga,UEFA,16,DF,75,54,51,63,64,77,75
Aleksandar Mitrovic,30,Serbia,Striker,Al-Hilal SFC,Saudi_ProLeague,UEFA,292,FW,82,64,82,62,73,28,88
Aleksandar Pavlovic,21,Germany,Defensive_Midfielder,Bayern Munich,Bundesliga,UEFA,894,MF,73,69,60,75,72,68,65
Aleksandar Stankovic,19,Serbia,Defensive_Midfielder,Club Brugge KV,Jupiler_ProLeague,UEFA,179,MF,60,65,33,52,50,57,58
Aleksa Terzic,25,Serbia,Left_Back,Red Bull Salzburg,Austria_Bundesliga,UEFA,57,DF,71,82,45,59,70,66,62
Alemao,27,Brazil,Striker,CF Pachuca,Liga_MX,CONMEBOL,57,FW,70,74,71,63,68,25,76
Alen Sherri,27,Albania,Goalkeeper,Frosinone Calcio,Serie_B,UEFA,16,GK,65,66,61,61,68,34,63
Alessandro Bastoni,26,Italy,Centre_Back,Inter Milan,Serie_A,UEFA,1300,DF,87,75,43,75,76,87,83
Alessandro Buongiorno,26,Italy,Centre_Back,SSC Napoli,Serie_A,UEFA,812,DF,80,65,45,69,65,82,76
Alessandro Circati,21,Australia,Centre_Back,Parma Calcio 1913,Serie_A,AFC,130,DF,73,61,35,53,49,74,74
Alessandro Florenzi,34,Italy,Right_Back,AC Milan,Serie_A,UEFA,16,DF,76,70,76,80,79,75,56
Alessandro Lopane,21,Australia,Attacking_Midfielder,Melbourne City FC,A_League,AFC,6,MF,60,69,52,57,65,49,56
Alessio Castro-Montes,28,Belgium,Side_Midfielder,Union Saint-Gilloise,Jupiler_ProLeague,UEFA,81,MF,75,75,69,73,73,72,71
Alexandar Popovic,22,Australia,Centre_Back,Sydney FC,A_League,AFC,6,DF,63,67,32,48,53,60,75
Alexander Bah,27,Denmark,Right_Back,SL Benfica,Liga_Portugal,UEFA,162,DF,79,91,65,72,75,74,81
Alexander Briedl,23,Austria,Defensive_Midfielder,FC Blau-Weiss Linz,Austria_Bundesliga,UEFA,16,MF,59,57,32,54,51,57,57
Alexander Busch,22,Denmark,Centre_Back,Silkeborg IF,Danish_Superligaen,UEFA,20,DF,68,54,29,45,53,69,67
Alexander Djiku,30,Ghana,Centre_Back,Fenerbahce,SuperLig,CAF,106,DF,79,75,43,67,69,79,81
Alexander Isak,25,Sweden,Striker,Newcastle United,PremierLeague,UEFA,1950,FW,85,85,84,73,86,39,74
Alexander Jensen,23,Denmark,Right_Back,Aberdeen FC,Scottish_Premiership,UEFA,24,DF,65,76,58,61,63,60,66
Alexander Meyer,34,Germany,Goalkeeper,Borussia Dortmund,Bundesliga,UEFA,13,GK,75,72,71,77,76,41,74
Alexander Nubel,28,Germany,Goalkeeper,VfB Stuttgart,Bundesliga,UEFA,195,GK,80,81,76,81,82,48,78
Alexander Ring,34,Finland,Central_Midfielder,HJK Helsinki,Other_leagues,UEFA,6,MF,71,67,66,67,69,68,74
Alexander Schlager,29,Austria,Goalkeeper,Red Bull Salzburg,Austria_Bundesliga,UEFA,41,GK,74,73,72,66,76,46,73
Alexander Sorloth,29,Norway,Striker,Atlético de Madrid,LaLiga,UEFA,406,FW,82,79,82,70,76,36,85
Alexandre Lacazette,34,France,Striker,NEOM SC,Saudi_ProLeague,UEFA,98,FW,82,70,84,76,83,44,75
Alexandre Penetra,23,Portugal,Centre_Back,AZ Alkmaar,Eredivisie,UEFA,146,DF,72,67,36,53,51,74,72
Alexandros Paschalakis,35,Greece,Goalkeeper,Olympiacos Piraeus,SuperLeague1,UEFA,8,GK,75,76,72,58,77,51,75
Alexandru Maxim,35,Romania,Attacking_Midfielder,Gaziantep FK,SuperLig,UEFA,8,MF,75,69,74,77,78,34,60
Alexandru Tudorie,29,Romania,Striker,Wuhan Three Towns,Chinese_SuperLeague,UEFA,20,FW,62,59,61,44,52,32,69
Alex Arce,30,Paraguay,Striker,CS Independiente Rivadavia,Liga_Profesional,CONMEBOL,73,FW,73,59,77,48,69,22,64
Alex Bonetig,22,Australia,Centre_Back,Western Sydney Wanderers,A_League,AFC,7,DF,59,59,29,47,51,58,67
Alex Gersbach,28,Australia,Left_Back,Western Sydney Wanderers,A_League,AFC,6,DF,64,82,35,55,61,57,73
Alex Greive,26,New Zealand,Striker,San Antonio FC,Other_leagues,OFC,5,FW,61,78,60,49,60,18,58
Alexis Antunes,24,Switzerland,Attacking_Midfielder,Servette FC,Swiss_SuperLeague,UEFA,49,MF,69,70,63,66,74,51,65
Alexis Mac Allister,26,Argentina,Central_Midfielder,Liverpool FC,PremierLeague,CONMEBOL,1625,MF,86,69,82,85,84,76,76
Alex Meret,28,Italy,Goalkeeper,SSC Napoli,Serie_A,UEFA,292,GK,81,80,78,72,84,44,83
Alex Padilla,21,Mexico,Goalkeeper,Athletic Bilbao,LaLiga,CONCACAF,49,GK,63,64,64,60,62,31,67
Alex Palmer,28,England,Goalkeeper,Ipswich Town,Championship,UEFA,16,GK,72,73,72,71,72,30,71
Alex Paulsen,23,New Zealand,Goalkeeper,AFC Bournemouth,PremierLeague,OFC,12,GK,70,68,65,70,73,49,64
Alex Remiro,30,Spain,Goalkeeper,Real Sociedad,LaLiga,UEFA,292,GK,84,84,79,80,86,42,86
Alex Robertson,22,Australia,Central_Midfielder,Cardiff City,League_One,AFC,24,MF,67,71,56,66,71,55,62
Alex Roldan,28,El Salvador,Right_Back,Seattle Sounders FC,MLS,CONCACAF,65,DF,69,75,57,65,70,62,71
Alex Rufer,29,New Zealand,Defensive_Midfielder,Wellington Phoenix,A_League,OFC,10,MF,68,64,58,66,66,63,78
Alexsandro,25,Brazil,Centre_Back,LOSC Lille,Ligue1,CONMEBOL,325,DF,76,62,31,51,53,77,78
Alex Scott,21,England,Central_Midfielder,AFC Bournemouth,PremierLeague,UEFA,325,MF,74,73,62,73,79,65,68
Alex Valle,21,Spain,Left_Back,Como 1907,Serie_A,UEFA,98,DF,68,72,46,64,68,62,67
Alfie Devine,20,England,Attacking_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,57,MF,65,66,59,63,65,52,57
Alfie Gilchrist,21,England,Right_Back,Chelsea FC,PremierLeague,UEFA,130,DF,65,60,37,53,53,65,65
Alhassan Yusuf,25,Nigeria,Central_Midfielder,New England Revolution,MLS,CAF,49,MF,72,76,59,67,73,67,76
Ali Abdi,31,Tunisia,Left_Back,OGC Nice,Ligue1,CAF,49,DF,71,89,60,66,71,62,76
Ali Ahmed,24,Canada,Side_Midfielder,Vancouver Whitecaps FC,MLS,CONCACAF,49,MF,64,75,55,60,66,61,63
Alidu Seidu,25,Ghana,Centre_Back,Stade Rennais FC,Ligue1,CAF,146,DF,74,58,43,61,70,75,67
Ali Lajami,29,Saudi Arabia,Centre_Back,Al-Hilal SFC,Saudi_ProLeague,AFC,15,DF,69,76,48,58,60,67,76
Ali Majrashi,25,Saudi Arabia,Right_Back,Al-Ahli SFC,Saudi_ProLeague,AFC,15,DF,65,81,44,52,62,58,73
Alistair Johnston,26,Canada,Right_Back,Celtic FC,Scottish_Premiership,CONCACAF,162,DF,75,79,57,71,70,71,80
Aljoscha Kemlein,20,Germany,Defensive_Midfielder,1.FC Union Berlin,Bundesliga,UEFA,114,MF,68,60,59,65,67,64,66
Alou Kuol,24,Australia,Striker,Western Sydney Wanderers,A_League,AFC,6,FW,61,77,58,45,56,31,71
Alphonse Areola,32,France,Goalkeeper,West Ham United,PremierLeague,UEFA,146,GK,81,82,77,74,83,55,80
Alphonso Davies,24,Canada,Left_Back,Bayern Munich,Bundesliga,CONCACAF,812,DF,82,95,66,77,84,72,76
Altay Bayindir,27,Turkey,Goalkeeper,Manchester United,PremierLeague,UEFA,130,GK,76,78,73,72,79,30,76
Alvaro Carreras,22,Spain,Left_Back,Real Madrid,LaLiga,UEFA,569,DF,72,80,56,73,75,64,70
Alvaro Montero,30,Colombia,Goalkeeper,CA Vélez Sarsfield,Liga_Profesional,CONMEBOL,24,GK,76,75,74,69,76,43,79
Alvaro Tejero,29,Spain,Right_Back,Aris Thessaloniki,SuperLeague1,UEFA,29,DF,73,82,64,69,71,65,69
Alvaro Valles,28,Spain,Goalkeeper,Real Betis Balompié,LaLiga,UEFA,41,GK,81,80,79,79,83,41,81
Alvyn Sanches,22,Switzerland,Central_Midfielder,FC Lausanne-Sport,Swiss_SuperLeague,UEFA,228,MF,67,70,56,62,71,60,64
Amadou Haidara,27,Mali,Central_Midfielder,RB Leipzig,Bundesliga,CAF,260,MF,80,66,72,79,81,72,69
Amadou Kone,20,Cote d'Ivoire,Defensive_Midfielder,NEOM SC,Saudi_ProLeague,CAF,65,MF,65,61,53,60,61,61,66
Amadou Onana,23,Belgium,Defensive_Midfielder,Aston Villa,PremierLeague,UEFA,812,MF,78,72,59,71,72,76,79
Amady Camara,20,Mali,Striker,SK Sturm Graz,Austria_Bundesliga,CAF,24,FW,62,74,62,55,62,22,60
Amankwah Forson,22,Ghana,Central_Midfielder,Norwich City,Championship,CAF,73,MF,69,86,55,65,73,54,50
Amar Dedic,22,Bosnia-Herzegovina,Right_Back,SL Benfica,Liga_Portugal,UEFA,195,DF,73,83,58,68,71,66,74
Amari'i Bell,31,Jamaica,Left_Back,Charlton Athletic,Championship,CONCACAF,20,DF,71,75,50,60,67,71,73
Amine Adli,25,Morocco,Left_Winger,Bayer 04 Leverkusen,Bundesliga,CAF,292,FW,78,83,76,69,82,42,74
Amine Bassi,27,Morocco,Attacking_Midfielder,Houston Dynamo FC,MLS,CAF,73,MF,69,69,69,69,69,48,63
Amine El Ouazzani,24,Morocco,Striker,SC Braga,Liga_Portugal,CAF,57,FW,67,64,67,60,65,20,64
Amine Harit,28,Morocco,Attacking_Midfielder,Olympique Marseille,Ligue1,CAF,130,MF,76,77,65,74,81,60,57
Amir Hadziahmetovic,28,Bosnia-Herzegovina,Defensive_Midfielder,Besiktas JK,SuperLig,UEFA,73,MF,74,71,60,73,72,71,76
Amir Murillo,29,Panama,Right_Back,Olympique Marseille,Ligue1,CONCACAF,162,DF,74,82,57,68,71,69,73
Amir Richardson,23,Morocco,Central_Midfielder,ACF Fiorentina,Serie_A,CAF,138,MF,73,73,64,69,72,67,74
Amir Rrahmani,31,Kosovo,Centre_Back,SSC Napoli,Serie_A,UEFA,195,DF,80,69,51,58,61,82,78
Amir Sayoud,34,Algeria,Attacking_Midfielder,Al-Raed,Saudi_ProLeague2,CAF,9,MF,74,74,71,73,77,32,65
Anan Khalaili,20,Israel,Right_Winger,Union Saint-Gilloise,Jupiler_ProLeague,UEFA,130,FW,64,76,62,56,67,25,59
Anass Salah-Eddine,23,Netherlands,Left_Back,AS Roma,Serie_A,UEFA,130,DF,67,74,35,65,69,62,66
Anass Zaroury,24,Morocco,Attacking_Midfielder,RC Lens,Ligue1,CAF,130,MF,73,84,66,68,76,27,61
Anastasios Bakasetas,32,Greece,Attacking_Midfielder,Panathinaikos FC,SuperLeague1,UEFA,65,MF,77,68,80,76,77,59,76
Anatoliy Trubin,23,Ukraine,Goalkeeper,SL Benfica,Liga_Portugal,UEFA,455,GK,78,72,76,77,82,45,84
Ander Herrera,35,Spain,Central_Midfielder,CA Boca Juniors,Liga_Profesional,UEFA,13,MF,78,59,71,78,78,79,74
Anders Dreyer,27,Denmark,Right_Winger,San Diego FC,MLS,UEFA,146,FW,77,78,78,74,77,42,65
Andi Zeqiri,26,Switzerland,Striker,KRC Genk,Jupiler_ProLeague,UEFA,65,FW,70,68,69,60,72,23,67
Andrea Cambiaso,25,Italy,Left_Back,Juventus FC,Serie_A,UEFA,569,DF,77,78,61,76,77,72,66
Andrea Colpani,26,Italy,Attacking_Midfielder,AC Monza,Serie_B,UEFA,154,MF,78,76,76,78,78,65,70
Andrea Compagno,29,Italy,Striker,Jeonbuk Hyundai Motors,K_League1,UEFA,46,FW,70,61,70,50,61,33,79
Andrea Fulignati,30,Italy,Goalkeeper,US Cremonese,Serie_A,UEFA,20,GK,69,69,67,71,70,48,69
Andre Almeida,25,Portugal,Attacking_Midfielder,Valencia CF,LaLiga,UEFA,162,MF,77,72,66,78,79,67,63
Andrea Pinamonti,26,Italy,Striker,US Sassuolo,Serie_A,UEFA,244,FW,73,70,75,53,71,27,71
Andreas Christensen,29,Denmark,Centre_Back,FC Barcelona,LaLiga,UEFA,195,DF,83,67,32,68,71,85,76
Andreas Hansen,29,Denmark,Goalkeeper,FC Nordsjaelland,Danish_Superligaen,UEFA,21,GK,72,72,71,74,73,47,72
Andreas Hountondji,23,Benin,Striker,FC St. Pauli,Bundesliga,CAF,41,FW,69,75,67,58,72,21,58
Andreas Jungdal,23,Denmark,Goalkeeper,KVC Westerlo,Jupiler_ProLeague,UEFA,24,GK,64,67,61,57,67,23,63
Andreas Pereira,29,Brazil,Attacking_Midfielder,Fulham FC,PremierLeague,CONMEBOL,292,MF,78,74,77,80,78,66,69
Andreas Schjelderup,21,Norway,Left_Winger,SL Benfica,Liga_Portugal,UEFA,244,FW,72,78,66,65,77,35,54
Andre Blake,34,Jamaica,Goalkeeper,Philadelphia Union,MLS,CONCACAF,10,GK,75,74,70,71,77,45,78
Andre Gomes,20,Portugal,Goalkeeper,FC Alverca,Liga_Portugal,UEFA,41,GK,65,66,62,61,67,41,64
Andrei Girotto,33,Brazil,Centre_Back,Al-Taawoun FC,Saudi_ProLeague,CONMEBOL,49,DF,76,49,65,67,66,77,75
Andrei Ivan,28,Romania,Left_Winger,Panserraikos,SuperLeague1,UEFA,16,FW,68,83,69,63,67,33,72
Andrei Ratiu,27,Romania,Right_Back,Rayo Vallecano,LaLiga,UEFA,195,DF,73,88,56,65,67,69,66
Andre Luis,31,Brazil,Striker,Shanghai Shenhua,Chinese_SuperLeague,CONMEBOL,20,FW,72,75,71,60,69,24,71
Andre Onana,29,Cameroon,Goalkeeper,Manchester United,PremierLeague,CAF,406,GK,83,83,75,87,86,61,79
Andres Andrade,26,Panama,Centre_Back,LASK,Austria_Bundesliga,CONCACAF,32,DF,71,74,51,61,65,71,79
Andres Cubas,29,Paraguay,Defensive_Midfielder,Vancouver Whitecaps FC,MLS,CONMEBOL,65,MF,74,69,50,66,71,73,56
Andres Perea,24,United States,Defensive_Midfielder,New York City FC,MLS,CONCACAF,32,MF,65,72,50,59,64,63,68
Andres Vombergar,30,Slovenia,Striker,CA San Lorenzo de Almagro,Liga_Profesional,UEFA,49,FW,71,71,68,60,64,33,78
Andrew,24,Brazil,Goalkeeper,Gil Vicente FC,Liga_Portugal,CONMEBOL,65,GK,75,76,73,74,77,45,72
Andrew Brody,30,United States,Left_Back,Sporting Kansas City,MLS,CONCACAF,20,DF,69,73,40,57,66,64,71
Andrew Gutman,28,United States,Left_Back,Chicago Fire FC,MLS,CONCACAF,14,DF,67,79,48,56,64,64,70
Andrew Moran,21,Ireland,Attacking_Midfielder,Brighton & Hove Albion,PremierLeague,UEFA,57,MF,67,75,58,66,71,39,57
Andrew Omobamidele,23,Ireland,Centre_Back,RC Strasbourg Alsace,Ligue1,UEFA,130,DF,71,71,27,52,56,71,75
Andrew Privett,24,United States,Centre_Back,Charlotte FC,MLS,CONCACAF,20,DF,65,63,32,53,56,65,67
Andrew Robertson,31,Scotland,Left_Back,Liverpool FC,PremierLeague,UEFA,292,DF,85,78,61,82,79,81,78
Andrey Santos,21,Brazil,Central_Midfielder,Chelsea FC,PremierLeague,CONMEBOL,569,MF,73,74,65,70,75,70,69
Andries Noppert,31,Netherlands,Goalkeeper,SC Heerenveen,Eredivisie,UEFA,16,GK,73,74,71,67,73,35,72
Andrija Zivkovic,29,Serbia,Right_Winger,PAOK Thessaloniki,SuperLeague1,UEFA,130,FW,78,82,74,74,81,57,62
Andriy Lunin,26,Ukraine,Goalkeeper,Real Madrid,LaLiga,UEFA,292,GK,81,80,78,77,82,37,80
Andy Diouf,22,France,Central_Midfielder,RC Lens,Ligue1,UEFA,244,MF,74,75,68,71,75,67,75
Anel Ahmedhodzic,26,Bosnia-Herzegovina,Centre_Back,Sheffield United,Championship,UEFA,292,DF,74,74,41,59,61,74,78
Anfernee Dijksteel,28,Suriname,Right_Back,Kocaelispor,SuperLig,CONCACAF,20,DF,69,73,34,55,65,69,73
Ange Ahoussou,21,Cote d'Ivoire,Centre_Back,Rapid Vienna,Austria_Bundesliga,CAF,24,DF,64,61,33,40,51,64,67
Angel Correa,30,Argentina,Right_Winger,Tigres UANL,Liga_MX,CONMEBOL,162,FW,82,85,84,77,86,50,75
Angel Gomes,24,England,Attacking_Midfielder,Olympique Marseille,Ligue1,UEFA,325,MF,77,76,70,75,79,72,69
Angelino,28,Spain,Left_Back,AS Roma,Serie_A,UEFA,325,DF,77,63,70,81,81,73,66
Angelo Stiller,24,Germany,Defensive_Midfielder,VfB Stuttgart,Bundesliga,UEFA,731,MF,78,58,57,78,78,73,69
Angus Gunn,29,Scotland,Goalkeeper,Norwich City,Championship,UEFA,36,GK,74,75,71,72,76,48,71
Angus Thurgate,25,Australia,Central_Midfielder,Western United FC,A_League,AFC,11,MF,66,66,56,63,67,59,68
Anis Slimane,24,Tunisia,Central_Midfielder,Norwich City,Championship,CAF,49,MF,67,65,59,62,68,58,75
Anosike Ementa,23,Denmark,Striker,Viborg FF,Danish_Superligaen,UEFA,16,FW,66,64,62,52,62,26,77
