name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Eduardo Camavinga,MF,Central_Midfielder,22,France,UEFA,Real Madrid,LaLiga,975.0,eduardocamavinga_FRA
Dean Huijsen,DF,Centre_Back,20,Spain,UEFA,Real Madrid,LaLiga,975.0,deanhuijsen_SPA
Ademola Lookman,FW,Striker,27,Nigeria,CAF,Atalanta BC,Serie_A,975.0,ademolalookman_NIG
Estevao,FW,Right_Winger,18,Brazil,CONMEBOL,Chelsea FC,PremierLeague,975.0,estevao_BRA
Martin Zubimendi,MF,Defensive_Midfielder,26,Spain,UEFA,Arsenal FC,PremierLeague,975.0,martinzubimendi_SPA
Tijjani Reijnders,MF,Central_Midfielder,26,Netherlands,UEFA,Manchester City,PremierLeague,975.0,tijjanireijnders_NET
Alejandro Balde,DF,Left_Back,21,Spain,UEFA,FC Barcelona,LaLiga,975.0,alejandrobalde_SPA
Oihan Sancet,MF,Attacking_Midfielder,25,Spain,UEFA,Athletic Bilbao,LaLiga,975.0,oihansancet_SPA
Gavi,MF,Central_Midfielder,20,Spain,UEFA,FC Barcelona,LaLiga,975.0,gavi_SPA
Matheus Cunha,FW,Striker,26,Brazil,CONMEBOL,Manchester United,PremierLeague,975.0,matheuscunha_BRA
Ibrahima Konate,DF,Centre_Back,26,France,UEFA,Liverpool FC,PremierLeague,975.0,ibrahimakonate_FRA
Dani Olmo,MF,Attacking_Midfielder,27,Spain,UEFA,FC Barcelona,LaLiga,975.0,daniolmo_SPA
Sandro Tonali,MF,Central_Midfielder,25,Italy,UEFA,Newcastle United,PremierLeague,975.0,sandrotonali_ITA
Leny Yoro,DF,Centre_Back,19,France,UEFA,Manchester United,PremierLeague,893.8,lenyyoro_FRA
Morgan Rogers,MF,Attacking_Midfielder,23,England,UEFA,Aston Villa,PremierLeague,893.8,morganrogers_ENG
Murillo,DF,Centre_Back,23,Brazil,CONMEBOL,Nottingham Forest,PremierLeague,893.8,murillo_BRA
Gabriel Martinelli,FW,Left_Winger,24,Brazil,CONMEBOL,Arsenal FC,PremierLeague,893.8,gabrielmartinelli_BRA
Aleksandar Pavlovic,MF,Defensive_Midfielder,21,Germany,UEFA,Bayern Munich,Bundesliga,893.8,aleksandarpavlovic_GER
Pablo Barrios,MF,Central_Midfielder,22,Spain,UEFA,Atlético de Madrid,LaLiga,893.8,pablobarrios_SPA
Ethan Nwaneri,FW,Right_Winger,18,England,UEFA,Arsenal FC,PremierLeague,893.8,ethannwaneri_ENG
Alex Baena,FW,Left_Winger,24,Spain,UEFA,Atlético de Madrid,LaLiga,893.8,alexbaena_SPA
Eberechi Eze,MF,Attacking_Midfielder,27,England,UEFA,Crystal Palace,PremierLeague,893.8,eberechieze_ENG
Bryan Mbeumo,FW,Right_Winger,25,Cameroon,CAF,Manchester United,PremierLeague,893.8,bryanmbeumo_CAM
Levi Colwill,DF,Centre_Back,22,England,UEFA,Chelsea FC,PremierLeague,893.8,levicolwill_ENG
Warren Zaire-Emery,MF,Central_Midfielder,19,France,UEFA,Paris Saint-Germain,Ligue1,893.8,warrenzaire-emery_FRA
Jurrien Timber,DF,Right_Back,24,Netherlands,UEFA,Arsenal FC,PremierLeague,893.8,jurrientimber_NET
Dayot Upamecano,DF,Centre_Back,26,France,UEFA,Bayern Munich,Bundesliga,812.5,dayotupamecano_FRA
Morgan Gibbs-White,MF,Attacking_Midfielder,25,England,UEFA,Nottingham Forest,PremierLeague,812.5,morgangibbs-white_ENG
Moise Kean,FW,Striker,25,Italy,UEFA,ACF Fiorentina,Serie_A,812.5,moisekean_ITA
Lois Openda,FW,Striker,25,Belgium,UEFA,RB Leipzig,Bundesliga,812.5,loisopenda_BEL
Kobbie Mainoo,MF,Central_Midfielder,20,England,UEFA,Manchester United,PremierLeague,812.5,kobbiemainoo_ENG
Fermin Lopez,MF,Attacking_Midfielder,22,Spain,UEFA,FC Barcelona,LaLiga,812.5,ferminlopez_SPA
Alessandro Buongiorno,DF,Centre_Back,26,Italy,UEFA,SSC Napoli,Serie_A,812.5,alessandrobuongiorno_ITA
Pedro Neto,FW,Right_Winger,25,Portugal,UEFA,Chelsea FC,PremierLeague,812.5,pedroneto_POR
Piero Hincapie,DF,Centre_Back,23,Ecuador,CONMEBOL,Bayer 04 Leverkusen,Bundesliga,812.5,pierohincapie_ECU
Amadou Onana,MF,Defensive_Midfielder,23,Belgium,UEFA,Aston Villa,PremierLeague,812.5,amadouonana_BEL
Jeremy Doku,FW,Left_Winger,23,Belgium,UEFA,Manchester City,PremierLeague,812.5,jeremydoku_BEL
Jamie Gittens,FW,Left_Winger,20,England,UEFA,Chelsea FC,PremierLeague,812.5,jamiegittens_ENG
Jarrad Branthwaite,DF,Centre_Back,23,England,UEFA,Everton FC,PremierLeague,812.5,jarradbranthwaite_ENG
Micky van de Ven,DF,Centre_Back,24,Netherlands,UEFA,Tottenham Hotspur,PremierLeague,812.5,mickyvandeven_NET
Samu Aghehowa,FW,Striker,21,Spain,UEFA,FC Porto,Liga_Portugal,812.5,samuaghehowa_SPA
Kenan Yildiz,FW,Left_Winger,20,Turkey,UEFA,Juventus FC,Serie_A,812.5,kenanyildiz_TUR
Christian Pulisic,FW,Right_Winger,26,United States,CONCACAF,AC Milan,Serie_A,812.5,christianpulisic_UNI
Savinho,FW,Right_Winger,21,Brazil,CONMEBOL,Manchester City,PremierLeague,812.5,savinho_BRA
Joao Pedro,FW,Striker,23,Brazil,CONMEBOL,Chelsea FC,PremierLeague,812.5,joaopedro_BRA
Alphonso Davies,DF,Left_Back,24,Canada,CONCACAF,Bayern Munich,Bundesliga,812.5,alphonsodavies_CAN
Ederson,MF,Central_Midfielder,26,Brazil,CONMEBOL,Atalanta BC,Serie_A,812.5,ederson_BRA
Bremer,DF,Centre_Back,28,Brazil,CONMEBOL,Juventus FC,Serie_A,812.5,bremer_BRA
Mohamed Salah,FW,Right_Winger,33,Egypt,CAF,Liverpool FC,PremierLeague,812.5,mohamedsalah_EGY
Cristian Romero,DF,Centre_Back,27,Argentina,CONMEBOL,Tottenham Hotspur,PremierLeague,812.5,cristianromero_ARG
Scott McTominay,MF,Central_Midfielder,28,Scotland,UEFA,SSC Napoli,Serie_A,812.5,scottmctominay_SCO
Dejan Kulusevski,MF,Attacking_Midfielder,25,Sweden,UEFA,Tottenham Hotspur,PremierLeague,812.5,dejankulusevski_SWE
Federico Dimarco,DF,Left_Back,27,Italy,UEFA,Inter Milan,Serie_A,812.5,federicodimarco_ITA
Morten Hjulmand,MF,Defensive_Midfielder,26,Denmark,UEFA,Sporting CP,Liga_Portugal,812.5,mortenhjulmand_DEN
Marcus Rashford,FW,Left_Winger,27,England,UEFA,FC Barcelona,LaLiga,812.5,marcusrashford_ENG
Jeremie Frimpong,DF,Right_Back,24,Netherlands,UEFA,Liverpool FC,PremierLeague,812.5,jeremiefrimpong_NET
Bruno Fernandes,MF,Attacking_Midfielder,30,Portugal,UEFA,Manchester United,PremierLeague,812.5,brunofernandes_POR
Nicolas Jackson,FW,Striker,24,Senegal,CAF,Chelsea FC,PremierLeague,812.5,nicolasjackson_SEN
Arda Guler,FW,Right_Winger,20,Turkey,UEFA,Real Madrid,LaLiga,731.2,ardaguler_TUR
Adam Wharton,MF,Defensive_Midfielder,21,England,UEFA,Crystal Palace,PremierLeague,731.2,adamwharton_ENG
Serhou Guirassy,FW,Striker,29,Guinea,CAF,Borussia Dortmund,Bundesliga,731.2,serhouguirassy_GUI
Darwin Nunez,FW,Striker,26,Uruguay,CONMEBOL,Liverpool FC,PremierLeague,731.2,darwinnunez_URU
Maghnes Akliouche,FW,Right_Winger,23,France,UEFA,AS Monaco,Ligue1,731.2,maghnesakliouche_FRA
Curtis Jones,MF,Central_Midfielder,24,England,UEFA,Liverpool FC,PremierLeague,731.2,curtisjones_ENG
Rayan Cherki,FW,Right_Winger,21,France,UEFA,Manchester City,PremierLeague,731.2,rayancherki_FRA
Mateo Retegui,FW,Striker,26,Italy,UEFA,Al-Qadsiah FC,Saudi_ProLeague,731.2,mateoretegui_ITA
Angelo Stiller,MF,Defensive_Midfielder,24,Germany,UEFA,VfB Stuttgart,Bundesliga,731.2,angelostiller_GER
Karim Adeyemi,FW,Right_Winger,23,Germany,UEFA,Borussia Dortmund,Bundesliga,731.2,karimadeyemi_GER
Joshua Kimmich,MF,Defensive_Midfielder,30,Germany,UEFA,Bayern Munich,Bundesliga,731.2,joshuakimmich_GER
Marc Guehi,DF,Centre_Back,25,England,UEFA,Crystal Palace,PremierLeague,731.2,marcguehi_ENG
Goncalo Inacio,DF,Centre_Back,23,Portugal,UEFA,Sporting CP,Liga_Portugal,731.2,goncaloinacio_POR
Frenkie de Jong,MF,Central_Midfielder,28,Netherlands,UEFA,FC Barcelona,LaLiga,731.2,frenkiedejong_NET
Amad Diallo,FW,Right_Winger,23,Cote d'Ivoire,CAF,Manchester United,PremierLeague,731.2,amaddiallo_COT
Ousmane Diomande,DF,Centre_Back,21,Cote d'Ivoire,CAF,Sporting CP,Liga_Portugal,731.2,ousmanediomande_COT
Mohammed Kudus,FW,Right_Winger,24,Ghana,CAF,Tottenham Hotspur,PremierLeague,731.2,mohammedkudus_GHA
Myles Lewis-Skelly,DF,Left_Back,18,England,UEFA,Arsenal FC,PremierLeague,731.2,myleslewis-skelly_ENG
Alejandro Garnacho,FW,Left_Winger,21,Argentina,CONMEBOL,Manchester United,PremierLeague,731.2,alejandrogarnacho_ARG
Geovany Quenda,FW,Right_Winger,18,Portugal,UEFA,Sporting CP,Liga_Portugal,731.2,geovanyquenda_POR
Jonathan David,FW,Striker,25,Canada,CONCACAF,Juventus FC,Serie_A,731.2,jonathandavid_CAN
Milos Kerkez,DF,Left_Back,21,Hungary,UEFA,Liverpool FC,PremierLeague,731.2,miloskerkez_HUN
Ben White,DF,Right_Back,27,England,UEFA,Arsenal FC,PremierLeague,731.2,benwhite_ENG
Manuel Ugarte,MF,Defensive_Midfielder,24,Uruguay,CONMEBOL,Manchester United,PremierLeague,731.2,manuelugarte_URU
James Maddison,MF,Attacking_Midfielder,28,England,UEFA,Tottenham Hotspur,PremierLeague,682.5,jamesmaddison_ENG
Anthony Elanga,FW,Right_Winger,23,Sweden,UEFA,Newcastle United,PremierLeague,682.5,anthonyelanga_SWE
Sven Botman,DF,Centre_Back,25,Netherlands,UEFA,Newcastle United,PremierLeague,682.5,svenbotman_NET
Ilya Zabarnyi,DF,Centre_Back,22,Ukraine,UEFA,AFC Bournemouth,PremierLeague,682.5,ilyazabarnyi_UKR
Rodrigo Mora,MF,Attacking_Midfielder,18,Portugal,UEFA,FC Porto,Liga_Portugal,650.0,rodrigomora_POR
Manu Kone,MF,Central_Midfielder,24,France,UEFA,AS Roma,Serie_A,650.0,manukone_FRA
Kaoru Mitoma,FW,Left_Winger,28,Japan,AFC,Brighton & Hove Albion,PremierLeague,650.0,kaorumitoma_JAP
Lisandro Martinez,DF,Centre_Back,27,Argentina,CONMEBOL,Manchester United,PremierLeague,650.0,lisandromartinez_ARG
Exequiel Palacios,MF,Central_Midfielder,26,Argentina,CONMEBOL,Bayer 04 Leverkusen,Bundesliga,650.0,exequielpalacios_ARG
Brennan Johnson,FW,Right_Winger,24,Wales,UEFA,Tottenham Hotspur,PremierLeague,650.0,brennanjohnson_WAL
Joao Gomes,MF,Central_Midfielder,24,Brazil,CONMEBOL,Wolverhampton Wanderers,PremierLeague,650.0,joaogomes_BRA
Nico Gonzalez,MF,Central_Midfielder,23,Spain,UEFA,Manchester City,PremierLeague,650.0,nicogonzalez_SPA
Boubacar Kamara,MF,Defensive_Midfielder,25,France,UEFA,Aston Villa,PremierLeague,650.0,boubacarkamara_FRA
Gianluigi Donnarumma,GK,Goalkeeper,26,Italy,UEFA,Paris Saint-Germain,Ligue1,650.0,gianluigidonnarumma_ITA
Nico Schlotterbeck,DF,Centre_Back,25,Germany,UEFA,Borussia Dortmund,Bundesliga,650.0,nicoschlotterbeck_GER
Fabian Ruiz,MF,Central_Midfielder,29,Spain,UEFA,Paris Saint-Germain,Ligue1,650.0,fabianruiz_SPA
Hugo Larsson,MF,Central_Midfielder,21,Sweden,UEFA,Eintracht Frankfurt,Bundesliga,650.0,hugolarsson_SWE
Destiny Udogie,DF,Left_Back,22,Italy,UEFA,Tottenham Hotspur,PremierLeague,650.0,destinyudogie_ITA
Liam Delap,FW,Striker,22,England,UEFA,Chelsea FC,PremierLeague,650.0,liamdelap_ENG
Goncalo Ramos,FW,Striker,24,Portugal,UEFA,Paris Saint-Germain,Ligue1,650.0,goncaloramos_POR
Raul Asencio,DF,Centre_Back,22,Spain,UEFA,Real Madrid,LaLiga,650.0,raulasencio_SPA
Kim Min Jae,DF,Centre_Back,28,"Korea, South",AFC,Bayern Munich,Bundesliga,650.0,kimminjae_KOR
Castello Lukeba,DF,Centre_Back,22,France,UEFA,RB Leipzig,Bundesliga,650.0,castellolukeba_FRA
Rico Lewis,DF,Right_Back,20,England,UEFA,Manchester City,PremierLeague,650.0,ricolewis_ENG
Romeo Lavia,MF,Defensive_Midfielder,21,Belgium,UEFA,Chelsea FC,PremierLeague,650.0,romeolavia_BEL
Noni Madueke,FW,Right_Winger,23,England,UEFA,Arsenal FC,PremierLeague,650.0,nonimadueke_ENG
Tino Livramento,DF,Right_Back,22,England,UEFA,Newcastle United,PremierLeague,650.0,tinolivramento_ENG
Conor Gallagher,MF,Central_Midfielder,25,England,UEFA,Atlético de Madrid,LaLiga,650.0,conorgallagher_ENG
Khephren Thuram,MF,Central_Midfielder,24,France,UEFA,Juventus FC,Serie_A,650.0,khephrenthuram_FRA
Gregor Kobel,GK,Goalkeeper,27,Switzerland,UEFA,Borussia Dortmund,Bundesliga,650.0,gregorkobel_SWI
Dani Vivian,DF,Centre_Back,26,Spain,UEFA,Athletic Bilbao,LaLiga,650.0,danivivian_SPA
Mason Greenwood,FW,Right_Winger,23,England,UEFA,Olympique Marseille,Ligue1,650.0,masongreenwood_ENG
Victor Boniface,FW,Striker,24,Nigeria,CAF,Bayer 04 Leverkusen,Bundesliga,650.0,victorboniface_NIG
Brahim Diaz,FW,Right_Winger,25,Morocco,CAF,Real Madrid,LaLiga,650.0,brahimdiaz_MOR
Ollie Watkins,FW,Striker,29,England,UEFA,Aston Villa,PremierLeague,650.0,olliewatkins_ENG
Antoine Semenyo,FW,Left_Winger,25,Ghana,CAF,AFC Bournemouth,PremierLeague,650.0,antoinesemenyo_GHA
Robin Le Normand,DF,Centre_Back,28,Spain,UEFA,Atlético de Madrid,LaLiga,650.0,robinlenormand_SPA
Jarrod Bowen,FW,Right_Winger,28,England,UEFA,West Ham United,PremierLeague,650.0,jarrodbowen_ENG
Dominic Solanke,FW,Striker,27,England,UEFA,Tottenham Hotspur,PremierLeague,650.0,dominicsolanke_ENG
Diogo Costa,GK,Goalkeeper,25,Portugal,UEFA,FC Porto,Liga_Portugal,650.0,diogocosta_POR
Ferran Torres,FW,Striker,25,Spain,UEFA,FC Barcelona,LaLiga,650.0,ferrantorres_SPA
David Raya,GK,Goalkeeper,29,Spain,UEFA,Arsenal FC,PremierLeague,650.0,davidraya_SPA
Carlos Baleba,MF,Defensive_Midfielder,21,Cameroon,CAF,Brighton & Hove Albion,PremierLeague,650.0,carlosbaleba_CAM
Matthijs de Ligt,DF,Centre_Back,25,Netherlands,UEFA,Manchester United,PremierLeague,617.5,matthijsdeligt_NET
Lucas Bergvall,MF,Central_Midfielder,19,Sweden,UEFA,Tottenham Hotspur,PremierLeague,617.5,lucasbergvall_SWE
Archie Gray,MF,Defensive_Midfielder,19,England,UEFA,Tottenham Hotspur,PremierLeague,617.5,archiegray_ENG
Pedro Porro,DF,Right_Back,25,Spain,UEFA,Tottenham Hotspur,PremierLeague,617.5,pedroporro_SPA
Bernardo Silva,MF,Attacking_Midfielder,30,Portugal,UEFA,Manchester City,PremierLeague,617.5,bernardosilva_POR
Youri Tielemans,MF,Central_Midfielder,28,Belgium,UEFA,Aston Villa,PremierLeague,617.5,youritielemans_BEL
Evanilson,FW,Striker,25,Brazil,CONMEBOL,AFC Bournemouth,PremierLeague,568.8,evanilson_BRA
Santiago Castro,FW,Striker,20,Argentina,CONMEBOL,Bologna FC 1909,Serie_A,568.8,santiagocastro_ARG
Marc Cucurella,DF,Left_Back,27,Spain,UEFA,Chelsea FC,PremierLeague,568.8,marccucurella_SPA
Davide Frattesi,MF,Central_Midfielder,25,Italy,UEFA,Inter Milan,Serie_A,568.8,davidefrattesi_ITA
Christopher Nkunku,FW,Striker,27,France,UEFA,Chelsea FC,PremierLeague,568.8,christophernkunku_FRA
Justin Kluivert,MF,Attacking_Midfielder,26,Netherlands,UEFA,AFC Bournemouth,PremierLeague,568.8,justinkluivert_NET
Theo Hernandez,DF,Left_Back,27,France,UEFA,Al-Hilal SFC,Saudi_ProLeague,568.8,theohernandez_FRA
Dusan Vlahovic,FW,Striker,25,Serbia,UEFA,Juventus FC,Serie_A,568.8,dusanvlahovic_SER
Teun Koopmeiners,MF,Attacking_Midfielder,27,Netherlands,UEFA,Juventus FC,Serie_A,568.8,teunkoopmeiners_NET
Dan Ndoye,FW,Right_Winger,24,Switzerland,UEFA,Bologna FC 1909,Serie_A,568.8,danndoye_SWI
Mikel Merino,MF,Central_Midfielder,29,Spain,UEFA,Arsenal FC,PremierLeague,568.8,mikelmerino_SPA
Joelinton,MF,Central_Midfielder,28,Brazil,CONMEBOL,Newcastle United,PremierLeague,568.8,joelinton_BRA
Francisco Trincao,FW,Right_Winger,25,Portugal,UEFA,Sporting CP,Liga_Portugal,568.8,franciscotrincao_POR
Jonathan Burkardt,FW,Striker,25,Germany,UEFA,Eintracht Frankfurt,Bundesliga,568.8,jonathanburkardt_GER
Endrick,FW,Striker,19,Brazil,CONMEBOL,Real Madrid,LaLiga,568.8,endrick_BRA
Nico Paz,MF,Attacking_Midfielder,20,Argentina,CONMEBOL,Como 1907,Serie_A,568.8,nicopaz_ARG
Antony,FW,Right_Winger,25,Brazil,CONMEBOL,Manchester United,PremierLeague,568.8,antony_BRA
Ronald Araujo,DF,Centre_Back,26,Uruguay,CONMEBOL,FC Barcelona,LaLiga,568.8,ronaldaraujo_URU
Marquinhos,DF,Centre_Back,31,Brazil,CONMEBOL,Paris Saint-Germain,Ligue1,568.8,marquinhos_BRA
Nikola Milenkovic,DF,Centre_Back,27,Serbia,UEFA,Nottingham Forest,PremierLeague,568.8,nikolamilenkovic_SER
Edmond Tapsoba,DF,Centre_Back,26,Burkina Faso,CAF,Bayer 04 Leverkusen,Bundesliga,568.8,edmondtapsoba_BUR
Charles De Ketelaere,MF,Attacking_Midfielder,24,Belgium,UEFA,Atalanta BC,Serie_A,568.8,charlesdeketelaere_BEL
Denzel Dumfries,DF,Right_Back,29,Netherlands,UEFA,Inter Milan,Serie_A,568.8,denzeldumfries_NET
Rayan Ait-Nouri,DF,Left_Back,24,Algeria,CAF,Manchester City,PremierLeague,568.8,rayanait-nouri_ALG
Ezri Konsa,DF,Centre_Back,27,England,UEFA,Aston Villa,PremierLeague,568.8,ezrikonsa_ENG
Jorrel Hato,DF,Left_Back,19,Netherlands,UEFA,Ajax Amsterdam,Eredivisie,568.8,jorrelhato_NET
Harvey Barnes,FW,Left_Winger,27,England,UEFA,Newcastle United,PremierLeague,568.8,harveybarnes_ENG
Vangelis Pavlidis,FW,Striker,26,Greece,UEFA,SL Benfica,Liga_Portugal,568.8,vangelispavlidis_GRE
Malo Gusto,DF,Right_Back,22,France,UEFA,Chelsea FC,PremierLeague,568.8,malogusto_FRA
Mathys Tel,FW,Striker,20,France,UEFA,Tottenham Hotspur,PremierLeague,568.8,mathystel_FRA
Abdukodir Khusanov,DF,Centre_Back,21,Uzbekistan,AFC,Manchester City,PremierLeague,568.8,abdukodirkhusanov_UZB
Andrea Cambiaso,DF,Left_Back,25,Italy,UEFA,Juventus FC,Serie_A,568.8,andreacambiaso_ITA
Riccardo Calafiori,DF,Left_Back,23,Italy,UEFA,Arsenal FC,PremierLeague,568.8,riccardocalafiori_ITA
Enzo Millot,MF,Attacking_Midfielder,23,France,UEFA,VfB Stuttgart,Bundesliga,568.8,enzomillot_FRA
Alvaro Carreras,DF,Left_Back,22,Spain,UEFA,Real Madrid,LaLiga,568.8,alvarocarreras_SPA
Yann Bisseck,DF,Centre_Back,24,Germany,UEFA,Inter Milan,Serie_A,568.8,yannbisseck_GER
