name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Gabriel,Brazil,Arsenal,CB,86,69,41,63,61,86,82
Granit Xhaka,Switzerland,Leverkusen,CDM,86,50,75,85,74,79,82
Rodrygo,Brazil,Real Madrid,RW,86,89,81,79,88,31,64
Joao Cancelo,Portugal,Al Hilal,LB,86,81,73,85,85,80,72
Rafael Leao,Portugal,Milano FC,LW,86,94,79,80,87,28,77
Grimaldo,Spain,Leverkusen,LM,86,74,73,88,85,76,71
Luka Modric,Croatia,Real Madrid,CM,86,72,76,88,87,71,64
Alexis Mac Allister,Argentina,Liverpool,CM,86,69,82,85,84,76,76
Carvajal,Spain,Real Madrid,RB,86,81,58,79,81,81,79
Ousmane Dembele,France,Paris SG,RW,86,92,75,82,88,41,57
Trent Alexander-Arnold,England,Liverpool,RB,86,75,72,90,80,80,74
Pedri,Spain,FC Barcelona,CM,86,77,69,82,88,70,74
Jonathan Tah,Germany,Leverkusen,CB,86,71,38,60,62,86,84
Karim Benzema,France,Al Ittihad,ST,86,77,85,81,84,38,77
Bremer,Brazil,Juventus,CB,86,82,50,58,66,86,85
Joshua Kimmich,Germany,FC Bayern München,RB,86,69,74,88,84,81,77
Unai Simon,Spain,Athletic Club,GK,86,85,81,78,86,49,85
Manuel Neuer,Germany,FC Bayern München,GK,86,83,81,90,83,49,88
Hakan Calhanoglu,Turkey,Lombardia FC,CDM,86,71,80,87,85,79,76
Khvicha Kvaratskhelia,Georgia,SSC Napoli,LW,85,86,79,80,86,41,71
David Alaba,Austria,Real Madrid,CB,85,79,71,83,80,85,77
Ronald Araujo,Uruguay,FC Barcelona,CB,85,82,53,64,62,85,84
Julian Brandt,Germany,Borussia Dortmund,MOC,85,71,79,85,86,50,70
Eder Militao,Brazil,Real Madrid,CB,85,85,50,69,71,85,82
Bruno Guimaraes,Brazil,Newcastle Utd,CDM,85,68,75,83,84,79,83
Alexander Isak,Sweden,Newcastle Utd,ST,85,85,84,73,86,39,74
N'Golo Kante,France,Al Ittihad,CDM,85,76,65,73,80,85,78
Jules Kounde,France,FC Barcelona,RB,85,84,45,70,75,86,80
Vitinha,Portugal,Paris SG,CM,85,72,77,84,87,73,68
James Maddison,England,Spurs,MOC,85,71,81,86,86,54,63
Riyad Mahrez,Algeria,Al Ahli,RM,85,79,81,81,88,39,62
Giorgi Mamardashvili,Georgia,Valencia CF,GK,85,86,83,72,85,48,85
Mikel Merino,Spain,Arsenal,CM,85,72,79,82,82,83,82
Sergej Milinkovic-Savic,Serbia,Al Hilal,CM,85,64,80,81,82,78,88
Lois Openda,Belgium,RB Leipzig,ST,85,93,84,69,81,31,79
Palhinha,Portugal,FC Bayern München,CDM,85,52,68,72,74,85,90
Cole Palmer,England,Chelsea,RM,85,75,82,83,86,50,66
Andrew Robertson,Scotland,Liverpool,LB,85,78,61,82,79,81,78
Leroy Sane,Germany,FC Bayern München,RM,85,90,83,80,86,37,70
Nico Schlotterbeck,Germany,Borussia Dortmund,CB,85,77,59,70,73,85,82
John Stones,England,Manchester City,CB,85,69,58,75,79,85,77
Aurelien Tchouameni,France,Real Madrid,CDM,85,73,69,79,78,82,82
Diogo Jota,Portugal,Liverpool,ST,85,82,82,75,84,57,79
Sandro Tonali,Italy,Newcastle Utd,CDM,85,84,74,81,81,82,82
Ollie Watkins,England,Aston Villa,ST,85,85,83,73,80,50,83
Nico Williams,Spain,Athletic Club,LM,85,93,75,78,86,36,65
Francesco Acerbi,Italy,Lombardia FC,CB,84,60,50,64,65,86,80
Manuel Akanji,Switzerland,Manchester City,CB,84,78,48,71,75,85,82
Nathan Ake,Netherlands,Manchester City,CB,84,76,53,72,75,84,77
Julian Alvarez,Argentina,Atlético de Madrid,ST,84,85,84,80,85,57,78
Iago Aspas,Spain,RC Celta,ST,84,81,86,79,86,35,65
Yassine Bounou,Morocco,Al Hilal,GK,84,81,82,77,86,38,83
Federico Chiesa,Italy,Liverpool,RW,84,93,83,76,86,52,75
Kingsley Coman,France,FC Bayern München,LM,84,89,75,79,87,30,62
Ruben Neves,Portugal,Al Hilal,CDM,84,57,75,86,77,77,77
Matthijs de Ligt,Netherlands,Man Utd,CB,84,62,61,63,67,85,83
Rodrigo De Paul,Argentina,Atlético de Madrid,CM,84,76,77,83,82,76,82
Raphinha,Brazil,FC Barcelona,RW,84,91,79,78,86,53,73
Luis Diaz,Colombia,Liverpool,LW,84,90,80,75,87,39,75
Federico Dimarco,Italy,Lombardia FC,LB,84,80,77,84,83,78,81
Artem Dovbyk,Ukraine,AS Roma,ST,84,84,85,69,79,34,81
Jeremie Frimpong,Netherlands,Leverkusen,RM,84,93,62,75,86,75,69
Aleix Garcia,Spain,Leverkusen,CM,84,67,77,85,84,76,68
Jack Grealish,England,Manchester City,LW,84,76,76,82,88,53,73
Serhou Guirassy,Guinea,Borussia Dortmund,ST,84,69,86,71,80,39,79
Viktor Gyokeres,Sweden,Sporting CP,ST,84,90,83,67,80,36,91
Achraf Hakimi,Morocco,Paris SG,RB,84,91,76,80,80,75,78
Lukas Hradecky,Finland,Leverkusen,GK,84,85,80,69,87,40,82
Kalidou Koulibaly,Senegal,Al Hilal,CB,84,76,48,64,67,85,84
Sadio Mane,Senegal,Al Nassr,LM,84,83,81,78,86,44,75
Lisandro Martinez,Argentina,Man Utd,CB,84,71,59,78,79,85,81
Diogo Costa,Portugal,FC Porto,GK,84,83,78,82,86,35,83
Ferland Mendy,France,Real Madrid,LB,84,89,64,76,76,81,85
Christopher Nkunku,France,Chelsea,MOC,84,81,81,81,86,60,67
Dani Olmo,Spain,FC Barcelona,MOC,84,73,77,82,87,50,57
Exequiel Palacios,Argentina,Leverkusen,CM,84,69,76,79,82,82,73
Benjamin Pavard,France,Lombardia FC,CB,84,75,67,75,75,86,81
Alex Remiro,Spain,Real Sociedad,GK,84,84,79,80,86,42,86
Cristian Romero,Argentina,Spurs,CB,84,68,46,59,66,85,81
Marcel Sabitzer,Austria,Borussia Dortmund,CM,84,76,84,81,82,75,79
Casemiro,Brazil,Man Utd,CDM,84,38,74,77,69,82,82
Guglielmo Vicario,Italy,Spurs,GK,84,84,80,79,87,52,84
Dusan Vlahovic,Serbia,Juventus,ST,84,78,84,69,79,29,83
Kyle Walker,England,Manchester City,RB,84,89,64,77,78,79,81
Benjamin White,England,Arsenal,RB,84,73,35,77,78,83,80
Marcos Acuna,Argentina,River Plate,LB,83,74,74,82,82,80,84
Robert Andrich,Germany,Leverkusen,CDM,83,54,77,76,73,83,83
Ismael Bennacer,Algeria,Milano FC,CDM,83,77,73,82,85,78,75
Domenico Berardi,Italy,Sassuolo,RW,83,79,81,78,85,36,70
Eduardo Camavinga,France,Real Madrid,CM,83,80,67,81,84,78,80
Yannick Carrasco,Belgium,Al Shabab,LW,83,88,81,80,85,59,67
Andreas Christensen,Denmark,FC Barcelona,CB,83,67,32,68,71,85,76
Stefan de Vrij,Netherlands,Lombardia FC,CB,83,62,41,65,69,85,75
Angel Di Maria,Argentina,SL Benfica,RM,83,76,80,85,88,48,66
Moussa Diaby,France,Al Ittihad,RM,83,95,75,74,86,43,53
Youssef En-Nesyri,Morocco,Fenerbahçe,ST,83,82,82,63,77,36,80
Rafa,Portugal,Beşiktaş,MOC,83,93,77,77,86,50,54
Cody Gakpo,Netherlands,Liverpool,ST,83,82,83,78,83,48,75
Jose Maria Gimenez,Uruguay,Atlético de Madrid,CB,83,71,46,58,61,85,82
Olivier Giroud,France,LAFC,ST,83,45,84,74,75,42,81
Leon Goretzka,Germany,FC Bayern München,CM,83,70,80,80,81,80,85
Josko Gvardiol,Croatia,Manchester City,LB,83,79,69,74,78,83,83
Kai Havertz,Germany,Arsenal,ST,83,77,81,80,82,49,72
Lucas Hernandez,France,Paris SG,CB,83,74,54,72,71,84,78
Mauro Icardi,Argentina,Galatasaray,ST,83,68,83,71,76,40,75
Kim Min Jae,"Korea, South",FC Bayern München,CB,83,76,33,57,63,85,83
Ibrahima Konate,France,Liverpool,CB,83,75,34,59,68,83,84
Teun Koopmeiners,Netherlands,Juventus,CM,83,66,78,83,78,75,78
Mateo Kovacic,Croatia,Manchester City,CM,83,69,67,82,87,71,70
Konrad Laimer,Austria,FC Bayern München,CDM,83,80,69,77,77,82,78
Aymeric Laporte,Spain,Al Nassr,CB,83,55,50,74,70,85,76
Robin Le Normand,Spain,Atlético de Madrid,CB,83,62,26,54,60,84,79
Marcos Llorente,Spain,Atlético de Madrid,RM,83,89,79,78,80,79,81
Manuel Locatelli,Italy,Juventus,CDM,83,64,70,80,78,79,80
Donyell Malen,Netherlands,Borussia Dortmund,RM,83,89,81,74,85,35,72
Gabriel Martinelli,Brazil,Arsenal,LW,83,89,78,75,85,46,72
Henrikh Mkhitaryan,Armenia,Lombardia FC,CM,83,78,79,82,84,72,77
Morata,Spain,Milano FC,ST,83,82,81,73,80,31,79
Gerard Moreno,Spain,Villarreal CF,ST,83,77,85,77,81,46,72
Andre Onana,Cameroon,Man Utd,GK,83,83,75,87,86,61,79
Willi Orban,Hungary,RB Leipzig,CB,83,58,36,56,56,85,78
Gavi,Spain,FC Barcelona,CM,83,76,66,78,85,68,70
Parejo,Spain,Villarreal CF,CM,83,52,80,88,78,74,69
Lorenzo Pellegrini,Italy,AS Roma,MOC,83,79,78,83,83,74,78
Pedro Goncalves,Portugal,Sporting CP,LW,83,78,82,84,84,63,68
Jordan Pickford,England,Everton,GK,83,83,78,88,87,53,80
Nick Pope,England,Newcastle Utd,GK,83,82,82,75,85,49,82
Pedro Porro,Spain,Spurs,RB,83,82,73,80,81,78,77
Ivan Provedel,Italy,Latium,GK,83,84,79,80,85,42,84
Christian Pulisic,United States,Milano FC,RW,83,88,82,78,86,37,63
David Raya,Spain,Arsenal,GK,83,82,81,86,82,57,81
Koke,Spain,Atlético de Madrid,CDM,83,69,72,84,79,77,78
Guido Rodriguez,Argentina,West Ham,CDM,83,51,58,72,70,85,80
Alessio Romagnoli,Italy,Latium,CB,83,64,40,56,69,85,79
Xavi Simons,Netherlands,RB Leipzig,MOC,83,81,77,80,86,61,71
Douglas Luiz,Brazil,Juventus,CM,83,66,78,85,80,75,76
Dusan Tadic,Serbia,Fenerbahçe,LM,83,64,79,85,81,43,78
Edmond Tapsoba,Burkina Faso,Leverkusen,CB,83,75,54,68,70,85,79
Nuno Mendes,Portugal,Paris SG,LB,83,89,58,76,82,78,76
Marcus Thuram,France,Lombardia FC,ST,83,87,81,77,82,50,84
Fikayo Tomori,England,Milano FC,CB,83,84,40,60,68,85,80
Lucas Torreira,Uruguay,Galatasaray,CDM,83,76,69,78,81,81,81
Kieran Trippier,England,Newcastle Utd,RB,83,67,65,85,78,81,72
Leandro Trossard,Belgium,Arsenal,LW,83,82,81,80,85,30,61
Viktor Tsygankov,Ukraine,Girona FC,RM,83,85,80,81,82,46,62
Mattia Zaccagni,Italy,Latium,LW,83,87,77,75,88,57,66
Duvan Zapata,Colombia,Torino,ST,83,73,82,64,78,35,88
Isco,Spain,Real Betis,MOC,82,66,74,82,83,59,59
Joelinton,Brazil,Newcastle Utd,CM,82,76,72,76,82,81,89
Pepe,Brazil,FC Porto,MOC,82,87,74,75,85,62,62
Pierre-Emerick Aubameyang,Gabon,Al Qadisiyah,ST,82,84,83,72,78,35,63
Leon Bailey,Jamaica,Aston Villa,RM,82,90,78,77,86,38,62
Oliver Baumann,Germany,TSG Hoffenheim,GK,82,81,80,78,83,39,79
Victor Boniface,Nigeria,Leverkusen,ST,82,73,83,66,80,38,82
Sven Botman,Netherlands,Newcastle Utd,CB,82,60,37,63,65,83,83
Jarrod Bowen,England,West Ham,RM,82,77,81,76,81,46,70
Marcelo Brozovic,Croatia,Al Nassr,CDM,82,66,74,79,80,80,80
Moises Caicedo,Ecuador,Chelsea,CDM,82,75,63,75,78,79,78
Emre Can,Germany,Borussia Dortmund,CDM,82,77,78,74,76,82,86
Marco Carnesecchi,Italy,Bergamo Calcio,GK,82,84,79,71,85,30,83
Koen Casteels,Belgium,Al Qadisiyah,GK,82,82,79,74,85,45,83
Lucas Paqueta,Brazil,West Ham,LM,82,72,77,79,85,69,79
Angel Correa,Argentina,Atlético de Madrid,ST,82,85,84,77,86,50,75
Marc Cucurella,Spain,Chelsea,LB,82,75,60,80,80,78,76
Danilo,Brazil,Juventus,CB,82,76,67,74,74,84,77
Otavio,Portugal,Al Nassr,MOC,82,78,71,81,85,67,74
Diogo Dalot,Portugal,Man Utd,RB,82,85,63,77,80,79,79
Sergi Darder,Spain,RCD Mallorca,CM,82,79,78,82,83,74,77
Alphonso Davies,Canada,FC Bayern München,LB,82,95,66,77,84,72,76
Giovanni Di Lorenzo,Italy,SSC Napoli,RB,82,83,67,73,76,79,80
Brahim,Morocco,Real Madrid,MOC,82,85,74,78,85,31,56
Denzel Dumfries,Netherlands,Lombardia FC,RB,82,83,66,73,74,78,88
Edin Dzeko,Bosnia-Herzegovina,Fenerbahçe,ST,82,57,82,73,76,45,76
Enzo Fernandez,Argentina,Chelsea,CM,82,69,73,82,80,73,77
Nacho Fernandez,Spain,Al Qadisiyah,CB,82,73,37,68,71,82,79
Gabriel Jesus,Brazil,Arsenal,ST,82,83,80,75,88,39,77
Jorginho,Italy,Arsenal,CDM,82,46,67,83,80,73,71
Pau Torres,Spain,Aston Villa,CB,82,70,41,77,70,83,79
Niclas Fullkrug,Germany,West Ham,ST,82,63,84,71,75,43,81
Gaya,Spain,Valencia CF,LB,82,81,61,77,79,78,74
Paulo Gazzaniga,Argentina,Girona FC,GK,82,82,80,83,81,57,82
Matthias Ginter,Germany,SC Freiburg,CB,82,54,59,71,66,85,75
Serge Gnabry,Germany,FC Bayern München,RM,82,80,83,78,84,43,66
Anthony Gordon,England,Newcastle Utd,LW,82,91,78,76,81,49,71
Raphael Guerreiro,Portugal,FC Bayern München,LB,82,63,78,85,88,76,56
Peter Gulacsi,Hungary,RB Leipzig,GK,82,82,82,75,81,43,83
Fabinho,Brazil,Al Ittihad,CDM,82,58,69,78,77,80,82
Yangel Herrera,Venezuela,Girona FC,CDM,82,64,77,76,78,80,81
Jonas Hofmann,Germany,Leverkusen,MOC,82,73,79,81,81,64,72
Ciro Immobile,Italy,Beşiktaş,ST,82,82,83,67,78,39,73
Reece James,England,Chelsea,RB,82,78,72,83,82,82,82
Boubacar Kamara,France,Aston Villa,CDM,82,66,54,74,75,83,80
Franck Yannick Kessie,Cote d'Ivoire,Al Ahli,CDM,82,79,77,74,79,80,88
Randal Kolo Muani,France,Paris SG,ST,82,90,80,71,81,38,67
Filip Kostic,Serbia,Fenerbahçe,LM,82,85,76,81,81,70,80
Mohammed Kudus,Ghana,West Ham,RM,82,90,77,73,86,60,75
Dejan Kulusevski,Sweden,Spurs,RM,82,75,77,80,83,57,80
Alexandre Lacazette,France,OL,ST,82,70,84,76,83,44,75
Jeremias Conan Ledesma,Argentina,River Plate,GK,82,82,79,75,83,46,81
Bernd Leno,Germany,Fulham,GK,82,83,79,76,84,53,82
Stanislav Lobotka,Slovakia,SSC Napoli,CM,82,72,69,80,81,75,75
Ademola Lookman,Nigeria,Bergamo Calcio,ST,82,84,81,71,86,31,66
Romelu Lukaku,Belgium,SSC Napoli,ST,82,79,82,73,74,38,82
Gianluca Mancini,Italy,AS Roma,CB,82,71,45,56,64,83,85
John McGinn,Scotland,Aston Villa,CM,82,68,77,80,82,78,85
Aleksandar Mitrovic,Serbia,Al Hilal,ST,82,64,82,62,73,28,88
Nahuel Molina,Argentina,Atlético de Madrid,RB,82,85,67,75,78,78,71
Savinho,Brazil,Manchester City,LW,82,88,72,77,84,30,53
Thomas Muller,Germany,FC Bayern München,MOC,82,57,82,83,79,55,68
Darwin Nunez,Uruguay,Liverpool,ST,82,90,80,72,78,46,86
Michael Olise,France,FC Bayern München,RM,82,80,77,82,84,53,56
Oyarzabal,Spain,Real Sociedad,ST,82,77,83,81,82,42,63
Thomas Partey,Ghana,Arsenal,CDM,82,62,71,80,77,79,82
Tijjani Reijnders,Netherlands,Milano FC,CM,82,80,76,80,84,73,74
Fabian Ruiz,Spain,Paris SG,CM,82,54,76,80,80,75,72
Brice Samba,France,RC Lens,GK,82,79,83,80,84,53,81
Sancet,Spain,Athletic Club,MOC,82,73,77,80,84,70,82
Jadon Sancho,England,Chelsea,LM,82,79,69,78,89,32,50
Fabian Schar,Switzerland,Newcastle Utd,CB,82,51,68,77,74,84,79
Patrik Schick,Czech Republic,Leverkusen,ST,82,74,81,71,81,37,76
Luke Shaw,England,Man Utd,LB,82,75,57,82,78,81,78
Malcom,Brazil,Al Hilal,MOC,82,84,79,79,84,43,72
Chris Smalling,England,Al Fayha,CB,82,54,47,58,61,85,79
Alexander Sorloth,Norway,Atlético de Madrid,ST,82,79,82,70,76,36,85
Anderson Talisca,Brazil,Al Nassr,RM,82,79,84,78,83,53,75
Luis Suarez,Uruguay,Inter Miami CF,ST,82,64,85,78,77,41,75
Niklas Sule,Germany,Borussia Dortmund,CB,82,70,51,67,64,83,79
Kevin Trapp,Germany,Frankfurt,GK,82,82,80,76,84,46,79
Destiny Udogie,Italy,Spurs,LB,82,88,65,74,80,78,80
Dayot Upamecano,France,FC Bayern München,CB,82,81,45,63,73,81,85
Micky van de Ven,Netherlands,Spurs,CB,82,88,47,64,71,83,81
Raphael Varane,France,Como,CB,82,73,49,64,69,83,77
Inaki Williams,Ghana,Athletic Club,RM,82,94,81,72,80,45,84
Luciano Acosta,Argentina,FC Cincinnati,MOC,81,79,73,76,85,46,56
Edson Alvarez,Mexico,West Ham,CDM,81,66,58,69,72,83,87
Yeray,Spain,Athletic Club,CB,81,64,49,70,65,83,76
Waldemar Anton,Germany,Borussia Dortmund,CB,81,69,46,65,67,81,83
Alphonse Areola,France,West Ham,GK,81,82,77,74,83,55,80
Marco Asensio,Spain,Paris SG,RW,81,76,79,81,83,43,63
Balde,Spain,FC Barcelona,LB,81,91,48,73,78,75,64
Rodrigo Bentancur,Uruguay,Spurs,CM,81,67,68,80,82,79,76
Alex Berenguer,Spain,Athletic Club,LM,81,85,75,75,83,64,68
Sergio Busquets,Spain,Inter Miami CF,CDM,81,37,61,77,78,78,73
Bryan Cristante,Italy,AS Roma,CM,81,55,74,78,75,78,84
Ricardo Horta,Portugal,SC Braga,MOC,81,80,80,80,81,43,70
Rui Silva,Portugal,Real Betis,GK,81,82,76,77,84,31,81
Matteo Darmian,Italy,Lombardia FC,RB,81,72,62,75,76,80,75
Jonathan David,Canada,LOSC Lille,ST,81,82,81,71,78,34,75
Richarlison,Brazil,Spurs,ST,81,77,80,73,80,53,78
Luuk de Jong,Netherlands,PSV,ST,81,44,80,73,73,57,80
Fred,Brazil,Fenerbahçe,CDM,81,75,71,79,82,75,78
Eberechi Eze,England,Crystal Palace,MOC,81,78,81,78,84,49,69
Youssouf Fofana,France,Milano FC,CDM,81,69,68,74,77,78,80
Davide Frattesi,Italy,Lombardia FC,CM,81,80,74,78,81,71,71
Remo Freuler,Switzerland,Bologna,CDM,81,60,72,76,77,77,74
Conor Gallagher,England,Atlético de Madrid,CM,81,73,75,78,78,77,81
Alexandr Golovin,Russia,AS Monaco,LM,81,77,77,80,83,61,68
Pascal Gross,Germany,Borussia Dortmund,CDM,81,50,77,85,80,73,74
Marc Guehi,England,Crystal Palace,CB,81,72,39,65,72,82,77
David Hancko,Slovakia,Feyenoord,CB,81,78,66,72,74,81,80
Benjamin Henrichs,Germany,RB Leipzig,RB,81,74,54,76,78,79,74
Piero Hincapie,Ecuador,Leverkusen,CB,81,78,40,64,72,81,80
Ferdi Kadioglu,Turkey,Brighton,LB,81,88,65,75,85,75,76
Daichi Kamada,Japan,Crystal Palace,MOC,81,79,73,80,83,54,63
Presnel Kimpembe,France,Paris SG,CB,81,74,43,67,69,81,82
Orkun Kokcu,Turkey,SL Benfica,CM,81,72,76,83,80,68,79
Ezri Konsa,England,Aston Villa,CB,81,76,48,71,76,83,78
Odilon Kossounou,Cote d'Ivoire,Bergamo Calcio,CB,81,80,32,64,67,82,80
Andrej Kramaric,Croatia,TSG Hoffenheim,ST,81,71,83,79,84,33,73
Takefusa Kubo,Japan,Real Sociedad,RW,81,84,76,76,83,40,60
Ruben Loftus-Cheek,England,Milano FC,CM,81,81,76,79,82,77,83
Andriy Lunin,Ukraine,Real Madrid,GK,81,80,78,77,82,37,80
Inigo Martinez,Spain,FC Barcelona,CB,81,71,56,67,61,81,80
Noussair Mazraoui,Morocco,Man Utd,RB,81,78,66,77,83,77,71
Brais Mendez,Spain,Real Sociedad,CM,81,71,80,82,81,65,73
Alex Meret,Italy,SSC Napoli,GK,81,80,78,72,84,44,83
Arkadiusz Milik,Poland,Juventus,ST,81,56,82,72,77,40,72
Kaoru Mitoma,Japan,Brighton,LM,81,84,73,75,85,57,65
Fernando Muslera,Uruguay,Galatasaray,GK,81,81,81,71,80,35,82
Riccardo Orsolini,Italy,Bologna,RM,81,79,80,78,83,49,67
Stefan Ortega,Germany,Manchester City,GK,81,79,77,86,84,52,81
Nicolas Otamendi,Argentina,SL Benfica,CB,81,60,57,64,59,83,83
Isi Palazon,Spain,Rayo Vallecano,RM,81,84,78,79,81,39,64
Aaron Ramsdale,England,Southampton,GK,81,81,79,85,83,48,78
Marcus Rashford,England,Man Utd,LM,81,89,83,76,82,33,64
David Raum,Germany,RB Leipzig,LB,81,85,61,81,78,73,78
Stefan Savic,Montenegro,Trabzonspor,CB,81,63,35,57,57,83,79
Xaver Schlager,Austria,RB Leipzig,CDM,81,72,70,74,78,75,79
Jerdy Schouten,Netherlands,PSV,CDM,81,65,59,72,76,80,72
Ellyes Skhiri,Tunisia,Frankfurt,CDM,81,60,73,74,75,80,76
Milan Skriniar,Slovakia,Paris SG,CB,81,57,45,60,65,83,80
Dominic Solanke,England,Spurs,ST,81,75,81,66,78,29,83
David Soria,Spain,Getafe CF,GK,81,81,79,73,82,43,80
Raheem Sterling,England,Arsenal,LM,81,85,78,75,85,42,65
Dominik Szoboszlai,Hungary,Liverpool,MOC,81,82,80,84,80,59,70
Youri Tielemans,Belgium,Aston Villa,CM,81,44,79,83,79,69,70
Manuel Ugarte,Uruguay,Man Utd,CDM,81,69,65,73,77,78,80
Deniz Undav,Germany,VfB Stuttgart,ST,81,67,82,75,80,33,78
Alvaro Valles,Spain,UD Las Palmas,GK,81,80,79,79,83,41,81
Lucas Vazquez,Spain,Real Madrid,RB,81,81,74,80,81,74,69
Joey Veerman,Netherlands,PSV,CM,81,55,72,85,77,66,72
Vivian,Spain,Athletic Club,CB,81,79,48,57,69,82,81
Callum Wilson,England,Newcastle Utd,ST,81,78,82,67,79,42,75
Lamine Yamal,Spain,FC Barcelona,RW,81,82,75,76,82,23,48
Wilfried Zaha,Cote d'Ivoire,OL,LM,81,86,78,73,85,37,75
Piotr Zielinski,Poland,Lombardia FC,CM,81,78,76,80,83,71,62
Zubimendi,Spain,Real Sociedad,CDM,81,64,67,75,77,78,71
Salem Al Dawsari,Saudi Arabia,Al Hilal,LM,80,85,75,72,84,52,80
Ali Al Musrati,Libya,Beşiktaş,CDM,80,62,66,71,71,78,84
Jordi Alba,Spain,Inter Miami CF,LB,80,82,70,80,81,72,69
Toby Alderweireld,Belgium,Royal Antwerp FC,CB,80,50,61,74,66,81,82
Joachim Andersen,Denmark,Fulham,CB,80,52,57,72,66,79,84
Benjamin Andre,France,LOSC Lille,CDM,80,61,64,73,75,78,83
Marko Arnautovic,Austria,Lombardia FC,ST,80,70,79,78,79,44,78
Maximilian Arnold,Germany,VfL Wolfsburg,CDM,80,63,79,79,77,76,76
Fredrik Aursnes,Norway,SL Benfica,RB,80,76,66,77,80,76,81
Simon Banza,Congo,Trabzonspor,ST,80,75,80,56,76,36,77
Roberto Firmino,Brazil,Al Ahli,MOC,80,67,75,79,85,58,76
Bradley Barcola,France,Paris SG,LW,80,88,74,75,81,34,64
Harvey Barnes,England,Newcastle Utd,LW,80,85,78,75,81,43,68
Christoph Baumgartner,Austria,RB Leipzig,MOC,80,77,74,74,82,47,60
Walter Benitez,Argentina,PSV,GK,80,79,78,72,82,37,79
Goncalo Inacio,Portugal,Sporting CP,CB,80,80,37,64,71,81,79
Yves Bissouma,Mali,Spurs,CDM,80,71,67,75,81,78,77
Daley Blind,Netherlands,Girona FC,CB,80,36,62,83,77,83,70
