Identifier,name,nation,club,field,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
alessiocastro-montes_BEL,Alessio Castro-Montes,Belgium,R. Union St.-G.,MF,Side_Midfielder,75,75,69,73,73,72,71
alexandarpopovic_AUS,Alexandar Popovic,Australia,GwangJu FC,DF,Centre_Back,63,67,32,48,53,60,75
alexanderbah_DEN,Alexander Bah,Denmark,SL Benfica,DF,Right_Back,79,91,65,72,75,74,81
alexanderbriedl_AUS,Alexander Briedl,Austria,Blau-Weiss Linz,MF,Defensive_Midfielder,59,57,32,54,51,57,57
alexanderbusch_DEN,Alexander Busch,Denmark,Silkeborg IF,DF,Centre_Back,68,54,29,45,53,69,67
alexanderdjiku_GHA,Alexander Djiku,Ghana,Fenerbahçe,DF,Centre_Back,79,75,43,67,69,79,81
alexanderisak_SWE,Alexander Isak,Sweden,Newcastle Utd,FW,Striker,85,85,84,73,86,39,74
alexanderjensen_DEN,Alexander Jensen,Denmark,Brommapojkarna,DF,Right_Back,65,76,58,61,63,60,66
alexandermeyer_GER,Alexander Meyer,Germany,Borussia Dortmund,GK,Goalkeeper,75,72,71,77,76,41,74
alexandernubel_GER,Alexander Nubel,Germany,VfB Stuttgart,GK,Goalkeeper,80,81,76,81,82,48,78
alexanderring_FIN,Alexander Ring,Finland,Austin FC,MF,Defensive_Midfielder,71,67,66,67,69,68,74
alexanderschlager_AUS,Alexander Schlager,Austria,RB Salzburg,GK,Goalkeeper,74,73,72,66,76,46,73
alexandersorloth_NOR,Alexander Sorloth,Norway,Atlético de Madrid,FW,Striker,82,79,82,70,76,36,85
alexandrelacazette_FRA,Alexandre Lacazette,France,OL,FW,Striker,82,70,84,76,83,44,75
alexandrepenetra_POR,Alexandre Penetra,Portugal,AZ,DF,Centre_Back,72,67,36,53,51,74,72
alexandrospaschalakis_GRE,Alexandros Paschalakis,Greece,Olympiacos FC,GK,Goalkeeper,75,76,72,58,77,51,75
alexandrumaxim_ROM,Alexandru Maxim,Romania,Gaziantep,MF,Attacking_Midfielder,75,69,74,77,78,34,60
alexandrutudorie_ROM,Alexandru Tudorie,Romania,FC Petrolul,FW,Striker,62,59,61,44,52,32,69
alexarce_PAR,Alex Arce,Paraguay,LDU Quito,FW,Striker,73,59,77,48,69,22,64
alexbonetig_AUS,Alex Bonetig,Australia,WS Wanderers,DF,Centre_Back,59,59,29,47,51,58,67
alexgersbach_AUS,Alex Gersbach,Australia,Kalmar FF,DF,Left_Back,64,82,35,55,61,57,73
alexgreive_NEW,Alex Greive,New Zealand,Bohemians,FW,Striker,61,78,60,49,60,18,58
alexisantunes_SWI,Alexis Antunes,Switzerland,Servette FC,MF,Central_Midfielder,69,70,63,66,74,51,65
alexismacallister_ARG,Alexis Mac Allister,Argentina,Liverpool,MF,Central_Midfielder,86,69,82,85,84,76,76
alexmeret_ITA,Alex Meret,Italy,SSC Napoli,GK,Goalkeeper,81,80,78,72,84,44,83
alexpadilla_MEX,Alex Padilla,Mexico,Athletic Club,GK,Goalkeeper,63,64,64,60,62,31,67
alexpalmer_ENG,Alex Palmer,England,West Brom,GK,Goalkeeper,72,73,72,71,72,30,71
alexpaulsen_NEW,Alex Paulsen,New Zealand,AFC Bournemouth,GK,Goalkeeper,70,68,65,70,73,49,64
alexremiro_SPA,Alex Remiro,Spain,Real Sociedad,GK,Goalkeeper,84,84,79,80,86,42,86
alexrobertson_AUS,Alex Robertson,Australia,Cardiff City,MF,Attacking_Midfielder,67,71,56,66,71,55,62
alexroldan_EL ,Alex Roldan,El Salvador,Sounders FC,DF,Right_Back,69,75,57,65,70,62,71
alexrufer_NEW,Alex Rufer,New Zealand,Well. Phoenix,MF,Defensive_Midfielder,68,64,58,66,66,63,78
alexsandro_BRA,Alexsandro,Brazil,LOSC Lille,DF,Centre_Back,76,62,31,51,53,77,78
alexscott_ENG,Alex Scott,England,AFC Bournemouth,MF,Central_Midfielder,74,73,62,73,79,65,68
alexvalle_SPA,Alex Valle,Spain,Celtic,DF,Left_Back,68,72,46,64,68,62,67
alfiedevine_ENG,Alfie Devine,England,KVC Westerlo,MF,Attacking_Midfielder,65,66,59,63,65,52,57
alfiegilchrist_ENG,Alfie Gilchrist,England,Sheffield Utd,DF,Centre_Back,65,60,37,53,53,65,65
alhassanyusuf_NIG,Alhassan Yusuf,Nigeria,New England,MF,Defensive_Midfielder,72,76,59,67,73,67,76
aliabdi_TUN,Ali Abdi,Tunisia,OGC Nice,DF,Left_Back,71,89,60,66,71,62,76
aliahmed_CAN,Ali Ahmed,Canada,Whitecaps FC,MF,Central_Midfielder,64,75,55,60,66,61,63
aliduseidu_GHA,Alidu Seidu,Ghana,Stade Rennais FC,DF,Centre_Back,74,58,43,61,70,75,67
alilajami_SAU,Ali Lajami,Saudi Arabia,Al Nassr,DF,Centre_Back,69,76,48,58,60,67,76
alimajrashi_SAU,Ali Majrashi,Saudi Arabia,Al Ahli,DF,Right_Back,65,81,44,52,62,58,73
alistairjohnston_CAN,Alistair Johnston,Canada,Celtic,DF,Right_Back,75,79,57,71,70,71,80
aljoschakemlein_GER,Aljoscha Kemlein,Germany,Union Berlin,MF,Central_Midfielder,68,60,59,65,67,64,66
aloukuol_AUS,Alou Kuol,Australia,Central Coast,FW,Striker,61,77,58,45,56,31,71
alphonseareola_FRA,Alphonse Areola,France,West Ham,GK,Goalkeeper,81,82,77,74,83,55,80
alphonsodavies_CAN,Alphonso Davies,Canada,FC Bayern München,DF,Left_Back,82,95,66,77,84,72,76
altaybayindir_TUR,Altay Bayindir,Turkey,Man Utd,GK,Goalkeeper,76,78,73,72,79,30,76
alvarocarreras_SPA,Alvaro Carreras,Spain,SL Benfica,DF,Left_Back,72,80,56,73,75,64,70
alvaromontero_COL,Alvaro Montero,Colombia,Millonarios,GK,Goalkeeper,76,75,74,69,76,43,79
alvarotejero_SPA,Alvaro Tejero,Spain,RCD Espanyol,DF,Right_Back,73,82,64,69,71,65,69
alvarovalles_SPA,Alvaro Valles,Spain,UD Las Palmas,GK,Goalkeeper,81,80,79,79,83,41,81
alvynsanches_SWI,Alvyn Sanches,Switzerland,Lausanne-Sport,MF,Central_Midfielder,67,70,56,62,71,60,64
amadouhaidara_MAL,Amadou Haidara,Mali,RB Leipzig,MF,Central_Midfielder,80,66,72,79,81,72,69
amadoukone_COT,Amadou Kone,Cote d'Ivoire,Stade de Reims,MF,Defensive_Midfielder,65,61,53,60,61,61,66
amadouonana_BEL,Amadou Onana,Belgium,Aston Villa,MF,Defensive_Midfielder,78,72,59,71,72,76,79
amadycamara_MAL,Amady Camara,Mali,SK Sturm Graz,FW,Striker,62,74,62,55,62,22,60
amankwahforson_GHA,Amankwah Forson,Ghana,Norwich,MF,Side_Midfielder,69,86,55,65,73,54,50
amardedic_BOS,Amar Dedic,Bosnia-Herzegovina,RB Salzburg,DF,Right_Back,73,83,58,68,71,66,74
amari'ibell_JAM,Amari'i Bell,Jamaica,Luton Town,DF,Centre_Back,71,75,50,60,67,71,73
amineadli_MOR,Amine Adli,Morocco,Leverkusen,FW,Striker,78,83,76,69,82,42,74
aminebassi_MOR,Amine Bassi,Morocco,Houston Dynamo,MF,Attacking_Midfielder,69,69,69,69,69,48,63
amineelouazzani_MOR,Amine El Ouazzani,Morocco,SC Braga,FW,Striker,67,64,67,60,65,20,64
amineharit_MOR,Amine Harit,Morocco,OM,MF,Central_Midfielder,76,77,65,74,81,60,57
amirhadziahmetovic_BOS,Amir Hadziahmetovic,Bosnia-Herzegovina,Çaykur Rizespor,MF,Defensive_Midfielder,74,71,60,73,72,71,76
amirmurillo_PAN,Amir Murillo,Panama,OM,DF,Right_Back,74,82,57,68,71,69,73
amirrichardson_MOR,Amir Richardson,Morocco,Fiorentina,MF,Central_Midfielder,73,73,64,69,72,67,74
amirrrahmani_KOS,Amir Rrahmani,Kosovo,SSC Napoli,DF,Centre_Back,80,69,51,58,61,82,78
amirsayoud_ALG,Amir Sayoud,Algeria,Al Raed,MF,Side_Midfielder,74,74,71,73,77,32,65
anankhalaili_ISR,Anan Khalaili,Israel,R. Union St.-G.,FW,Right_Winger,64,76,62,56,67,25,59
anasssalah-eddine_NET,Anass Salah-Eddine,Netherlands,FC Twente,DF,Left_Back,67,74,35,65,69,62,66
anasszaroury_MOR,Anass Zaroury,Morocco,RC Lens,MF,Side_Midfielder,73,84,66,68,76,27,61
anastasiosbakasetas_GRE,Anastasios Bakasetas,Greece,Panathinaikos,MF,Attacking_Midfielder,77,68,80,76,77,59,76
anatoliytrubin_UKR,Anatoliy Trubin,Ukraine,SL Benfica,GK,Goalkeeper,78,72,76,77,82,45,84
anderherrera_SPA,Ander Herrera,Spain,Athletic Club,MF,Central_Midfielder,78,59,71,78,78,79,74
andersdreyer_DEN,Anders Dreyer,Denmark,RSC Anderlecht,FW,Right_Winger,77,78,78,74,77,42,65
andizeqiri_SWI,Andi Zeqiri,Switzerland,Standard Liège,FW,Striker,70,68,69,60,72,23,67
andreacambiaso_ITA,Andrea Cambiaso,Italy,Juventus,DF,Right_Back,77,78,61,76,77,72,66
andreacolpani_ITA,Andrea Colpani,Italy,Fiorentina,MF,Attacking_Midfielder,78,76,76,78,78,65,70
andreacompagno_ITA,Andrea Compagno,Italy,Tianjin JMT FC,FW,Striker,70,61,70,50,61,33,79
andreafulignati_ITA,Andrea Fulignati,Italy,Cremonese,GK,Goalkeeper,69,69,67,71,70,48,69
andrealmeida_POR,Andre Almeida,Portugal,Valencia CF,MF,Central_Midfielder,77,72,66,78,79,67,63
andreapinamonti_ITA,Andrea Pinamonti,Italy,Genoa,FW,Striker,73,70,75,53,71,27,71
andreaschristensen_DEN,Andreas Christensen,Denmark,FC Barcelona,DF,Centre_Back,83,67,32,68,71,85,76
andreashansen_DEN,Andreas Hansen,Denmark,FC Nordsjælland,GK,Goalkeeper,72,72,71,74,73,47,72
andreashountondji_BEN,Andreas Hountondji,Benin,Burnley,FW,Striker,69,75,67,58,72,21,58
andreasjungdal_DEN,Andreas Jungdal,Denmark,Cremonese,GK,Goalkeeper,64,67,61,57,67,23,63
andreaspereira_BRA,Andreas Pereira,Brazil,Fulham,MF,Attacking_Midfielder,78,74,77,80,78,66,69
andreasschjelderup_NOR,Andreas Schjelderup,Norway,SL Benfica,FW,Left_Winger,72,78,66,65,77,35,54
andreblake_JAM,Andre Blake,Jamaica,Philadelphia,GK,Goalkeeper,75,74,70,71,77,45,78
andregomes_POR,Andre Gomes,Portugal,SL Benfica,GK,Goalkeeper,65,66,62,61,67,41,64
andreigirotto_BRA,Andrei Girotto,Brazil,Al Taawoun,DF,Centre_Back,76,49,65,67,66,77,75
andreiivan_ROM,Andrei Ivan,Romania,Univ. Craiova,FW,Striker,68,83,69,63,67,33,72
andreiratiu_ROM,Andrei Ratiu,Romania,Rayo Vallecano,DF,Right_Back,73,88,56,65,67,69,66
andreluis_BRA,Andre Luis,Brazil,Shanghai Shenhua,FW,Striker,72,75,71,60,69,24,71
andreonana_CAM,Andre Onana,Cameroon,Man Utd,GK,Goalkeeper,83,83,75,87,86,61,79
andresandrade_PAN,Andres Andrade,Panama,LASK,DF,Centre_Back,71,74,51,61,65,71,79
andrescubas_PAR,Andres Cubas,Paraguay,Whitecaps FC,MF,Defensive_Midfielder,74,69,50,66,71,73,56
andresperea_UNI,Andres Perea,United States,New York City FC,MF,Defensive_Midfielder,65,72,50,59,64,63,68
andresvombergar_SLO,Andres Vombergar,Slovenia,San Lorenzo,FW,Striker,71,71,68,60,64,33,78
andrew_BRA,Andrew,Brazil,Gil Vicente,GK,Goalkeeper,75,76,73,74,77,45,72
andrewbrody_UNI,Andrew Brody,United States,Real Salt Lake,DF,Right_Back,69,73,40,57,66,64,71
andrewgutman_UNI,Andrew Gutman,United States,Chicago Fire FC,DF,Left_Back,67,79,48,56,64,64,70
andrewmoran_IRE,Andrew Moran,Ireland,Stoke City,MF,Attacking_Midfielder,67,75,58,66,71,39,57
andrewomobamidele_IRE,Andrew Omobamidele,Ireland,Nott'm Forest,DF,Centre_Back,71,71,27,52,56,71,75
andrewprivett_UNI,Andrew Privett,United States,Charlotte FC,DF,Centre_Back,65,63,32,53,56,65,67
andrewrobertson_SCO,Andrew Robertson,Scotland,Liverpool,DF,Left_Back,85,78,61,82,79,81,78
andreysantos_BRA,Andrey Santos,Brazil,Strasbourg,MF,Central_Midfielder,73,74,65,70,75,70,69
andriesnoppert_NET,Andries Noppert,Netherlands,sc Heerenveen,GK,Goalkeeper,73,74,71,67,73,35,72
andrijazivkovic_SER,Andrija Zivkovic,Serbia,PAOK FC,FW,Right_Winger,78,82,74,74,81,57,62
andriylunin_UKR,Andriy Lunin,Ukraine,Real Madrid,GK,Goalkeeper,81,80,78,77,82,37,80
andydiouf_FRA,Andy Diouf,France,RC Lens,MF,Central_Midfielder,74,75,68,71,75,67,75
anelahmedhodzic_BOS,Anel Ahmedhodzic,Bosnia-Herzegovina,Sheffield Utd,DF,Centre_Back,74,74,41,59,61,74,78
anferneedijksteel_SUR,Anfernee Dijksteel,Suriname,Middlesbrough,DF,Right_Back,69,73,34,55,65,69,73
angeahoussou_COT,Ange Ahoussou,Cote d'Ivoire,Pau FC,DF,Centre_Back,64,61,33,40,51,64,67
angelcorrea_ARG,Angel Correa,Argentina,Atlético de Madrid,FW,Striker,82,85,84,77,86,50,75
angelgomes_ENG,Angel Gomes,England,LOSC Lille,MF,Attacking_Midfielder,77,76,70,75,79,72,69
angelino_SPA,Angelino,Spain,AS Roma,DF,Left_Back,77,63,70,81,81,73,66
angelostiller_GER,Angelo Stiller,Germany,VfB Stuttgart,MF,Defensive_Midfielder,78,58,57,78,78,73,69
angusgunn_SCO,Angus Gunn,Scotland,Norwich,GK,Goalkeeper,74,75,71,72,76,48,71
angusthurgate_AUS,Angus Thurgate,Australia,Western United,MF,Defensive_Midfielder,66,66,56,63,67,59,68
anisslimane_TUN,Anis Slimane,Tunisia,Norwich,MF,Central_Midfielder,67,65,59,62,68,58,75
anosikeementa_DEN,Anosike Ementa,Denmark,Viborg FF,FW,Striker,66,64,62,52,62,26,77
anouaraitelhadj_BEL,Anouar Ait El Hadj,Belgium,R. Union St.-G.,MF,Attacking_Midfielder,70,71,63,69,75,44,60
antebudimir_CRO,Ante Budimir,Croatia,CA Osasuna,FW,Striker,78,59,79,52,74,35,77
antecrnac_CRO,Ante Crnac,Croatia,Norwich,FW,Striker,66,78,68,50,66,26,70
antepalaversa_CRO,Ante Palaversa,Croatia,Aberdeen,MF,Central_Midfielder,64,51,65,61,64,62,66
anthonycaci_FRA,Anthony Caci,France,1. FSV Mainz 05,DF,Left_Back,74,69,54,70,70,72,74
anthonygordon_ENG,Anthony Gordon,England,Newcastle Utd,FW,Left_Winger,82,91,78,76,81,49,71
anthonykalik_AUS,Anthony Kalik,Australia,Hajduk Split,MF,Attacking_Midfielder,66,72,61,65,66,56,73
anthonylopes_POR,Anthony Lopes,Portugal,OL,GK,Goalkeeper,79,80,76,69,83,65,76
anthonymandrea_ALG,Anthony Mandrea,Algeria,SM Caen,GK,Goalkeeper,70,71,64,63,74,44,71
anthonymoris_LUX,Anthony Moris,Luxembourg,R. Union St.-G.,GK,Goalkeeper,73,74,70,79,75,47,71
anthonynwakaeme_NIG,Anthony Nwakaeme,Nigeria,Trabzonspor,FW,Striker,76,74,76,73,78,39,79
anthonypatterson_ENG,Anthony Patterson,England,Sunderland,GK,Goalkeeper,72,71,69,72,75,24,68
anthonyracioppi_SWI,Anthony Racioppi,Switzerland,Hull City,GK,Goalkeeper,71,73,68,65,71,30,69
anthonyralston_SCO,Anthony Ralston,Scotland,Celtic,DF,Right_Back,71,76,59,69,69,64,78
anthonyrouault_FRA,Anthony Rouault,France,VfB Stuttgart,DF,Centre_Back,75,64,30,61,60,76,73
antogrgic_SWI,Anto Grgic,Switzerland,FC Lugano,MF,Defensive_Midfielder,70,61,68,75,67,64,74
antoinegriezmann_FRA,Antoine Griezmann,France,Atlético de Madrid,FW,Striker,88,80,88,87,89,59,75
antoinemakoumbou_CON,Antoine Makoumbou,Congo,Cagliari,MF,Defensive_Midfielder,73,72,59,67,76,68,78
antoneerobinson_UNI,Antonee Robinson,United States,Fulham,DF,Left_Back,79,88,46,71,77,74,77
antongaaei_DEN,Anton Gaaei,Denmark,Ajax,DF,Right_Back,67,83,48,57,65,58,67
antonikozubal_POL,Antoni Kozubal,Poland,Lech Poznań,MF,Central_Midfielder,63,68,54,57,63,53,73
antonimilambo_NET,Antoni Milambo,Netherlands,Feyenoord,MF,Attacking_Midfielder,66,68,58,64,70,44,55
antoninkinsky_CZE,Antonin Kinsky,Czech Republic,Slavia Praha,GK,Goalkeeper,72,73,72,74,74,25,72
antonioblanco_SPA,Antonio Blanco,Spain,D. Alavés,MF,Defensive_Midfielder,74,52,57,68,67,70,62
antonioportales_MEX,Antonio Portales,Mexico,Dundee FC,DF,Centre_Back,65,64,41,54,55,63,72
antonioraimondo_ITA,Antonio Raimondo,Italy,Venezia,FW,Striker,69,67,68,60,70,28,61
