Identifier,name,nation,club,field,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
nicowilliams_SPA,Nico Williams,Spain,Athletic Club,MF,Side_Midfielder,85,93,75,78,86,36,65
francescoacerbi_ITA,Francesco Acerbi,Italy,Lombardia FC,DF,Centre_Back,84,60,50,64,65,86,80
manuelakanji_SWI,Manuel Akanji,Switzerland,Manchester City,DF,Centre_Back,84,78,48,71,75,85,82
nathanake_NET,Nathan Ake,Netherlands,Manchester City,DF,Centre_Back,84,76,53,72,75,84,77
julianalvarez_ARG,Julian Alvarez,Argentina,Atlético de Madrid,FW,Striker,84,85,84,80,85,57,78
iagoaspas_SPA,Iago Aspas,Spain,RC Celta,FW,Striker,84,81,86,79,86,35,65
yassinebounou_MOR,Yassine Bounou,Morocco,Al Hilal,GK,Goalkeeper,84,81,82,77,86,38,83
federicochiesa_ITA,Federico Chiesa,Italy,Liverpool,FW,Right_Winger,84,93,83,76,86,52,75
kingsleycoman_FRA,Kingsley Coman,France,FC Bayern München,MF,Side_Midfielder,84,89,75,79,87,30,62
rubenneves_POR,Ruben Neves,Portugal,Al Hilal,MF,Defensive_Midfielder,84,57,75,86,77,77,77
matthijsdeligt_NET,Matthijs de Ligt,Netherlands,Man Utd,DF,Centre_Back,84,62,61,63,67,85,83
rodrigodepaul_ARG,Rodrigo De Paul,Argentina,Atlético de Madrid,MF,Central_Midfielder,84,76,77,83,82,76,82
raphinha_BRA,Raphinha,Brazil,FC Barcelona,FW,Right_Winger,84,91,79,78,86,53,73
luisdiaz_COL,Luis Diaz,Colombia,Liverpool,FW,Left_Winger,84,90,80,75,87,39,75
federicodimarco_ITA,Federico Dimarco,Italy,Lombardia FC,DF,Left_Back,84,80,77,84,83,78,81
artemdovbyk_UKR,Artem Dovbyk,Ukraine,AS Roma,FW,Striker,84,84,85,69,79,34,81
jeremiefrimpong_NET,Jeremie Frimpong,Netherlands,Leverkusen,MF,Side_Midfielder,84,93,62,75,86,75,69
aleixgarcia_SPA,Aleix Garcia,Spain,Leverkusen,MF,Central_Midfielder,84,67,77,85,84,76,68
jackgrealish_ENG,Jack Grealish,England,Manchester City,FW,Left_Winger,84,76,76,82,88,53,73
serhouguirassy_GUI,Serhou Guirassy,Guinea,Borussia Dortmund,FW,Striker,84,69,86,71,80,39,79
viktorgyokeres_SWE,Viktor Gyokeres,Sweden,Sporting CP,FW,Striker,84,90,83,67,80,36,91
achrafhakimi_MOR,Achraf Hakimi,Morocco,Paris SG,DF,Right_Back,84,91,76,80,80,75,78
lukashradecky_FIN,Lukas Hradecky,Finland,Leverkusen,GK,Goalkeeper,84,85,80,69,87,40,82
kalidoukoulibaly_SEN,Kalidou Koulibaly,Senegal,Al Hilal,DF,Centre_Back,84,76,48,64,67,85,84
sadiomane_SEN,Sadio Mane,Senegal,Al Nassr,MF,Side_Midfielder,84,83,81,78,86,44,75
lisandromartinez_ARG,Lisandro Martinez,Argentina,Man Utd,DF,Centre_Back,84,71,59,78,79,85,81
diogocosta_POR,Diogo Costa,Portugal,FC Porto,GK,Goalkeeper,84,83,78,82,86,35,83
ferlandmendy_FRA,Ferland Mendy,France,Real Madrid,DF,Left_Back,84,89,64,76,76,81,85
christophernkunku_FRA,Christopher Nkunku,France,Chelsea,MF,Attacking_Midfielder,84,81,81,81,86,60,67
daniolmo_SPA,Dani Olmo,Spain,FC Barcelona,MF,Attacking_Midfielder,84,73,77,82,87,50,57
exequielpalacios_ARG,Exequiel Palacios,Argentina,Leverkusen,MF,Central_Midfielder,84,69,76,79,82,82,73
benjaminpavard_FRA,Benjamin Pavard,France,Lombardia FC,DF,Centre_Back,84,75,67,75,75,86,81
alexremiro_SPA,Alex Remiro,Spain,Real Sociedad,GK,Goalkeeper,84,84,79,80,86,42,86
cristianromero_ARG,Cristian Romero,Argentina,Spurs,DF,Centre_Back,84,68,46,59,66,85,81
marcelsabitzer_AUS,Marcel Sabitzer,Austria,Borussia Dortmund,MF,Central_Midfielder,84,76,84,81,82,75,79
casemiro_BRA,Casemiro,Brazil,Man Utd,MF,Defensive_Midfielder,84,38,74,77,69,82,82
guglielmovicario_ITA,Guglielmo Vicario,Italy,Spurs,GK,Goalkeeper,84,84,80,79,87,52,84
dusanvlahovic_SER,Dusan Vlahovic,Serbia,Juventus,FW,Striker,84,78,84,69,79,29,83
kylewalker_ENG,Kyle Walker,England,Manchester City,DF,Right_Back,84,89,64,77,78,79,81
benjaminwhite_ENG,Benjamin White,England,Arsenal,DF,Right_Back,84,73,35,77,78,83,80
marcosacuna_ARG,Marcos Acuna,Argentina,River Plate,DF,Left_Back,83,74,74,82,82,80,84
robertandrich_GER,Robert Andrich,Germany,Leverkusen,MF,Defensive_Midfielder,83,54,77,76,73,83,83
ismaelbennacer_ALG,Ismael Bennacer,Algeria,Milano FC,MF,Defensive_Midfielder,83,77,73,82,85,78,75
domenicoberardi_ITA,Domenico Berardi,Italy,Sassuolo,FW,Right_Winger,83,79,81,78,85,36,70
eduardocamavinga_FRA,Eduardo Camavinga,France,Real Madrid,MF,Central_Midfielder,83,80,67,81,84,78,80
yannickcarrasco_BEL,Yannick Carrasco,Belgium,Al Shabab,FW,Left_Winger,83,88,81,80,85,59,67
andreaschristensen_DEN,Andreas Christensen,Denmark,FC Barcelona,DF,Centre_Back,83,67,32,68,71,85,76
stefandevrij_NET,Stefan de Vrij,Netherlands,Lombardia FC,DF,Centre_Back,83,62,41,65,69,85,75
angeldimaria_ARG,Angel Di Maria,Argentina,SL Benfica,MF,Side_Midfielder,83,76,80,85,88,48,66
moussadiaby_FRA,Moussa Diaby,France,Al Ittihad,MF,Side_Midfielder,83,95,75,74,86,43,53
youssefen-nesyri_MOR,Youssef En-Nesyri,Morocco,Fenerbahçe,FW,Striker,83,82,82,63,77,36,80
rafa_POR,Rafa,Portugal,Beşiktaş,MF,Attacking_Midfielder,83,93,77,77,86,50,54
codygakpo_NET,Cody Gakpo,Netherlands,Liverpool,FW,Striker,83,82,83,78,83,48,75
josemariagimenez_URU,Jose Maria Gimenez,Uruguay,Atlético de Madrid,DF,Centre_Back,83,71,46,58,61,85,82
oliviergiroud_FRA,Olivier Giroud,France,LAFC,FW,Striker,83,45,84,74,75,42,81
leongoretzka_GER,Leon Goretzka,Germany,FC Bayern München,MF,Central_Midfielder,83,70,80,80,81,80,85
joskogvardiol_CRO,Josko Gvardiol,Croatia,Manchester City,DF,Left_Back,83,79,69,74,78,83,83
kaihavertz_GER,Kai Havertz,Germany,Arsenal,FW,Striker,83,77,81,80,82,49,72
lucashernandez_FRA,Lucas Hernandez,France,Paris SG,DF,Centre_Back,83,74,54,72,71,84,78
mauroicardi_ARG,Mauro Icardi,Argentina,Galatasaray,FW,Striker,83,68,83,71,76,40,75
kimminjae_KOR,Kim Min Jae,"Korea, South",FC Bayern München,DF,Centre_Back,83,76,33,57,63,85,83
ibrahimakonate_FRA,Ibrahima Konate,France,Liverpool,DF,Centre_Back,83,75,34,59,68,83,84
teunkoopmeiners_NET,Teun Koopmeiners,Netherlands,Juventus,MF,Central_Midfielder,83,66,78,83,78,75,78
mateokovacic_CRO,Mateo Kovacic,Croatia,Manchester City,MF,Central_Midfielder,83,69,67,82,87,71,70
konradlaimer_AUS,Konrad Laimer,Austria,FC Bayern München,MF,Defensive_Midfielder,83,80,69,77,77,82,78
aymericlaporte_SPA,Aymeric Laporte,Spain,Al Nassr,DF,Centre_Back,83,55,50,74,70,85,76
robinlenormand_SPA,Robin Le Normand,Spain,Atlético de Madrid,DF,Centre_Back,83,62,26,54,60,84,79
marcosllorente_SPA,Marcos Llorente,Spain,Atlético de Madrid,MF,Side_Midfielder,83,89,79,78,80,79,81
manuellocatelli_ITA,Manuel Locatelli,Italy,Juventus,MF,Defensive_Midfielder,83,64,70,80,78,79,80
donyellmalen_NET,Donyell Malen,Netherlands,Borussia Dortmund,MF,Side_Midfielder,83,89,81,74,85,35,72
gabrielmartinelli_BRA,Gabriel Martinelli,Brazil,Arsenal,FW,Left_Winger,83,89,78,75,85,46,72
henrikhmkhitaryan_ARM,Henrikh Mkhitaryan,Armenia,Lombardia FC,MF,Central_Midfielder,83,78,79,82,84,72,77
morata_SPA,Morata,Spain,Milano FC,FW,Striker,83,82,81,73,80,31,79
gerardmoreno_SPA,Gerard Moreno,Spain,Villarreal CF,FW,Striker,83,77,85,77,81,46,72
andreonana_CAM,Andre Onana,Cameroon,Man Utd,GK,Goalkeeper,83,83,75,87,86,61,79
williorban_HUN,Willi Orban,Hungary,RB Leipzig,DF,Centre_Back,83,58,36,56,56,85,78
gavi_SPA,Gavi,Spain,FC Barcelona,MF,Central_Midfielder,83,76,66,78,85,68,70
parejo_SPA,Parejo,Spain,Villarreal CF,MF,Central_Midfielder,83,52,80,88,78,74,69
lorenzopellegrini_ITA,Lorenzo Pellegrini,Italy,AS Roma,MF,Attacking_Midfielder,83,79,78,83,83,74,78
pedrogoncalves_POR,Pedro Goncalves,Portugal,Sporting CP,FW,Left_Winger,83,78,82,84,84,63,68
jordanpickford_ENG,Jordan Pickford,England,Everton,GK,Goalkeeper,83,83,78,88,87,53,80
nickpope_ENG,Nick Pope,England,Newcastle Utd,GK,Goalkeeper,83,82,82,75,85,49,82
pedroporro_SPA,Pedro Porro,Spain,Spurs,DF,Right_Back,83,82,73,80,81,78,77
ivanprovedel_ITA,Ivan Provedel,Italy,Latium,GK,Goalkeeper,83,84,79,80,85,42,84
christianpulisic_UNI,Christian Pulisic,United States,Milano FC,FW,Right_Winger,83,88,82,78,86,37,63
davidraya_SPA,David Raya,Spain,Arsenal,GK,Goalkeeper,83,82,81,86,82,57,81
koke_SPA,Koke,Spain,Atlético de Madrid,MF,Defensive_Midfielder,83,69,72,84,79,77,78
guidorodriguez_ARG,Guido Rodriguez,Argentina,West Ham,MF,Defensive_Midfielder,83,51,58,72,70,85,80
alessioromagnoli_ITA,Alessio Romagnoli,Italy,Latium,DF,Centre_Back,83,64,40,56,69,85,79
xavisimons_NET,Xavi Simons,Netherlands,RB Leipzig,MF,Attacking_Midfielder,83,81,77,80,86,61,71
douglasluiz_BRA,Douglas Luiz,Brazil,Juventus,MF,Central_Midfielder,83,66,78,85,80,75,76
dusantadic_SER,Dusan Tadic,Serbia,Fenerbahçe,MF,Side_Midfielder,83,64,79,85,81,43,78
edmondtapsoba_BUR,Edmond Tapsoba,Burkina Faso,Leverkusen,DF,Centre_Back,83,75,54,68,70,85,79
nunomendes_POR,Nuno Mendes,Portugal,Paris SG,DF,Left_Back,83,89,58,76,82,78,76
marcusthuram_FRA,Marcus Thuram,France,Lombardia FC,FW,Striker,83,87,81,77,82,50,84
fikayotomori_ENG,Fikayo Tomori,England,Milano FC,DF,Centre_Back,83,84,40,60,68,85,80
lucastorreira_URU,Lucas Torreira,Uruguay,Galatasaray,MF,Defensive_Midfielder,83,76,69,78,81,81,81
kierantrippier_ENG,Kieran Trippier,England,Newcastle Utd,DF,Right_Back,83,67,65,85,78,81,72
leandrotrossard_BEL,Leandro Trossard,Belgium,Arsenal,FW,Left_Winger,83,82,81,80,85,30,61
viktortsygankov_UKR,Viktor Tsygankov,Ukraine,Girona FC,MF,Side_Midfielder,83,85,80,81,82,46,62
mattiazaccagni_ITA,Mattia Zaccagni,Italy,Latium,FW,Left_Winger,83,87,77,75,88,57,66
duvanzapata_COL,Duvan Zapata,Colombia,Torino,FW,Striker,83,73,82,64,78,35,88
isco_SPA,Isco,Spain,Real Betis,MF,Attacking_Midfielder,82,66,74,82,83,59,59
joelinton_BRA,Joelinton,Brazil,Newcastle Utd,MF,Central_Midfielder,82,76,72,76,82,81,89
pepe_BRA,Pepe,Brazil,FC Porto,MF,Attacking_Midfielder,82,87,74,75,85,62,62
pierre-emerickaubameyang_GAB,Pierre-Emerick Aubameyang,Gabon,Al Qadisiyah,FW,Striker,82,84,83,72,78,35,63
leonbailey_JAM,Leon Bailey,Jamaica,Aston Villa,MF,Side_Midfielder,82,90,78,77,86,38,62
oliverbaumann_GER,Oliver Baumann,Germany,TSG Hoffenheim,GK,Goalkeeper,82,81,80,78,83,39,79
victorboniface_NIG,Victor Boniface,Nigeria,Leverkusen,FW,Striker,82,73,83,66,80,38,82
svenbotman_NET,Sven Botman,Netherlands,Newcastle Utd,DF,Centre_Back,82,60,37,63,65,83,83
jarrodbowen_ENG,Jarrod Bowen,England,West Ham,MF,Side_Midfielder,82,77,81,76,81,46,70
marcelobrozovic_CRO,Marcelo Brozovic,Croatia,Al Nassr,MF,Defensive_Midfielder,82,66,74,79,80,80,80
moisescaicedo_ECU,Moises Caicedo,Ecuador,Chelsea,MF,Defensive_Midfielder,82,75,63,75,78,79,78
emrecan_GER,Emre Can,Germany,Borussia Dortmund,MF,Defensive_Midfielder,82,77,78,74,76,82,86
marcocarnesecchi_ITA,Marco Carnesecchi,Italy,Bergamo Calcio,GK,Goalkeeper,82,84,79,71,85,30,83
koencasteels_BEL,Koen Casteels,Belgium,Al Qadisiyah,GK,Goalkeeper,82,82,79,74,85,45,83
lucaspaqueta_BRA,Lucas Paqueta,Brazil,West Ham,MF,Side_Midfielder,82,72,77,79,85,69,79
angelcorrea_ARG,Angel Correa,Argentina,Atlético de Madrid,FW,Striker,82,85,84,77,86,50,75
marccucurella_SPA,Marc Cucurella,Spain,Chelsea,DF,Left_Back,82,75,60,80,80,78,76
danilo_BRA,Danilo,Brazil,Juventus,DF,Centre_Back,82,76,67,74,74,84,77
otavio_POR,Otavio,Portugal,Al Nassr,MF,Attacking_Midfielder,82,78,71,81,85,67,74
diogodalot_POR,Diogo Dalot,Portugal,Man Utd,DF,Right_Back,82,85,63,77,80,79,79
sergidarder_SPA,Sergi Darder,Spain,RCD Mallorca,MF,Central_Midfielder,82,79,78,82,83,74,77
alphonsodavies_CAN,Alphonso Davies,Canada,FC Bayern München,DF,Left_Back,82,95,66,77,84,72,76
giovannidilorenzo_ITA,Giovanni Di Lorenzo,Italy,SSC Napoli,DF,Right_Back,82,83,67,73,76,79,80
brahim_MOR,Brahim,Morocco,Real Madrid,MF,Attacking_Midfielder,82,85,74,78,85,31,56
denzeldumfries_NET,Denzel Dumfries,Netherlands,Lombardia FC,DF,Right_Back,82,83,66,73,74,78,88
edindzeko_BOS,Edin Dzeko,Bosnia-Herzegovina,Fenerbahçe,FW,Striker,82,57,82,73,76,45,76
enzofernandez_ARG,Enzo Fernandez,Argentina,Chelsea,MF,Central_Midfielder,82,69,73,82,80,73,77
nachofernandez_SPA,Nacho Fernandez,Spain,Al Qadisiyah,DF,Centre_Back,82,73,37,68,71,82,79
gabrieljesus_BRA,Gabriel Jesus,Brazil,Arsenal,FW,Striker,82,83,80,75,88,39,77
jorginho_ITA,Jorginho,Italy,Arsenal,MF,Defensive_Midfielder,82,46,67,83,80,73,71
pautorres_SPA,Pau Torres,Spain,Aston Villa,DF,Centre_Back,82,70,41,77,70,83,79
niclasfullkrug_GER,Niclas Fullkrug,Germany,West Ham,FW,Striker,82,63,84,71,75,43,81
gaya_SPA,Gaya,Spain,Valencia CF,DF,Left_Back,82,81,61,77,79,78,74
paulogazzaniga_ARG,Paulo Gazzaniga,Argentina,Girona FC,GK,Goalkeeper,82,82,80,83,81,57,82
matthiasginter_GER,Matthias Ginter,Germany,SC Freiburg,DF,Centre_Back,82,54,59,71,66,85,75
sergegnabry_GER,Serge Gnabry,Germany,FC Bayern München,MF,Side_Midfielder,82,80,83,78,84,43,66
anthonygordon_ENG,Anthony Gordon,England,Newcastle Utd,FW,Left_Winger,82,91,78,76,81,49,71
raphaelguerreiro_POR,Raphael Guerreiro,Portugal,FC Bayern München,DF,Left_Back,82,63,78,85,88,76,56
petergulacsi_HUN,Peter Gulacsi,Hungary,RB Leipzig,GK,Goalkeeper,82,82,82,75,81,43,83
fabinho_BRA,Fabinho,Brazil,Al Ittihad,MF,Defensive_Midfielder,82,58,69,78,77,80,82
yangelherrera_VEN,Yangel Herrera,Venezuela,Girona FC,MF,Defensive_Midfielder,82,64,77,76,78,80,81
jonashofmann_GER,Jonas Hofmann,Germany,Leverkusen,MF,Attacking_Midfielder,82,73,79,81,81,64,72
ciroimmobile_ITA,Ciro Immobile,Italy,Beşiktaş,FW,Striker,82,82,83,67,78,39,73
reecejames_ENG,Reece James,England,Chelsea,DF,Right_Back,82,78,72,83,82,82,82
boubacarkamara_FRA,Boubacar Kamara,France,Aston Villa,MF,Defensive_Midfielder,82,66,54,74,75,83,80
franckyannickkessie_COT,Franck Yannick Kessie,Cote d'Ivoire,Al Ahli,MF,Defensive_Midfielder,82,79,77,74,79,80,88
randalkolomuani_FRA,Randal Kolo Muani,France,Paris SG,FW,Striker,82,90,80,71,81,38,67
filipkostic_SER,Filip Kostic,Serbia,Fenerbahçe,MF,Side_Midfielder,82,85,76,81,81,70,80
mohammedkudus_GHA,Mohammed Kudus,Ghana,West Ham,MF,Side_Midfielder,82,90,77,73,86,60,75
dejankulusevski_SWE,Dejan Kulusevski,Sweden,Spurs,MF,Side_Midfielder,82,75,77,80,83,57,80
alexandrelacazette_FRA,Alexandre Lacazette,France,OL,FW,Striker,82,70,84,76,83,44,75
jeremiasconanledesma_ARG,Jeremias Conan Ledesma,Argentina,River Plate,GK,Goalkeeper,82,82,79,75,83,46,81
berndleno_GER,Bernd Leno,Germany,Fulham,GK,Goalkeeper,82,83,79,76,84,53,82
stanislavlobotka_SLO,Stanislav Lobotka,Slovakia,SSC Napoli,MF,Central_Midfielder,82,72,69,80,81,75,75
ademolalookman_NIG,Ademola Lookman,Nigeria,Bergamo Calcio,FW,Striker,82,84,81,71,86,31,66
