name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Identifier
Dusan Vlahovic,Serbia,Juventus,ST,84,78,84,69,79,29,83,dusanvlahovic_SER
Kyle Walker,England,Manchester City,RB,84,89,64,77,78,79,81,kylewalker_ENG
Benjamin White,England,Arsenal,RB,84,73,35,77,78,83,80,benjaminwhite_ENG
Marcos Acuna,Argentina,River Plate,LB,83,74,74,82,82,80,84,marcosacuna_ARG
Robert Andrich,Germany,Leverkusen,CDM,83,54,77,76,73,83,83,robertandrich_GER
Ismael Bennacer,Algeria,Milano FC,CDM,83,77,73,82,85,78,75,ismaelbennacer_ALG
Domenico Berardi,Italy,Sassuolo,RW,83,79,81,78,85,36,70,domenicoberardi_ITA
Eduardo Camavinga,France,Real Madrid,CM,83,80,67,81,84,78,80,eduardocamavinga_FRA
Yannick Carrasco,Belgium,Al Shabab,LW,83,88,81,80,85,59,67,yannickcarrasco_BEL
Andreas Christensen,Denmark,FC Barcelona,CB,83,67,32,68,71,85,76,andreaschristensen_DEN
Stefan de Vrij,Netherlands,Lombardia FC,CB,83,62,41,65,69,85,75,stefandevrij_NET
Angel Di Maria,Argentina,SL Benfica,RM,83,76,80,85,88,48,66,angeldimaria_ARG
Moussa Diaby,France,Al Ittihad,RM,83,95,75,74,86,43,53,moussadiaby_FRA
Youssef En-Nesyri,Morocco,Fenerbahçe,ST,83,82,82,63,77,36,80,youssefen-nesyri_MOR
Rafa,Portugal,Beşiktaş,MOC,83,93,77,77,86,50,54,rafa_POR
Cody Gakpo,Netherlands,Liverpool,ST,83,82,83,78,83,48,75,codygakpo_NET
Jose Maria Gimenez,Uruguay,Atlético de Madrid,CB,83,71,46,58,61,85,82,josemariagimenez_URU
Olivier Giroud,France,LAFC,ST,83,45,84,74,75,42,81,oliviergiroud_FRA
Leon Goretzka,Germany,FC Bayern München,CM,83,70,80,80,81,80,85,leongoretzka_GER
Josko Gvardiol,Croatia,Manchester City,LB,83,79,69,74,78,83,83,joskogvardiol_CRO
Kai Havertz,Germany,Arsenal,ST,83,77,81,80,82,49,72,kaihavertz_GER
Lucas Hernandez,France,Paris SG,CB,83,74,54,72,71,84,78,lucashernandez_FRA
Mauro Icardi,Argentina,Galatasaray,ST,83,68,83,71,76,40,75,mauroicardi_ARG
Kim Min Jae,"Korea, South",FC Bayern München,CB,83,76,33,57,63,85,83,kimminjae_KOR
Ibrahima Konate,France,Liverpool,CB,83,75,34,59,68,83,84,ibrahimakonate_FRA
Teun Koopmeiners,Netherlands,Juventus,CM,83,66,78,83,78,75,78,teunkoopmeiners_NET
Mateo Kovacic,Croatia,Manchester City,CM,83,69,67,82,87,71,70,mateokovacic_CRO
Konrad Laimer,Austria,FC Bayern München,CDM,83,80,69,77,77,82,78,konradlaimer_AUS
Aymeric Laporte,Spain,Al Nassr,CB,83,55,50,74,70,85,76,aymericlaporte_SPA
Robin Le Normand,Spain,Atlético de Madrid,CB,83,62,26,54,60,84,79,robinlenormand_SPA
Marcos Llorente,Spain,Atlético de Madrid,RM,83,89,79,78,80,79,81,marcosllorente_SPA
Manuel Locatelli,Italy,Juventus,CDM,83,64,70,80,78,79,80,manuellocatelli_ITA
Donyell Malen,Netherlands,Borussia Dortmund,RM,83,89,81,74,85,35,72,donyellmalen_NET
Gabriel Martinelli,Brazil,Arsenal,LW,83,89,78,75,85,46,72,gabrielmartinelli_BRA
Henrikh Mkhitaryan,Armenia,Lombardia FC,CM,83,78,79,82,84,72,77,henrikhmkhitaryan_ARM
Morata,Spain,Milano FC,ST,83,82,81,73,80,31,79,morata_SPA
Gerard Moreno,Spain,Villarreal CF,ST,83,77,85,77,81,46,72,gerardmoreno_SPA
Andre Onana,Cameroon,Man Utd,GK,83,83,75,87,86,61,79,andreonana_CAM
Willi Orban,Hungary,RB Leipzig,CB,83,58,36,56,56,85,78,williorban_HUN
Gavi,Spain,FC Barcelona,CM,83,76,66,78,85,68,70,gavi_SPA
Parejo,Spain,Villarreal CF,CM,83,52,80,88,78,74,69,parejo_SPA
Lorenzo Pellegrini,Italy,AS Roma,MOC,83,79,78,83,83,74,78,lorenzopellegrini_ITA
Pedro Goncalves,Portugal,Sporting CP,LW,83,78,82,84,84,63,68,pedrogoncalves_POR
Jordan Pickford,England,Everton,GK,83,83,78,88,87,53,80,jordanpickford_ENG
Nick Pope,England,Newcastle Utd,GK,83,82,82,75,85,49,82,nickpope_ENG
Pedro Porro,Spain,Spurs,RB,83,82,73,80,81,78,77,pedroporro_SPA
Ivan Provedel,Italy,Latium,GK,83,84,79,80,85,42,84,ivanprovedel_ITA
Christian Pulisic,United States,Milano FC,RW,83,88,82,78,86,37,63,christianpulisic_UNI
David Raya,Spain,Arsenal,GK,83,82,81,86,82,57,81,davidraya_SPA
Koke,Spain,Atlético de Madrid,CDM,83,69,72,84,79,77,78,koke_SPA
Guido Rodriguez,Argentina,West Ham,CDM,83,51,58,72,70,85,80,guidorodriguez_ARG
Alessio Romagnoli,Italy,Latium,CB,83,64,40,56,69,85,79,alessioromagnoli_ITA
Xavi Simons,Netherlands,RB Leipzig,MOC,83,81,77,80,86,61,71,xavisimons_NET
Douglas Luiz,Brazil,Juventus,CM,83,66,78,85,80,75,76,douglasluiz_BRA
Dusan Tadic,Serbia,Fenerbahçe,LM,83,64,79,85,81,43,78,dusantadic_SER
Edmond Tapsoba,Burkina Faso,Leverkusen,CB,83,75,54,68,70,85,79,edmondtapsoba_BUR
Nuno Mendes,Portugal,Paris SG,LB,83,89,58,76,82,78,76,nunomendes_POR
Marcus Thuram,France,Lombardia FC,ST,83,87,81,77,82,50,84,marcusthuram_FRA
Fikayo Tomori,England,Milano FC,CB,83,84,40,60,68,85,80,fikayotomori_ENG
Lucas Torreira,Uruguay,Galatasaray,CDM,83,76,69,78,81,81,81,lucastorreira_URU
Kieran Trippier,England,Newcastle Utd,RB,83,67,65,85,78,81,72,kierantrippier_ENG
Leandro Trossard,Belgium,Arsenal,LW,83,82,81,80,85,30,61,leandrotrossard_BEL
Viktor Tsygankov,Ukraine,Girona FC,RM,83,85,80,81,82,46,62,viktortsygankov_UKR
Mattia Zaccagni,Italy,Latium,LW,83,87,77,75,88,57,66,mattiazaccagni_ITA
Duvan Zapata,Colombia,Torino,ST,83,73,82,64,78,35,88,duvanzapata_COL
Isco,Spain,Real Betis,MOC,82,66,74,82,83,59,59,isco_SPA
Joelinton,Brazil,Newcastle Utd,CM,82,76,72,76,82,81,89,joelinton_BRA
Pepe,Brazil,FC Porto,MOC,82,87,74,75,85,62,62,pepe_BRA
Pierre-Emerick Aubameyang,Gabon,Al Qadisiyah,ST,82,84,83,72,78,35,63,pierre-emerickaubameyang_GAB
Leon Bailey,Jamaica,Aston Villa,RM,82,90,78,77,86,38,62,leonbailey_JAM
Oliver Baumann,Germany,TSG Hoffenheim,GK,82,81,80,78,83,39,79,oliverbaumann_GER
Victor Boniface,Nigeria,Leverkusen,ST,82,73,83,66,80,38,82,victorboniface_NIG
Sven Botman,Netherlands,Newcastle Utd,CB,82,60,37,63,65,83,83,svenbotman_NET
Jarrod Bowen,England,West Ham,RM,82,77,81,76,81,46,70,jarrodbowen_ENG
Marcelo Brozovic,Croatia,Al Nassr,CDM,82,66,74,79,80,80,80,marcelobrozovic_CRO
Moises Caicedo,Ecuador,Chelsea,CDM,82,75,63,75,78,79,78,moisescaicedo_ECU
Emre Can,Germany,Borussia Dortmund,CDM,82,77,78,74,76,82,86,emrecan_GER
Marco Carnesecchi,Italy,Bergamo Calcio,GK,82,84,79,71,85,30,83,marcocarnesecchi_ITA
Koen Casteels,Belgium,Al Qadisiyah,GK,82,82,79,74,85,45,83,koencasteels_BEL
Lucas Paqueta,Brazil,West Ham,LM,82,72,77,79,85,69,79,lucaspaqueta_BRA
Angel Correa,Argentina,Atlético de Madrid,ST,82,85,84,77,86,50,75,angelcorrea_ARG
Marc Cucurella,Spain,Chelsea,LB,82,75,60,80,80,78,76,marccucurella_SPA
Danilo,Brazil,Juventus,CB,82,76,67,74,74,84,77,danilo_BRA
Otavio,Portugal,Al Nassr,MOC,82,78,71,81,85,67,74,otavio_POR
Diogo Dalot,Portugal,Man Utd,RB,82,85,63,77,80,79,79,diogodalot_POR
Sergi Darder,Spain,RCD Mallorca,CM,82,79,78,82,83,74,77,sergidarder_SPA
Alphonso Davies,Canada,FC Bayern München,LB,82,95,66,77,84,72,76,alphonsodavies_CAN
Giovanni Di Lorenzo,Italy,SSC Napoli,RB,82,83,67,73,76,79,80,giovannidilorenzo_ITA
Brahim,Morocco,Real Madrid,MOC,82,85,74,78,85,31,56,brahim_MOR
Denzel Dumfries,Netherlands,Lombardia FC,RB,82,83,66,73,74,78,88,denzeldumfries_NET
Edin Dzeko,Bosnia-Herzegovina,Fenerbahçe,ST,82,57,82,73,76,45,76,edindzeko_BOS
Enzo Fernandez,Argentina,Chelsea,CM,82,69,73,82,80,73,77,enzofernandez_ARG
Nacho Fernandez,Spain,Al Qadisiyah,CB,82,73,37,68,71,82,79,nachofernandez_SPA
Gabriel Jesus,Brazil,Arsenal,ST,82,83,80,75,88,39,77,gabrieljesus_BRA
Jorginho,Italy,Arsenal,CDM,82,46,67,83,80,73,71,jorginho_ITA
Pau Torres,Spain,Aston Villa,CB,82,70,41,77,70,83,79,pautorres_SPA
Niclas Fullkrug,Germany,West Ham,ST,82,63,84,71,75,43,81,niclasfullkrug_GER
Gaya,Spain,Valencia CF,LB,82,81,61,77,79,78,74,gaya_SPA
Paulo Gazzaniga,Argentina,Girona FC,GK,82,82,80,83,81,57,82,paulogazzaniga_ARG
Matthias Ginter,Germany,SC Freiburg,CB,82,54,59,71,66,85,75,matthiasginter_GER
Serge Gnabry,Germany,FC Bayern München,RM,82,80,83,78,84,43,66,sergegnabry_GER
Anthony Gordon,England,Newcastle Utd,LW,82,91,78,76,81,49,71,anthonygordon_ENG
Raphael Guerreiro,Portugal,FC Bayern München,LB,82,63,78,85,88,76,56,raphaelguerreiro_POR
Peter Gulacsi,Hungary,RB Leipzig,GK,82,82,82,75,81,43,83,petergulacsi_HUN
Fabinho,Brazil,Al Ittihad,CDM,82,58,69,78,77,80,82,fabinho_BRA
Yangel Herrera,Venezuela,Girona FC,CDM,82,64,77,76,78,80,81,yangelherrera_VEN
Jonas Hofmann,Germany,Leverkusen,MOC,82,73,79,81,81,64,72,jonashofmann_GER
Ciro Immobile,Italy,Beşiktaş,ST,82,82,83,67,78,39,73,ciroimmobile_ITA
Reece James,England,Chelsea,RB,82,78,72,83,82,82,82,reecejames_ENG
Boubacar Kamara,France,Aston Villa,CDM,82,66,54,74,75,83,80,boubacarkamara_FRA
Franck Yannick Kessie,Cote d'Ivoire,Al Ahli,CDM,82,79,77,74,79,80,88,franckyannickkessie_COT
Randal Kolo Muani,France,Paris SG,ST,82,90,80,71,81,38,67,randalkolomuani_FRA
Filip Kostic,Serbia,Fenerbahçe,LM,82,85,76,81,81,70,80,filipkostic_SER
Mohammed Kudus,Ghana,West Ham,RM,82,90,77,73,86,60,75,mohammedkudus_GHA
Dejan Kulusevski,Sweden,Spurs,RM,82,75,77,80,83,57,80,dejankulusevski_SWE
Alexandre Lacazette,France,OL,ST,82,70,84,76,83,44,75,alexandrelacazette_FRA
Jeremias Conan Ledesma,Argentina,River Plate,GK,82,82,79,75,83,46,81,jeremiasconanledesma_ARG
Bernd Leno,Germany,Fulham,GK,82,83,79,76,84,53,82,berndleno_GER
Stanislav Lobotka,Slovakia,SSC Napoli,CM,82,72,69,80,81,75,75,stanislavlobotka_SLO
Ademola Lookman,Nigeria,Bergamo Calcio,ST,82,84,81,71,86,31,66,ademolalookman_NIG
Romelu Lukaku,Belgium,SSC Napoli,ST,82,79,82,73,74,38,82,romelulukaku_BEL
Gianluca Mancini,Italy,AS Roma,CB,82,71,45,56,64,83,85,gianlucamancini_ITA
John McGinn,Scotland,Aston Villa,CM,82,68,77,80,82,78,85,johnmcginn_SCO
Aleksandar Mitrovic,Serbia,Al Hilal,ST,82,64,82,62,73,28,88,aleksandarmitrovic_SER
Nahuel Molina,Argentina,Atlético de Madrid,RB,82,85,67,75,78,78,71,nahuelmolina_ARG
Savinho,Brazil,Manchester City,LW,82,88,72,77,84,30,53,savinho_BRA
Thomas Muller,Germany,FC Bayern München,MOC,82,57,82,83,79,55,68,thomasmuller_GER
Darwin Nunez,Uruguay,Liverpool,ST,82,90,80,72,78,46,86,darwinnunez_URU
Michael Olise,France,FC Bayern München,RM,82,80,77,82,84,53,56,michaelolise_FRA
Oyarzabal,Spain,Real Sociedad,ST,82,77,83,81,82,42,63,oyarzabal_SPA
Thomas Partey,Ghana,Arsenal,CDM,82,62,71,80,77,79,82,thomaspartey_GHA
Tijjani Reijnders,Netherlands,Milano FC,CM,82,80,76,80,84,73,74,tijjanireijnders_NET
Fabian Ruiz,Spain,Paris SG,CM,82,54,76,80,80,75,72,fabianruiz_SPA
Brice Samba,France,RC Lens,GK,82,79,83,80,84,53,81,bricesamba_FRA
Sancet,Spain,Athletic Club,MOC,82,73,77,80,84,70,82,sancet_SPA
Jadon Sancho,England,Chelsea,LM,82,79,69,78,89,32,50,jadonsancho_ENG
Fabian Schar,Switzerland,Newcastle Utd,CB,82,51,68,77,74,84,79,fabianschar_SWI
Patrik Schick,Czech Republic,Leverkusen,ST,82,74,81,71,81,37,76,patrikschick_CZE
Luke Shaw,England,Man Utd,LB,82,75,57,82,78,81,78,lukeshaw_ENG
Malcom,Brazil,Al Hilal,MOC,82,84,79,79,84,43,72,malcom_BRA
Chris Smalling,England,Al Fayha,CB,82,54,47,58,61,85,79,chrissmalling_ENG
Alexander Sorloth,Norway,Atlético de Madrid,ST,82,79,82,70,76,36,85,alexandersorloth_NOR
Anderson Talisca,Brazil,Al Nassr,RM,82,79,84,78,83,53,75,andersontalisca_BRA
Luis Suarez,Uruguay,Inter Miami CF,ST,82,64,85,78,77,41,75,luissuarez_URU
Niklas Sule,Germany,Borussia Dortmund,CB,82,70,51,67,64,83,79,niklassule_GER
Kevin Trapp,Germany,Frankfurt,GK,82,82,80,76,84,46,79,kevintrapp_GER
Destiny Udogie,Italy,Spurs,LB,82,88,65,74,80,78,80,destinyudogie_ITA
Dayot Upamecano,France,FC Bayern München,CB,82,81,45,63,73,81,85,dayotupamecano_FRA
Micky van de Ven,Netherlands,Spurs,CB,82,88,47,64,71,83,81,mickyvandeven_NET
Raphael Varane,France,Como,CB,82,73,49,64,69,83,77,raphaelvarane_FRA
Inaki Williams,Ghana,Athletic Club,RM,82,94,81,72,80,45,84,inakiwilliams_GHA
Luciano Acosta,Argentina,FC Cincinnati,MOC,81,79,73,76,85,46,56,lucianoacosta_ARG
Edson Alvarez,Mexico,West Ham,CDM,81,66,58,69,72,83,87,edsonalvarez_MEX
Yeray,Spain,Athletic Club,CB,81,64,49,70,65,83,76,yeray_SPA
Waldemar Anton,Germany,Borussia Dortmund,CB,81,69,46,65,67,81,83,waldemaranton_GER
Alphonse Areola,France,West Ham,GK,81,82,77,74,83,55,80,alphonseareola_FRA
Marco Asensio,Spain,Paris SG,RW,81,76,79,81,83,43,63,marcoasensio_SPA
Balde,Spain,FC Barcelona,LB,81,91,48,73,78,75,64,balde_SPA
Rodrigo Bentancur,Uruguay,Spurs,CM,81,67,68,80,82,79,76,rodrigobentancur_URU
Alex Berenguer,Spain,Athletic Club,LM,81,85,75,75,83,64,68,alexberenguer_SPA
